time,Phoenix,pts.away,score,pts.home,Minnesota
8:35.0,,,88-89,1,N. Pekovic makes free throw 2 of 2
8:15.0,M. Morris misses 3-pt shot from 24 ft,,88-89,,
8:13.0,Offensive rebound by E. Bledsoe,,88-89,,
8:12.0,,,88-89,,Personal foul by R. Rubio (drawn by E. Bledsoe)
7:56.0,Shooting foul by G. Dieng (drawn by M. Morris),,88-89,,
7:56.0,M. Morris misses free throw 1 of 2,,88-89,,
7:56.0,Offensive rebound by Team,,88-89,,
7:56.0,M. Morris makes free throw 2 of 2,1,89-89,,
7:44.0,,,89-89,,N. Pekovic misses 2-pt shot from 2 ft (block by M. Morris)
7:42.0,Defensive rebound by E. Bledsoe,,89-89,,
7:38.0,M. Morris makes 2-pt shot from 2 ft (assist by G. Green),2,91-89,,
7:36.0,,,91-89,,Minnesota full timeout
7:36.0,,,91-89,,A. Wiggins enters the game for G. Neal
7:36.0,,,91-89,,K. Martin enters the game for S. Muhammad
7:19.0,,,91-91,2,G. Dieng makes 2-pt shot from 17 ft (assist by K. Martin)
6:57.0,M. Morris makes 2-pt shot from 14 ft (assist by G. Green),2,93-91,,
6:35.0,,,93-91,,R. Rubio misses 2-pt shot from 18 ft
6:34.0,,,93-91,,Offensive rebound by G. Dieng
6:25.0,,,93-93,2,N. Pekovic makes 2-pt shot from 1 ft (assist by G. Dieng)
6:04.0,G. Green makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,96-93,,
5:47.0,,,96-95,2,K. Martin makes 2-pt shot from 7 ft
5:47.0,,,96-95,,Shooting foul by G. Green (drawn by K. Martin)
5:47.0,,,96-96,1,K. Martin makes free throw 1 of 1
5:28.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,99-96,,
5:15.0,,,99-96,,K. Martin misses 3-pt shot from 24 ft
5:12.0,,,99-96,,Offensive rebound by K. Martin
4:59.0,,,99-98,2,A. Wiggins makes 2-pt shot from 1 ft
4:46.0,M. Morris misses 2-pt shot from 2 ft (block by G. Dieng),,99-98,,
4:44.0,Offensive rebound by M. Morris,,99-98,,
4:43.0,M. Morris misses 2-pt shot at rim (block by A. Wiggins),,99-98,,
4:43.0,Offensive rebound by M. Morris,,99-98,,
4:43.0,Shooting foul by G. Dieng (drawn by M. Morris),,99-98,,
4:43.0,M. Morris makes free throw 1 of 2,1,100-98,,
4:43.0,M. Morris makes free throw 2 of 2,1,101-98,,
4:30.0,,,101-98,,Offensive foul by N. Pekovic
4:30.0,,,101-98,,Turnover by N. Pekovic (offensive foul)
4:14.0,G. Green misses 3-pt shot from 24 ft,,101-98,,
4:12.0,,,101-98,,Defensive rebound by R. Rubio
4:06.0,Personal block foul by G. Green (drawn by K. Martin),,101-98,,
4:06.0,,,101-99,1,K. Martin makes free throw 1 of 2
4:06.0,P. Tucker enters the game for G. Green,,101-99,,
4:06.0,,,101-100,1,K. Martin makes free throw 2 of 2
3:50.0,M. Morris misses 2-pt shot from 19 ft,,101-100,,
3:49.0,,,101-100,,Defensive rebound by G. Dieng
3:38.0,,,101-102,2,K. Martin makes 2-pt shot from 3 ft
3:20.0,M. Morris makes 2-pt shot from 8 ft,2,103-102,,
3:01.0,,,103-102,,R. Rubio misses 2-pt shot from 19 ft
3:00.0,,,103-102,,Offensive rebound by N. Pekovic
2:59.0,,,103-104,2,N. Pekovic makes 2-pt shot from 2 ft
2:41.0,A. Len misses 2-pt shot from 4 ft (block by N. Pekovic),,103-104,,
2:39.0,,,103-104,,Defensive rebound by K. Martin
2:21.0,,,103-104,,N. Pekovic misses 2-pt shot from 5 ft
2:20.0,Defensive rebound by A. Len,,103-104,,
2:14.0,Phoenix full timeout,,103-104,,
2:14.0,Phoenix full timeout,,103-104,,
2:00.0,M. Morris misses 2-pt shot from 13 ft,,103-104,,
1:59.0,,,103-104,,Defensive rebound by G. Dieng
1:50.0,,,103-104,,Offensive foul by R. Rubio
1:50.0,,,103-104,,Turnover by R. Rubio (offensive foul)
1:35.0,E. Bledsoe misses 3-pt shot from 25 ft,,103-104,,
1:33.0,,,103-104,,Defensive rebound by R. Rubio
1:12.0,,,103-106,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
0:55.0,A. Len misses 2-pt shot from 3 ft,,103-106,,
0:54.0,Offensive rebound by A. Len,,103-106,,
0:54.0,Shooting foul by N. Pekovic (drawn by A. Len),,103-106,,
0:54.0,A. Len makes free throw 1 of 2,1,104-106,,
0:54.0,A. Len makes free throw 2 of 2,1,105-106,,
0:47.0,Personal foul by E. Bledsoe (drawn by R. Rubio),,105-106,,
0:47.0,,,105-107,1,R. Rubio makes free throw 1 of 2
0:47.0,,,105-108,1,R. Rubio makes free throw 2 of 2
0:47.0,Phoenix full timeout,,105-108,,
0:34.0,,,105-108,,Personal foul by R. Rubio (drawn by M. Morris)
0:34.0,M. Morris makes free throw 1 of 2,1,106-108,,
0:34.0,M. Morris makes free throw 2 of 2,1,107-108,,
0:34.0,,,107-108,,Minnesota full timeout
0:18.0,,,107-110,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
0:18.0,Phoenix full timeout,,107-110,,
0:18.0,G. Green enters the game for A. Len,,107-110,,
0:18.0,,,107-110,,G. Neal enters the game for N. Pekovic
0:13.0,E. Bledsoe misses 2-pt shot from 2 ft,,107-110,,
0:12.0,,,107-110,,Defensive rebound by G. Dieng
0:12.0,Personal take foul by M. Morris (drawn by G. Dieng),,107-110,,
0:12.0,,,107-110,,G. Dieng misses free throw 1 of 2
0:12.0,,,107-110,,Offensive rebound by Team
0:12.0,,,107-111,1,G. Dieng makes free throw 2 of 2
0:06.0,M. Morris misses 3-pt shot from 26 ft,,107-111,,
0:05.0,Offensive rebound by P. Tucker,,107-111,,
0:02.0,P. Tucker makes 2-pt shot from 1 ft,2,109-111,,
0:02.0,Personal take foul by M. Morris (drawn by K. Martin),,109-111,,
0:02.0,,,109-111,,K. Martin misses free throw 1 of 2
0:02.0,,,109-111,,Offensive rebound by Team
0:02.0,,,109-111,,K. Martin misses free throw 2 of 2
0:02.0,Defensive rebound by P. Tucker,,109-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
