time,Miami,pts.away,score,pts.home,Denver
2:19.0,J. Ennis makes free throw 1 of 2,1,76-101,,
2:19.0,J. Ennis makes free throw 2 of 2,1,77-101,,
2:07.0,Personal foul by S. Williams (drawn by J. Nurkic),,77-101,,
2:07.0,,,77-101,,J. Nurkic misses free throw 1 of 2
2:07.0,,,77-101,,Offensive rebound by Team
2:07.0,,,77-102,1,J. Nurkic makes free throw 2 of 2
1:51.0,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis),2,79-102,,
1:33.0,,,79-102,,K. Faried misses 2-pt shot from 5 ft (block by H. Whiteside)
1:32.0,Defensive rebound by H. Whiteside,,79-102,,
1:31.0,,,79-102,,Personal foul by J. Nurkic (drawn by H. Whiteside)
1:12.0,J. Ennis misses 3-pt shot from 24 ft,,79-102,,
1:10.0,,,79-102,,Defensive rebound by J. Nurkic
1:00.0,,,79-102,,K. Faried misses 2-pt shot from 5 ft (block by S. Williams)
1:00.0,Jump ball: K. Faried vs. S. Williams (D. Granger gains possession),,,,Jump ball: K. Faried vs. S. Williams (D. Granger gains possession)
1:00.0,Defensive rebound by Team,,79-102,,
0:50.0,S. Williams misses 2-pt shot from 19 ft,,79-102,,
0:48.0,,,79-102,,Defensive rebound by J. Nurkic
0:46.0,,,79-102,,Turnover by J. Nurkic (lost ball)
0:32.0,J. Ennis misses 2-pt shot from 20 ft,,79-102,,
0:30.0,,,79-102,,Defensive rebound by J. Nurkic
0:13.0,,,79-102,,J. Nurkic misses 2-pt shot from 4 ft (block by S. Williams)
0:11.0,,,79-102,,Offensive rebound by J. Nurkic
0:08.0,,,79-102,,J. Nurkic misses 2-pt shot from 13 ft
0:07.0,Defensive rebound by S. Napier,,79-102,,
0:01.0,S. Napier makes 3-pt shot from 25 ft,3,82-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
