time,New York,pts.away,score,pts.home,Houston
2:10.0,I. Shumpert misses 3-pt shot from 24 ft,,82-87,,
2:08.0,,,82-87,,Defensive rebound by J. Terry
1:44.0,,,82-87,,J. Harden misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by P. Prigioni,,82-87,,
1:33.0,T. Wear misses 2-pt shot from 11 ft,,82-87,,
1:31.0,,,82-87,,Defensive rebound by Team
1:31.0,T. Hardaway enters the game for T. Wear,,82-87,,
1:13.0,,,82-87,,Shooting foul by I. Shumpert (drawn by J. Harden)
1:13.0,,,82-88,1,J. Harden makes free throw 1 of 2
1:13.0,,,82-89,1,J. Harden makes free throw 2 of 2
1:13.0,New York full timeout,,82-89,,
1:02.0,P. Prigioni misses 3-pt shot from 22 ft,,82-89,,
1:01.0,,,82-89,,Defensive rebound by J. Harden
0:42.0,Personal foul by I. Shumpert (drawn by J. Harden),,82-89,,
0:42.0,,,82-90,1,J. Harden makes free throw 1 of 2
0:42.0,,,82-91,1,J. Harden makes free throw 2 of 2
0:42.0,New York full timeout,,82-91,,
0:39.0,P. Prigioni makes 2-pt shot from 1 ft (assist by J. Calderon),2,84-91,,
0:19.0,,,84-91,,T. Ariza misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by Team,,84-91,,
0:09.0,A. Stoudemire makes 2-pt shot at rim (assist by I. Shumpert),2,86-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
