time,Cleveland,pts.away,score,pts.home,LA Clippers
5:56.0,Jump ball: D. Jordan vs. T. Mozgov,,,,Jump ball: D. Jordan vs. T. Mozgov
5:54.0,,,111-105,,Loose ball foul by J. Crawford (drawn by M. Dellavedova)
5:36.0,Shooting foul by B. Griffin (drawn by L. James),,111-105,,
5:36.0,L. James misses free throw 1 of 2,,111-105,,
5:36.0,Offensive rebound by Team,,111-105,,
5:36.0,L. James makes free throw 2 of 2,1,112-105,,
5:28.0,,,112-105,,B. Griffin misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by Team,,112-105,,
5:11.0,M. Dellavedova misses 3-pt shot from 23 ft,,112-105,,
5:10.0,Offensive rebound by Team,,112-105,,
5:10.0,,,112-105,,Loose ball foul by M. Barnes (drawn by T. Mozgov)
5:10.0,T. Mozgov makes free throw 1 of 2,1,113-105,,
5:10.0,T. Mozgov makes free throw 2 of 2,1,114-105,,
5:01.0,,,114-107,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Crawford)
4:35.0,L. James makes 3-pt shot from 26 ft,3,117-107,,
4:17.0,,,117-107,,Shooting foul by S. Marion (drawn by M. Barnes)
4:17.0,,,117-108,1,B. Griffin makes free throw 1 of 2
4:17.0,,,117-108,,J. Redick enters the game for D. Jordan
4:17.0,T. Thompson enters the game for T. Mozgov,,117-108,,
4:17.0,,,117-109,1,B. Griffin makes free throw 2 of 2
3:54.0,L. James misses 2-pt shot from 19 ft,,117-109,,
3:53.0,,,117-109,,Defensive rebound by M. Barnes
3:33.0,,,117-111,2,B. Griffin makes 2-pt shot from 5 ft (assist by J. Crawford)
3:07.0,K. Irving misses 2-pt shot from 13 ft,,117-111,,
3:06.0,,,117-111,,Defensive rebound by B. Griffin
2:49.0,,,117-111,,Shooting foul by S. Marion (drawn by J. Crawford)
2:49.0,Cleveland full timeout,,117-111,,
2:49.0,,,117-112,1,J. Crawford makes free throw 1 of 2
2:49.0,,,117-113,1,J. Crawford makes free throw 2 of 2
2:32.0,M. Dellavedova misses 2-pt shot from 8 ft,,117-113,,
2:31.0,Offensive rebound by M. Dellavedova,,117-113,,
2:28.0,Jump ball: C. Paul vs. T. Thompson (J. Redick gains possession),,,,Jump ball: C. Paul vs. T. Thompson (J. Redick gains possession)
2:28.0,Turnover by M. Dellavedova (lost ball),,117-113,,
2:16.0,,,117-113,,J. Crawford misses 2-pt shot from 17 ft
2:15.0,Defensive rebound by T. Thompson,,117-113,,
1:54.0,K. Irving makes 2-pt shot from 19 ft (assist by S. Marion),2,119-113,,
1:34.0,,,119-113,,M. Barnes misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by L. James,,119-113,,
1:10.0,Turnover by Team (shot clock),,119-113,,
0:58.0,,,119-115,2,C. Paul makes 2-pt shot from 14 ft
0:47.0,Cleveland full timeout,,119-115,,
0:47.0,J. Smith enters the game for S. Marion,,119-115,,
0:46.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,121-115,,
0:46.0,Shooting foul by J. Redick (drawn by T. Thompson),,121-115,,
0:46.0,T. Thompson makes free throw 1 of 1,1,122-115,,
0:46.0,,,122-115,,LA Clippers full timeout
0:46.0,S. Marion enters the game for J. Smith,,122-115,,
0:41.0,,,122-117,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
0:31.0,,,122-117,,Personal take foul by B. Griffin (drawn by M. Dellavedova)
0:31.0,M. Dellavedova makes free throw 1 of 2,1,123-117,,
0:31.0,M. Dellavedova misses free throw 2 of 2,,123-117,,
0:31.0,,,123-117,,Defensive rebound by M. Barnes
0:31.0,,,123-117,,LA Clippers full timeout
0:26.0,,,123-117,,Turnover by C. Paul (bad pass)
0:18.0,Turnover by M. Dellavedova (bad pass; steal by B. Griffin),,123-117,,
0:15.0,,,123-119,2,B. Griffin makes 2-pt shot at rim (assist by J. Crawford)
0:15.0,Cleveland full timeout,,123-119,,
0:15.0,J. Smith enters the game for T. Thompson,,123-119,,
0:15.0,M. Miller enters the game for S. Marion,,123-119,,
0:15.0,Turnover by M. Miller (bad pass),,123-119,,
0:11.0,,,123-121,2,C. Paul makes 2-pt shot from 2 ft
0:09.0,,,123-121,,Personal take foul by B. Griffin (drawn by M. Dellavedova)
0:09.0,S. Marion enters the game for J. Smith,,123-121,,
0:09.0,T. Thompson enters the game for M. Miller,,123-121,,
0:09.0,M. Dellavedova makes free throw 1 of 2,1,124-121,,
0:09.0,M. Dellavedova makes free throw 2 of 2,1,125-121,,
0:05.0,,,125-121,,C. Paul misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by L. James,,125-121,,
0:04.0,,,125-121,,Personal foul by B. Griffin (drawn by L. James)
0:04.0,,,125-121,,D. Jones enters the game for B. Griffin
0:04.0,L. James makes free throw 1 of 2,1,126-121,,
0:04.0,L. James misses free throw 2 of 2,,126-121,,
0:02.0,,,126-121,,Defensive rebound by M. Barnes
0:00.0,End of 4th quarter,,,,End of 4th quarter
