time,Houston,pts.away,score,pts.home,Brooklyn
5:47.0,J. Harden enters the game for C. Brewer,,47-41,,
5:32.0,P. Beverley misses 3-pt shot from 24 ft,,47-41,,
5:31.0,,,47-41,,Defensive rebound by C. Jefferson
5:15.0,,,47-43,2,J. Johnson makes 2-pt shot from 22 ft (assist by J. Jack)
4:54.0,P. Beverley misses 3-pt shot from 22 ft,,47-43,,
4:53.0,,,47-43,,Defensive rebound by B. Bogdanovic
4:33.0,,,47-43,,M. Plumlee misses 2-pt shot from 1 ft
4:32.0,,,47-43,,Offensive rebound by M. Plumlee
4:30.0,,,47-43,,C. Jefferson misses 2-pt shot at rim
4:28.0,Defensive rebound by T. Ariza,,47-43,,
4:15.0,D. Howard makes 2-pt shot from 6 ft (assist by P. Beverley),2,49-43,,
4:00.0,,,49-45,2,M. Plumlee makes 2-pt shot from 9 ft
3:34.0,Shooting foul by M. Plumlee (drawn by D. Howard),,49-45,,
3:34.0,D. Howard misses free throw 1 of 2,,49-45,,
3:34.0,Offensive rebound by Team,,49-45,,
3:34.0,,,49-45,,A. Anderson enters the game for B. Bogdanovic
3:34.0,D. Howard makes free throw 2 of 2,1,50-45,,
3:20.0,,,50-48,3,J. Johnson makes 3-pt shot from 24 ft (assist by A. Anderson)
3:04.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by J. Harden),2,52-48,,
2:52.0,,,52-48,,J. Johnson misses 3-pt shot from 23 ft
2:51.0,,,52-48,,Offensive rebound by Team
2:51.0,Loose ball foul by D. Motiejunas (drawn by C. Jefferson),,52-48,,
2:51.0,Official timeout,,52-48,,
2:44.0,Violation by T. Ariza (kicked ball),,52-48,,
2:35.0,,,52-50,2,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson)
2:18.0,Turnover by D. Howard (bad pass; steal by A. Anderson),,52-50,,
2:16.0,Personal foul by D. Howard (drawn by A. Anderson),,52-50,,
1:53.0,,,52-50,,J. Johnson misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by T. Ariza,,52-50,,
1:48.0,,,52-50,,Personal foul by J. Johnson (drawn by D. Motiejunas)
1:48.0,,,52-50,,B. Bogdanovic enters the game for J. Johnson
1:31.0,T. Ariza makes 2-pt shot from 4 ft,2,54-50,,
1:17.0,,,54-50,,J. Jack misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by J. Harden,,54-50,,
1:08.0,,,54-50,,Personal foul by A. Anderson (drawn by J. Harden)
1:08.0,J. Harden makes free throw 1 of 2,1,55-50,,
1:08.0,J. Harden makes free throw 2 of 2,1,56-50,,
1:04.0,,,56-50,,Shooting foul by D. Howard (drawn by M. Plumlee)
1:04.0,,,56-51,1,M. Plumlee makes free throw 1 of 2
1:04.0,,,56-52,1,M. Plumlee makes free throw 2 of 2
0:52.0,Shooting foul by C. Jefferson (drawn by P. Beverley),,56-52,,
0:52.0,P. Beverley misses free throw 1 of 2,,56-52,,
0:52.0,Offensive rebound by Team,,56-52,,
0:52.0,P. Beverley makes free throw 2 of 2,1,57-52,,
0:44.0,,,57-52,,J. Jack misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by D. Howard,,57-52,,
0:35.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley),3,60-52,,
0:16.0,,,60-52,,Turnover by J. Jack (lost ball; steal by J. Harden)
0:13.0,Offensive foul by J. Harden,,60-52,,
0:13.0,Turnover by J. Harden (offensive foul),,60-52,,
0:13.0,,,60-52,,Brooklyn full timeout
0:13.0,J. Smith enters the game for D. Howard,,60-52,,
0:13.0,J. Dorsey enters the game for D. Motiejunas,,60-52,,
0:01.0,,,60-52,,J. Jack misses 3-pt shot from 24 ft
0:00.0,,,60-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,60-52,,J. Jack misses 2-pt shot from 9 ft
11:45.0,Defensive rebound by D. Motiejunas,,60-52,,
11:43.0,Turnover by D. Motiejunas (lost ball),,60-52,,
11:31.0,,,60-52,,B. Bogdanovic misses 3-pt shot from 22 ft
11:30.0,Defensive rebound by D. Motiejunas,,60-52,,
11:18.0,D. Howard misses 2-pt shot from 2 ft,,60-52,,
11:18.0,Offensive rebound by P. Beverley,,60-52,,
11:08.0,P. Beverley misses 3-pt shot from 24 ft,,60-52,,
11:06.0,,,60-52,,Defensive rebound by Team
10:48.0,,,60-52,,J. Johnson misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by P. Beverley,,60-52,,
10:39.0,D. Howard misses 2-pt shot from 7 ft,,60-52,,
10:38.0,Offensive rebound by D. Motiejunas,,60-52,,
10:37.0,D. Motiejunas makes 2-pt shot from 1 ft,2,62-52,,
10:27.0,,,62-54,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
10:06.0,Turnover by P. Beverley (lost ball),,62-54,,
9:55.0,,,62-54,,B. Bogdanovic misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by J. Harden,,62-54,,
