time,LA Lakers,pts.away,score,pts.home,Boston
5:08.0,,,83-103,,Turnover by J. Green (bad pass)
4:44.0,K. Bryant misses 2-pt shot from 14 ft,,83-103,,
4:40.0,Offensive rebound by E. Davis,,83-103,,
4:32.0,R. Sacre misses 2-pt shot from 7 ft,,83-103,,
4:30.0,,,83-103,,Defensive rebound by T. Zeller
4:18.0,,,83-103,,Turnover by J. Green (bad pass; steal by R. Price)
4:01.0,R. Sacre misses 2-pt shot from 8 ft,,83-103,,
4:00.0,,,83-103,,Defensive rebound by R. Rondo
3:54.0,,,83-105,2,R. Rondo makes 2-pt shot from 18 ft
3:33.0,R. Price makes 3-pt shot from 26 ft (assist by K. Bryant),3,86-105,,
3:19.0,,,86-107,2,R. Rondo makes 2-pt shot from 18 ft
2:58.0,R. Price misses 3-pt shot from 25 ft,,86-107,,
2:57.0,,,86-107,,Defensive rebound by T. Zeller
2:55.0,,,86-107,,Turnover by T. Zeller (bad pass; steal by K. Bryant)
2:50.0,K. Bryant makes 2-pt shot from 12 ft,2,88-107,,
2:30.0,,,88-107,,J. Green misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by W. Johnson,,88-107,,
2:18.0,R. Price misses 2-pt shot from 2 ft,,88-107,,
2:16.0,,,88-107,,Defensive rebound by J. Sullinger
2:06.0,,,88-109,2,T. Zeller makes 2-pt shot from 17 ft (assist by R. Rondo)
1:44.0,R. Price misses 3-pt shot from 25 ft,,88-109,,
1:42.0,Offensive rebound by E. Davis,,88-109,,
1:36.0,Turnover by W. Johnson (bad pass; steal by J. Green),,88-109,,
1:33.0,,,88-111,2,J. Green makes 2-pt shot from 2 ft
1:33.0,LA Lakers full timeout,,88-111,,
1:33.0,,,88-111,,P. Pressey enters the game for R. Rondo
1:33.0,,,88-111,,J. Young enters the game for A. Bradley
1:33.0,,,88-111,,E. Turner enters the game for J. Green
1:33.0,W. Ellington enters the game for K. Bryant,,88-111,,
1:33.0,J. Clarkson enters the game for R. Price,,88-111,,
1:21.0,Shooting foul by J. Sullinger (drawn by E. Davis),,88-111,,
1:21.0,E. Davis makes free throw 1 of 2,1,89-111,,
1:21.0,,,89-111,,K. Olynyk enters the game for T. Zeller
1:21.0,E. Davis makes free throw 2 of 2,1,90-111,,
1:03.0,,,90-113,2,E. Turner makes 2-pt shot from 15 ft
0:55.0,W. Ellington makes 3-pt shot from 25 ft,3,93-113,,
0:42.0,,,93-113,,Turnover by E. Turner (bad pass)
0:32.0,Shooting foul by J. Sullinger (drawn by E. Davis),,93-113,,
0:32.0,E. Davis misses free throw 1 of 2,,93-113,,
0:32.0,Offensive rebound by Team,,93-113,,
0:32.0,E. Davis misses free throw 2 of 2,,93-113,,
0:32.0,,,93-113,,Defensive rebound by E. Turner
0:17.0,,,93-113,,P. Pressey misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by E. Davis,,93-113,,
0:03.0,J. Clarkson makes 3-pt shot from 25 ft,3,96-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
