time,Sacramento,pts.away,score,pts.home,Brooklyn
2:36.0,O. Casspi misses 3-pt shot from 28 ft,,92-103,,
2:35.0,Offensive rebound by Team,,92-103,,
2:35.0,,,92-103,,Loose ball foul by M. Plumlee (drawn by D. Cousins)
2:21.0,D. Collison makes 3-pt shot from 23 ft (assist by B. McLemore),3,95-103,,
2:01.0,,,95-103,,Shooting foul by D. Cousins (drawn by M. Plumlee)
2:01.0,,,95-103,,M. Plumlee misses free throw 1 of 2
2:01.0,,,95-103,,Offensive rebound by Team
2:01.0,,,95-103,,M. Plumlee misses free throw 2 of 2
2:00.0,Defensive rebound by D. Cousins,,95-103,,
1:46.0,R. Gay misses 2-pt shot from 15 ft,,95-103,,
1:45.0,,,95-103,,Defensive rebound by M. Teletovic
1:27.0,,,95-103,,J. Jack misses 2-pt shot from 15 ft
1:26.0,Defensive rebound by R. Gay,,95-103,,
1:14.0,B. McLemore misses 3-pt shot from 25 ft,,95-103,,
1:13.0,,,95-103,,Defensive rebound by J. Jack
1:00.0,,,95-103,,J. Jack misses 2-pt shot from 6 ft
0:59.0,,,95-103,,Offensive rebound by S. Karasev
0:51.0,,,95-103,,M. Teletovic misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by D. Cousins,,95-103,,
0:44.0,Shooting foul by M. Teletovic (drawn by D. Collison),,95-103,,
0:44.0,D. Collison makes free throw 1 of 3,1,96-103,,
0:44.0,D. Collison misses free throw 2 of 3,,96-103,,
0:44.0,Offensive rebound by Team,,96-103,,
0:44.0,,,96-103,,K. Garnett enters the game for M. Plumlee
0:44.0,D. Collison makes free throw 3 of 3,1,97-103,,
0:44.0,Away from play foul by B. McLemore (drawn by J. Jack),,97-103,,
0:44.0,,,97-103,,D. Williams enters the game for S. Karasev
0:44.0,R. McCallum enters the game for D. Collison,,97-103,,
0:44.0,D. Williams enters the game for D. Cousins,,97-103,,
0:44.0,,,97-104,1,J. Jack makes free throw 1 of 1
0:36.0,Personal foul by R. Gay (drawn by J. Johnson),,97-104,,
0:36.0,,,97-105,1,J. Johnson makes free throw 1 of 2
0:36.0,,,97-105,,A. Anderson enters the game for M. Teletovic
0:36.0,,,97-106,1,J. Johnson makes free throw 2 of 2
0:36.0,Sacramento full timeout,,97-106,,
0:36.0,N. Stauskas enters the game for R. McCallum,,97-106,,
0:36.0,D. Cousins enters the game for D. Williams,,97-106,,
0:36.0,D. Collison enters the game for O. Casspi,,97-106,,
0:32.0,,,97-106,,Personal foul by K. Garnett (drawn by D. Cousins)
0:32.0,D. Cousins misses free throw 1 of 2,,97-106,,
0:32.0,Offensive rebound by Team,,97-106,,
0:32.0,R. McCallum enters the game for D. Collison,,97-106,,
0:32.0,D. Cousins misses free throw 2 of 2,,97-106,,
0:32.0,,,97-106,,Defensive rebound by K. Garnett
0:23.0,Personal foul by N. Stauskas (drawn by J. Jack),,97-106,,
0:23.0,,,97-106,,J. Jack misses free throw 1 of 2
0:23.0,,,97-106,,Offensive rebound by Team
0:23.0,,,97-107,1,J. Jack makes free throw 2 of 2
0:23.0,Sacramento full timeout,,97-107,,
0:23.0,D. Collison enters the game for R. McCallum,,97-107,,
0:19.0,B. McLemore misses 3-pt shot from 26 ft,,97-107,,
0:18.0,Offensive rebound by D. Cousins,,97-107,,
0:17.0,D. Cousins makes 2-pt shot from 1 ft,2,99-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
