time,Milwaukee,pts.away,score,pts.home,LA Lakers
4:18.0,,,86-90,2,W. Ellington makes 2-pt shot from 16 ft (assist by R. Kelly)
3:52.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,86-90,,
3:51.0,,,86-90,,Defensive rebound by J. Lin
3:40.0,,,86-92,2,W. Ellington makes 2-pt shot from 20 ft (assist by W. Johnson)
3:19.0,M. Carter-Williams misses 3-pt shot from 22 ft,,86-92,,
3:17.0,,,86-92,,Defensive rebound by W. Johnson
3:00.0,,,86-92,,Turnover by E. Davis (bad pass; steal by G. Antetokounmpo)
2:57.0,Shooting foul by R. Kelly (drawn by G. Antetokounmpo),,86-92,,
2:57.0,,,86-92,,LA Lakers full timeout
2:57.0,G. Antetokounmpo makes free throw 1 of 2,1,87-92,,
2:57.0,G. Antetokounmpo makes free throw 2 of 2,1,88-92,,
2:42.0,,,88-92,,Shooting foul by K. Middleton (drawn by E. Davis)
2:42.0,,,88-92,,E. Davis misses free throw 1 of 2
2:42.0,,,88-92,,Offensive rebound by Team
2:42.0,,,88-92,,E. Davis misses free throw 2 of 2
2:41.0,Defensive rebound by K. Middleton,,88-92,,
2:26.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by E. Davis),,88-92,,
2:24.0,,,88-92,,Defensive rebound by W. Johnson
2:19.0,,,88-92,,R. Kelly misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by Team,,88-92,,
2:04.0,Shooting foul by W. Ellington (drawn by J. Bayless),,88-92,,
2:04.0,J. Bayless makes free throw 1 of 2,1,89-92,,
2:04.0,,,89-92,,J. Hill enters the game for E. Davis
2:04.0,J. Bayless misses free throw 2 of 2,,89-92,,
2:02.0,,,89-92,,Defensive rebound by W. Johnson
1:48.0,,,89-92,,J. Hill misses 2-pt shot from 10 ft
1:47.0,,,89-92,,Offensive rebound by W. Johnson
1:35.0,,,89-92,,J. Lin misses 2-pt shot from 3 ft (block by Z. Pachulia)
1:25.0,,,89-92,,Offensive rebound by J. Hill
1:25.0,,,89-94,2,J. Hill makes 2-pt shot from 1 ft
1:25.0,J. Bayless makes 2-pt shot from 1 ft,2,91-94,,
1:12.0,,,91-96,2,J. Hill makes 2-pt shot from 19 ft (assist by W. Ellington)
1:03.0,Turnover by J. Bayless (bad pass; steal by W. Johnson),,91-96,,
1:00.0,,,91-98,2,W. Johnson makes 2-pt shot at rim
1:00.0,Milwaukee full timeout,,91-98,,
0:55.0,J. Bayless misses 2-pt shot from 1 ft,,91-98,,
0:55.0,Offensive rebound by Team,,91-98,,
0:55.0,,,91-98,,Loose ball foul by R. Kelly (drawn by Z. Pachulia)
0:55.0,Z. Pachulia makes free throw 1 of 2,1,92-98,,
0:55.0,Z. Pachulia makes free throw 2 of 2,1,93-98,,
0:35.0,,,93-98,,Shooting foul by J. Bayless (drawn by J. Lin)
0:35.0,,,93-99,1,J. Lin makes free throw 1 of 2
0:35.0,T. Ennis enters the game for J. Bayless,,93-99,,
0:35.0,,,93-100,1,J. Lin makes free throw 2 of 2
0:35.0,Milwaukee full timeout,,93-100,,
0:33.0,T. Ennis misses 3-pt shot from 26 ft,,93-100,,
0:31.0,,,93-100,,Defensive rebound by J. Lin
0:30.0,Personal take foul by G. Antetokounmpo (drawn by J. Lin),,93-100,,
0:30.0,,,93-101,1,J. Lin makes free throw 1 of 2
0:30.0,,,93-101,,J. Lin misses free throw 2 of 2
0:28.0,Defensive rebound by G. Antetokounmpo,,93-101,,
0:23.0,K. Middleton misses 3-pt shot from 24 ft,,93-101,,
0:21.0,,,93-101,,Defensive rebound by J. Hill
0:00.0,End of 4th quarter,,,,End of 4th quarter
