time,Milwaukee,pts.away,score,pts.home,Indiana
10:59.0,M. Carter-Williams makes 2-pt shot from 18 ft,2,55-51,,
10:49.0,,,55-53,2,G. Hill makes 2-pt shot at rim
10:37.0,,,55-53,,Personal foul by C. Miles (drawn by K. Middleton)
10:24.0,K. Middleton misses 2-pt shot from 13 ft (block by D. West),,55-53,,
10:22.0,,,55-53,,Defensive rebound by G. Hill
10:17.0,,,55-53,,S. Hill misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by E. Ilyasova,,55-53,,
10:05.0,,,55-53,,Personal foul by I. Mahinmi (drawn by Z. Pachulia)
9:59.0,,,55-53,,Personal foul by D. West (drawn by E. Ilyasova)
9:54.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,55-53,,
9:52.0,,,55-53,,Defensive rebound by I. Mahinmi
9:45.0,Personal foul by E. Ilyasova (drawn by D. West),,55-53,,
9:39.0,,,55-53,,S. Hill misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
9:37.0,Defensive rebound by M. Carter-Williams,,55-53,,
9:24.0,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo),,55-53,,
9:24.0,G. Antetokounmpo makes free throw 1 of 2,1,56-53,,
9:24.0,G. Antetokounmpo misses free throw 2 of 2,,56-53,,
9:23.0,,,56-53,,Defensive rebound by D. West
9:07.0,,,56-53,,Offensive charge foul by G. Hill
9:07.0,,,56-53,,Turnover by G. Hill (offensive foul)
8:59.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by I. Mahinmi),,56-53,,
8:58.0,,,56-53,,Defensive rebound by S. Hill
8:55.0,Shooting block foul by E. Ilyasova (drawn by S. Hill),,56-53,,
8:55.0,,,56-54,1,S. Hill makes free throw 1 of 2
8:55.0,J. Dudley enters the game for E. Ilyasova,,56-54,,
8:55.0,,,56-54,,S. Hill misses free throw 2 of 2
8:54.0,Defensive rebound by Z. Pachulia,,56-54,,
8:44.0,K. Middleton misses 2-pt shot from 16 ft,,56-54,,
8:43.0,,,56-54,,Defensive rebound by G. Hill
