time,Philadelphia,pts.away,score,pts.home,Toronto
6:36.0,,,73-84,,P. Patterson misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by N. Noel,,73-84,,
6:34.0,,,73-84,,Personal foul by K. Lowry (drawn by N. Noel)
6:11.0,K. McDaniels misses 3-pt shot from 23 ft,,73-84,,
6:11.0,,,73-84,,Defensive rebound by Team
6:11.0,Loose ball foul by N. Noel (drawn by P. Patterson),,73-84,,
5:55.0,,,73-86,2,D. DeRozan makes 2-pt shot from 16 ft (assist by K. Lowry)
5:36.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,75-86,,
5:14.0,,,75-86,,D. DeRozan misses 2-pt shot from 15 ft
5:13.0,Defensive rebound by J. Grant,,75-86,,
5:06.0,Philadelphia full timeout,,75-86,,
5:06.0,Official timeout,,75-86,,
5:06.0,H. Thompson enters the game for L. Mbah a Moute,,75-86,,
5:06.0,H. Sims enters the game for N. Noel,,75-86,,
4:54.0,,,75-86,,Personal foul by G. Vasquez (drawn by M. Carter-Williams)
4:54.0,M. Carter-Williams makes free throw 1 of 2,1,76-86,,
4:54.0,M. Carter-Williams makes free throw 2 of 2,1,77-86,,
4:43.0,,,77-88,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
4:34.0,Shooting foul by P. Patterson (drawn by J. Grant),,77-88,,
4:34.0,J. Grant makes free throw 1 of 2,1,78-88,,
4:34.0,J. Grant misses free throw 2 of 2,,78-88,,
4:33.0,,,78-88,,Defensive rebound by A. Johnson
4:19.0,Personal foul by J. Grant (drawn by A. Johnson),,78-88,,
4:06.0,,,78-88,,G. Vasquez misses 2-pt shot from 3 ft (block by K. McDaniels)
4:06.0,,,78-88,,Offensive rebound by Team
4:06.0,N. Noel enters the game for H. Sims,,78-88,,
4:04.0,,,78-88,,P. Patterson misses 2-pt shot from 11 ft
4:03.0,Defensive rebound by M. Carter-Williams,,78-88,,
4:02.0,Turnover by M. Carter-Williams (lost ball; steal by K. Lowry),,78-88,,
3:57.0,,,78-90,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
3:31.0,,,78-90,,Shooting block foul by K. Lowry (drawn by H. Thompson)
3:31.0,H. Thompson misses free throw 1 of 2,,78-90,,
3:31.0,Offensive rebound by Team,,78-90,,
3:31.0,H. Thompson misses free throw 2 of 2,,78-90,,
3:30.0,,,78-90,,Defensive rebound by G. Vasquez
3:16.0,,,78-93,3,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson)
3:15.0,Philadelphia full timeout,,78-93,,
3:15.0,L. Mbah a Moute enters the game for H. Thompson,,78-93,,
2:54.0,M. Carter-Williams misses 3-pt shot from 24 ft,,78-93,,
2:53.0,,,78-93,,Defensive rebound by A. Johnson
2:35.0,,,78-96,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
2:19.0,K. McDaniels misses 2-pt shot from 8 ft,,78-96,,
2:18.0,,,78-96,,Defensive rebound by D. DeRozan
2:00.0,,,78-96,,G. Vasquez misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by J. Grant,,78-96,,
1:50.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,78-96,,
1:49.0,,,78-96,,Defensive rebound by A. Johnson
1:41.0,,,78-96,,Toronto full timeout
1:41.0,,,78-96,,L. Williams enters the game for D. DeRozan
1:41.0,H. Thompson enters the game for L. Mbah a Moute,,78-96,,
1:29.0,,,78-96,,K. Lowry misses 3-pt shot from 26 ft
1:28.0,,,78-96,,Offensive rebound by A. Johnson
1:25.0,,,78-96,,A. Johnson misses 2-pt shot from 1 ft
1:24.0,,,78-96,,Offensive rebound by A. Johnson
1:17.0,,,78-98,2,A. Johnson makes 2-pt shot at rim (assist by L. Williams)
1:11.0,Shooting foul by G. Vasquez (drawn by M. Carter-Williams),,78-98,,
1:11.0,M. Carter-Williams makes free throw 1 of 2,1,79-98,,
1:11.0,M. Carter-Williams misses free throw 2 of 2,,79-98,,
1:10.0,,,79-98,,Defensive rebound by A. Johnson
0:55.0,,,79-98,,L. Williams misses 3-pt shot from 28 ft
0:54.0,Defensive rebound by N. Noel,,79-98,,
0:41.0,H. Thompson misses 3-pt shot from 26 ft,,79-98,,
0:41.0,,,79-98,,Defensive rebound by K. Lowry
0:25.0,,,79-98,,Toronto full timeout
0:25.0,J. Sampson enters the game for M. Carter-Williams,,79-98,,
0:19.0,,,79-98,,Turnover by K. Lowry (lost ball; steal by N. Noel)
0:15.0,J. Sampson misses 2-pt shot from 2 ft,,79-98,,
0:15.0,Offensive rebound by J. Grant,,79-98,,
0:14.0,J. Grant makes 2-pt shot at rim,2,81-98,,
0:12.0,Personal foul by J. Grant (drawn by K. Lowry),,81-98,,
0:12.0,M. Carter-Williams enters the game for J. Grant,,81-98,,
0:12.0,,,81-99,1,K. Lowry makes free throw 1 of 2
0:12.0,,,81-100,1,K. Lowry makes free throw 2 of 2
0:04.0,K. McDaniels makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,84-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
