time,New York,pts.away,score,pts.home,Philadelphia
3:11.0,,,77-91,,I. Smith misses 2-pt shot from 4 ft
3:11.0,,,77-91,,Offensive rebound by N. Noel
3:11.0,Loose ball foul by Q. Acy (drawn by N. Noel),,77-91,,
2:57.0,,,77-91,,L. Mbah a Moute misses 3-pt shot from 26 ft
2:55.0,,,77-91,,Offensive rebound by N. Noel
2:53.0,,,77-91,,N. Noel misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by Q. Acy,,77-91,,
2:36.0,Turnover by A. Shved (bad pass; steal by I. Smith),,77-91,,
2:31.0,,,77-91,,Philadelphia full timeout
2:31.0,T. Wear enters the game for J. Smith,,77-91,,
2:31.0,L. Galloway enters the game for A. Shved,,77-91,,
2:14.0,,,77-93,2,I. Smith makes 2-pt shot from 2 ft
1:56.0,Shooting foul by N. Noel (drawn by Q. Acy),,77-93,,
1:56.0,Q. Acy makes free throw 1 of 2,1,78-93,,
1:56.0,Q. Acy makes free throw 2 of 2,1,79-93,,
1:40.0,,,79-93,,L. Mbah a Moute misses 2-pt shot from 16 ft
1:39.0,Defensive rebound by S. Larkin,,79-93,,
1:30.0,S. Larkin misses 3-pt shot from 25 ft,,79-93,,
1:28.0,,,79-93,,Defensive rebound by N. Noel
1:11.0,,,79-95,2,I. Smith makes 2-pt shot from 2 ft
0:50.0,L. Galloway misses 2-pt shot from 17 ft,,79-95,,
0:48.0,,,79-95,,Defensive rebound by N. Noel
0:30.0,,,79-97,2,I. Smith makes 2-pt shot from 1 ft
0:30.0,New York full timeout,,79-97,,
0:30.0,,,79-97,,H. Thompson enters the game for I. Smith
0:30.0,,,79-97,,J. Grant enters the game for L. Mbah a Moute
0:19.0,L. Galloway misses 2-pt shot from 20 ft,,79-97,,
0:18.0,Offensive rebound by Team,,79-97,,
0:18.0,,,79-97,,Loose ball foul by H. Thompson (drawn by Q. Acy)
0:18.0,Q. Acy makes free throw 1 of 2,1,80-97,,
0:18.0,,,80-97,,I. Smith enters the game for H. Thompson
0:18.0,Q. Acy makes free throw 2 of 2,1,81-97,,
0:02.0,,,81-97,,Turnover by I. Smith (lost ball; steal by S. Larkin)
0:00.0,End of 4th quarter,,,,End of 4th quarter
