time,Milwaukee,pts.away,score,pts.home,Phoenix
3:01.0,Personal foul by J. Bayless (drawn by G. Green),,86-85,,
3:01.0,,,86-86,1,G. Green makes free throw 1 of 2
3:01.0,,,86-87,1,G. Green makes free throw 2 of 2
2:48.0,Z. Pachulia misses 2-pt shot from 6 ft (block by A. Len),,86-87,,
2:48.0,Offensive rebound by Team,,86-87,,
2:48.0,Milwaukee full timeout,,86-87,,
2:45.0,B. Knight misses 3-pt shot from 22 ft,,86-87,,
2:43.0,Offensive rebound by Team,,86-87,,
2:42.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Middleton),2,88-87,,
2:42.0,Shooting foul by A. Len (drawn by Z. Pachulia),,88-87,,
2:42.0,,,88-87,,I. Thomas enters the game for A. Len
2:42.0,Z. Pachulia misses free throw 1 of 1,,88-87,,
2:41.0,,,88-87,,Defensive rebound by M. Morris
2:18.0,,,88-87,,E. Bledsoe misses 3-pt shot from 23 ft
2:16.0,,,88-87,,Offensive rebound by G. Green
2:10.0,,,88-87,,G. Green misses 2-pt shot from 13 ft
2:09.0,Defensive rebound by Z. Pachulia,,88-87,,
1:52.0,J. Bayless misses 2-pt shot from 1 ft,,88-87,,
1:49.0,,,88-87,,Defensive rebound by E. Bledsoe
1:42.0,,,88-87,,Turnover by E. Bledsoe (bad pass; steal by J. Bayless)
1:27.0,Turnover by B. Knight (bad pass; steal by E. Bledsoe),,88-87,,
1:21.0,,,88-87,,I. Thomas misses 3-pt shot from 23 ft
1:18.0,Defensive rebound by J. Bayless,,88-87,,
0:59.0,B. Knight misses 3-pt shot from 25 ft,,88-87,,
0:56.0,,,88-87,,Defensive rebound by M. Morris
0:50.0,,,88-87,,Phoenix full timeout
0:42.0,,,88-90,3,G. Green makes 3-pt shot from 23 ft (assist by M. Morris)
0:29.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Bayless),3,91-90,,
0:29.0,,,91-90,,Phoenix full timeout
0:24.0,,,91-92,2,M. Morris makes 2-pt shot from 1 ft
0:08.0,B. Knight makes 2-pt shot from 5 ft,2,93-92,,
0:07.0,,,93-92,,Phoenix full timeout
0:04.0,,,93-94,2,M. Morris makes 2-pt shot from 13 ft (assist by P. Tucker)
0:04.0,Milwaukee full timeout,,93-94,,
0:04.0,,,93-94,,M. Morris enters the game for I. Thomas
0:04.0,Milwaukee full timeout,,93-94,,
0:04.0,G. Antetokounmpo enters the game for Z. Pachulia,,93-94,,
0:00.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Dudley),3,96-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
