time,Memphis,pts.away,score,pts.home,Detroit
1:44.0,,,92-101,,Personal foul by A. Drummond (drawn by Z. Randolph)
1:29.0,Z. Randolph misses 2-pt shot from 4 ft,,92-101,,
1:28.0,Offensive rebound by T. Allen,,92-101,,
1:26.0,T. Allen misses 2-pt shot at rim,,92-101,,
1:25.0,,,92-101,,Defensive rebound by T. Prince
1:10.0,,,92-103,2,T. Prince makes 2-pt shot from 21 ft (assist by R. Jackson)
1:00.0,B. Udrih misses 2-pt shot from 20 ft,,92-103,,
0:59.0,,,92-103,,Defensive rebound by A. Drummond
0:43.0,,,92-103,,R. Jackson misses 3-pt shot from 26 ft
0:42.0,,,92-103,,Offensive rebound by A. Drummond
0:41.0,,,92-103,,A. Drummond misses 2-pt shot at rim
0:38.0,Defensive rebound by B. Udrih,,92-103,,
0:31.0,T. Allen makes 3-pt shot from 25 ft (assist by B. Udrih),3,95-103,,
0:08.0,,,95-105,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
