time,Milwaukee,pts.away,score,pts.home,Portland
2:33.0,,,84-95,,T. Robinson misses free throw 1 of 2
2:33.0,,,84-95,,Offensive rebound by Team
2:33.0,,,84-95,,T. Robinson misses free throw 2 of 2
2:32.0,Defensive rebound by K. Middleton,,84-95,,
2:24.0,B. Knight makes 2-pt shot from 1 ft,2,86-95,,
2:21.0,Personal take foul by J. Bayless (drawn by T. Robinson),,86-95,,
2:21.0,,,86-95,,T. Robinson misses free throw 1 of 2
2:21.0,,,86-95,,Offensive rebound by Team
2:21.0,,,86-96,1,T. Robinson makes free throw 2 of 2
2:13.0,K. Middleton misses 3-pt shot from 24 ft,,86-96,,
2:12.0,,,86-96,,Defensive rebound by N. Batum
2:10.0,Personal take foul by J. Dudley (drawn by T. Robinson),,86-96,,
2:10.0,,,86-97,1,T. Robinson makes free throw 1 of 2
2:10.0,,,86-97,,T. Robinson misses free throw 2 of 2
2:10.0,Defensive rebound by Team,,86-97,,
2:07.0,,,86-97,,Personal foul by D. Lillard (drawn by J. Dudley)
2:07.0,J. Dudley misses free throw 1 of 2,,86-97,,
2:07.0,Offensive rebound by Team,,86-97,,
2:07.0,,,86-97,,S. Blake enters the game for T. Robinson
2:07.0,J. Dudley makes free throw 2 of 2,1,87-97,,
1:59.0,Personal foul by O. Mayo (drawn by D. Lillard),,87-97,,
1:59.0,,,87-97,,D. Lillard misses free throw 1 of 2
1:59.0,,,87-97,,Offensive rebound by Team
1:59.0,,,87-98,1,D. Lillard makes free throw 2 of 2
1:55.0,Shooting foul by D. Lillard (drawn by B. Knight),,87-98,,
1:55.0,B. Knight makes free throw 1 of 2,1,88-98,,
1:55.0,J. O'Bryant enters the game for J. Dudley,,88-98,,
1:55.0,,,88-98,,T. Robinson enters the game for S. Blake
1:55.0,N. Wolters enters the game for O. Mayo,,88-98,,
1:55.0,B. Knight makes free throw 2 of 2,1,89-98,,
1:45.0,,,89-98,,Portland full timeout
1:45.0,,,89-98,,S. Blake enters the game for T. Robinson
1:40.0,Personal foul by B. Knight (drawn by D. Lillard),,89-98,,
1:40.0,,,89-99,1,D. Lillard makes free throw 1 of 2
1:40.0,,,89-100,1,D. Lillard makes free throw 2 of 2
1:33.0,J. Bayless misses 2-pt shot from 22 ft,,89-100,,
1:33.0,,,89-100,,Defensive rebound by L. Aldridge
1:14.0,,,89-100,,S. Blake misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by Team,,89-100,,
1:12.0,K. Marshall enters the game for B. Knight,,89-100,,
1:05.0,J. O'Bryant makes 2-pt shot from 4 ft (assist by J. Bayless),2,91-100,,
0:48.0,,,91-100,,D. Lillard misses 3-pt shot from 24 ft
0:46.0,,,91-100,,Offensive rebound by L. Aldridge
0:29.0,,,91-100,,D. Lillard misses 2-pt shot from 1 ft
0:28.0,,,91-100,,Offensive rebound by N. Batum
0:28.0,,,91-102,2,N. Batum makes 2-pt shot at rim
0:24.0,Shooting foul by W. Matthews (drawn by K. Middleton),,91-102,,
0:24.0,K. Middleton makes free throw 1 of 3,1,92-102,,
0:24.0,K. Middleton makes free throw 2 of 3,1,93-102,,
0:24.0,,,93-102,,C. McCollum enters the game for N. Batum
0:24.0,,,93-102,,T. Robinson enters the game for L. Aldridge
0:24.0,,,93-102,,A. Crabbe enters the game for W. Matthews
0:24.0,,,93-102,,J. Freeland enters the game for D. Lillard
0:24.0,K. Middleton makes free throw 3 of 3,1,94-102,,
0:05.0,,,94-104,2,C. McCollum makes 2-pt shot at rim
0:00.0,K. Marshall makes 3-pt shot from 24 ft (assist by J. Bayless),3,97-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
