time,Washington,pts.away,score,pts.home,Houston
2:38.0,Turnover by J. Wall (step out of bounds),,93-87,,
2:17.0,,,93-89,2,J. Harden makes 2-pt shot from 18 ft
2:06.0,Turnover by J. Wall (lost ball; steal by C. Brewer),,93-89,,
2:02.0,,,93-91,2,P. Beverley makes 2-pt shot from 1 ft (assist by C. Brewer)
2:02.0,Washington full timeout,,93-91,,
2:02.0,R. Butler enters the game for M. Gortat,,93-91,,
1:47.0,,,93-91,,Shooting block foul by P. Beverley (drawn by B. Beal)
1:47.0,B. Beal makes free throw 1 of 2,1,94-91,,
1:47.0,B. Beal makes free throw 2 of 2,1,95-91,,
1:34.0,,,95-91,,J. Harden misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by B. Beal,,95-91,,
1:12.0,P. Pierce makes 3-pt shot from 24 ft (assist by B. Beal),3,98-91,,
1:12.0,,,98-91,,Houston full timeout
1:08.0,,,98-91,,Turnover by T. Ariza (step out of bounds)
0:50.0,Turnover by B. Beal (lost ball),,98-91,,
0:44.0,,,98-94,3,P. Beverley makes 3-pt shot from 25 ft
0:30.0,,,98-94,,Violation by D. Howard (kicked ball)
0:29.0,,,98-94,,Personal take foul by J. Harden (drawn by B. Beal)
0:29.0,B. Beal makes free throw 1 of 2,1,99-94,,
0:29.0,B. Beal makes free throw 2 of 2,1,100-94,,
0:20.0,,,100-96,2,J. Harden makes 2-pt shot from 1 ft
0:20.0,,,100-96,,Shooting foul by N. Hilario (drawn by J. Harden)
0:20.0,,,100-97,1,J. Harden makes free throw 1 of 1
0:13.0,,,100-97,,Personal take foul by P. Beverley (drawn by B. Beal)
0:13.0,B. Beal makes free throw 1 of 2,1,101-97,,
0:13.0,B. Beal makes free throw 2 of 2,1,102-97,,
0:07.0,,,102-100,3,J. Harden makes 3-pt shot from 25 ft
0:06.0,,,102-100,,Personal take foul by J. Harden (drawn by J. Wall)
0:06.0,J. Wall makes free throw 1 of 2,1,103-100,,
0:06.0,J. Wall makes free throw 2 of 2,1,104-100,,
0:01.0,,,104-103,3,J. Harden makes 3-pt shot from 25 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
