time,Golden State,pts.away,score,pts.home,Detroit
3:07.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,43-35,,
2:51.0,,,43-35,,Shooting foul by A. Bogut (drawn by B. Jennings)
2:51.0,Golden State full timeout,,43-35,,
2:51.0,M. Speights enters the game for A. Bogut,,43-35,,
2:51.0,,,43-35,,K. Caldwell-Pope enters the game for C. Martin
2:51.0,,,43-36,1,B. Jennings makes free throw 1 of 2
2:51.0,,,43-37,1,B. Jennings makes free throw 2 of 2
2:30.0,Turnover by M. Speights (bad pass; steal by J. Smith),,43-37,,
2:21.0,,,43-39,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Smith)
2:05.0,D. Green makes 3-pt shot from 26 ft (assist by H. Barnes),3,46-39,,
1:46.0,,,46-39,,B. Jennings misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by M. Speights,,46-39,,
1:37.0,S. Curry makes 3-pt shot from 26 ft,3,49-39,,
1:18.0,,,49-39,,B. Jennings misses 2-pt shot from 2 ft
1:17.0,,,49-39,,Offensive rebound by B. Jennings
1:17.0,Personal foul by D. Green (drawn by B. Jennings),,49-39,,
1:04.0,,,49-39,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by K. Thompson,,49-39,,
0:54.0,Turnover by D. Green (bad pass),,49-39,,
0:39.0,,,49-39,,B. Jennings misses 2-pt shot at rim
0:37.0,Defensive rebound by K. Thompson,,49-39,,
0:32.0,Shooting foul by G. Monroe (drawn by M. Speights),,49-39,,
0:32.0,M. Speights makes free throw 1 of 2,1,50-39,,
0:32.0,M. Speights makes free throw 2 of 2,1,51-39,,
0:16.0,,,51-39,,Shooting foul by K. Thompson (drawn by G. Monroe)
0:16.0,,,51-40,1,G. Monroe makes free throw 1 of 2
0:16.0,,,51-40,,G. Monroe misses free throw 2 of 2
0:16.0,,,51-40,,Offensive rebound by J. Smith
0:09.0,,,51-40,,K. Singler misses 3-pt shot from 22 ft
0:08.0,Defensive rebound by H. Barnes,,51-40,,
0:01.0,D. Green makes 2-pt shot from 7 ft (assist by S. Curry),2,53-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,53-42,2,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings)
11:21.0,A. Bogut makes 2-pt shot from 6 ft (assist by K. Thompson),2,55-42,,
11:06.0,,,55-42,,J. Smith misses 2-pt shot from 5 ft
11:05.0,Defensive rebound by H. Barnes,,55-42,,
10:57.0,S. Curry makes 2-pt shot from 17 ft (assist by D. Green),2,57-42,,
10:34.0,,,57-42,,Turnover by A. Drummond (lost ball)
10:16.0,A. Bogut misses 2-pt shot from 6 ft,,57-42,,
10:16.0,Offensive rebound by H. Barnes,,57-42,,
10:16.0,Shooting foul by A. Drummond (drawn by H. Barnes),,57-42,,
10:16.0,H. Barnes makes free throw 1 of 2,1,58-42,,
10:16.0,H. Barnes makes free throw 2 of 2,1,59-42,,
10:02.0,,,59-42,,K. Caldwell-Pope misses 2-pt shot from 8 ft
10:01.0,Defensive rebound by D. Green,,59-42,,
9:49.0,D. Green makes 3-pt shot from 27 ft (assist by S. Curry),3,62-42,,
9:25.0,,,62-45,3,B. Jennings makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
9:06.0,D. Green misses 3-pt shot from 25 ft,,62-45,,
9:05.0,,,62-45,,Defensive rebound by J. Smith
8:56.0,,,62-45,,J. Smith misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by D. Green,,62-45,,
8:46.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,65-45,,
8:46.0,,,65-45,,Detroit full timeout
8:29.0,,,65-45,,J. Smith misses 2-pt shot from 4 ft
