time,Detroit,pts.away,score,pts.home,Charlotte
2:18.0,Defensive rebound by Team,,104-73,,
2:18.0,Detroit full timeout,,104-73,,
2:05.0,L. Datome misses 2-pt shot from 2 ft,,104-73,,
2:04.0,,,104-73,,Defensive rebound by J. Taylor
1:53.0,,,104-76,3,J. Taylor makes 3-pt shot from 25 ft (assist by B. Roberts)
1:44.0,Offensive foul by J. Jerebko,,104-76,,
1:44.0,Turnover by J. Jerebko (offensive foul),,104-76,,
1:44.0,,,104-76,,Charlotte full timeout
1:44.0,,,104-76,,M. Williams enters the game for P. Hairston
1:28.0,,,104-76,,B. Roberts misses 3-pt shot from 24 ft
1:27.0,,,104-76,,Offensive rebound by N. Vonleh
1:27.0,,,104-78,2,N. Vonleh makes 2-pt shot from 6 ft
0:56.0,,,104-78,,N. Vonleh misses 2-pt shot from 7 ft
0:55.0,Defensive rebound by L. Datome,,104-78,,
0:41.0,J. Meeks misses 3-pt shot from 26 ft,,104-78,,
0:40.0,,,104-78,,Defensive rebound by B. Roberts
0:23.0,,,104-78,,B. Roberts misses 2-pt shot from 6 ft
0:22.0,Defensive rebound by L. Datome,,104-78,,
0:18.0,J. Meeks makes 2-pt shot at rim (assist by L. Datome),2,106-78,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
