time,Minnesota,pts.away,score,pts.home,Philadelphia
0:51.0,Offensive rebound by G. Dieng,,90-99,,
0:51.0,G. Dieng misses 2-pt shot from 2 ft,,90-99,,
0:50.0,Offensive rebound by A. Wiggins,,90-99,,
0:50.0,A. Wiggins makes 2-pt shot from 1 ft,2,92-99,,
0:48.0,,,92-99,,Philadelphia full timeout
0:46.0,,,92-99,,Turnover by M. Carter-Williams (lost ball)
0:42.0,T. Young misses 2-pt shot from 3 ft (block by N. Noel),,92-99,,
0:39.0,,,92-99,,Defensive rebound by M. Carter-Williams
0:33.0,,,92-99,,Turnover by L. Mbah a Moute (bad pass; steal by G. Dieng)
0:22.0,K. Martin makes 2-pt shot from 17 ft (assist by L. Brown),2,94-99,,
0:21.0,Personal foul by L. Brown (drawn by L. Mbah a Moute),,94-99,,
0:21.0,,,94-100,1,L. Mbah a Moute makes free throw 1 of 2
0:21.0,,,94-101,1,L. Mbah a Moute makes free throw 2 of 2
0:17.0,K. Martin misses 2-pt shot from 4 ft (block by N. Noel),,94-101,,
0:15.0,Offensive rebound by A. Wiggins,,94-101,,
0:14.0,A. Wiggins misses 2-pt shot from 2 ft,,94-101,,
0:13.0,,,94-101,,Defensive rebound by M. Carter-Williams
0:11.0,,,94-101,,Shooting foul by T. Young (drawn by M. Carter-Williams)
0:11.0,,,94-102,1,M. Carter-Williams makes free throw 1 of 2
0:11.0,,,94-103,1,M. Carter-Williams makes free throw 2 of 2
0:04.0,G. Dieng misses 2-pt shot from 7 ft,,94-103,,
0:02.0,,,94-103,,Defensive rebound by L. Mbah a Moute
0:00.0,End of 4th quarter,,,,End of 4th quarter
