time,Charlotte,pts.away,score,pts.home,LA Lakers
2:07.0,,,86-101,,R. Price enters the game for C. Boozer
2:07.0,,,86-101,,R. Sacre enters the game for J. Hill
2:07.0,,,86-101,,X. Henry enters the game for K. Bryant
2:07.0,,,86-101,,E. Davis enters the game for J. Lin
2:04.0,G. Henderson makes 2-pt shot from 13 ft (assist by P. Hairston),2,88-101,,
1:34.0,Turnover by C. Zeller (bad pass; steal by R. Price),,88-101,,
1:13.0,,,88-103,2,R. Sacre makes 2-pt shot from 16 ft (assist by R. Price)
1:02.0,Shooting foul by E. Davis (drawn by C. Zeller),,88-103,,
1:02.0,C. Zeller makes free throw 1 of 2,1,89-103,,
1:02.0,C. Zeller makes free throw 2 of 2,1,90-103,,
0:52.0,Personal foul by J. Pargo (drawn by X. Henry),,90-103,,
0:40.0,,,90-105,2,R. Sacre makes 2-pt shot from 20 ft (assist by R. Price)
0:33.0,,,90-105,,Personal foul by R. Price (drawn by J. Pargo)
0:33.0,J. Pargo makes free throw 1 of 2,1,91-105,,
0:33.0,J. Pargo makes free throw 2 of 2,1,92-105,,
0:24.0,Personal foul by J. Pargo (drawn by R. Price),,92-105,,
0:24.0,,,92-106,1,R. Price makes free throw 1 of 2
0:24.0,,,92-107,1,R. Price makes free throw 2 of 2
0:12.0,Turnover by B. Biyombo (lost ball; steal by X. Henry),,92-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
