time,Toronto,pts.away,score,pts.home,Houston
6:55.0,,,59-79,,Defensive rebound by C. Brewer
6:49.0,,,59-79,,T. Jones misses 2-pt shot from 6 ft
6:48.0,,,59-79,,Offensive rebound by D. Motiejunas
6:48.0,,,59-81,2,D. Motiejunas makes 2-pt shot from 1 ft
6:31.0,Shooting foul by J. Terry (drawn by J. Johnson),,59-81,,
6:31.0,J. Johnson makes free throw 1 of 2,1,60-81,,
6:31.0,J. Johnson makes free throw 2 of 2,1,61-81,,
6:20.0,,,61-81,,T. Ariza misses 3-pt shot from 24 ft (block by J. Johnson)
6:20.0,,,61-81,,Offensive rebound by Team
6:08.0,,,61-81,,T. Jones misses 2-pt shot from 4 ft (block by D. DeRozan)
6:07.0,,,61-81,,Offensive rebound by D. Motiejunas
6:07.0,,,61-81,,D. Motiejunas misses 2-pt shot from 2 ft
6:06.0,,,61-81,,Offensive rebound by D. Motiejunas
6:05.0,,,61-83,2,D. Motiejunas makes 2-pt shot from 1 ft
5:46.0,D. DeRozan misses 2-pt shot from 18 ft,,61-83,,
5:44.0,,,61-83,,Defensive rebound by T. Jones
5:30.0,,,61-83,,D. Motiejunas misses 2-pt shot from 8 ft
5:30.0,,,61-83,,Offensive rebound by T. Jones
5:30.0,,,61-83,,Shooting foul by G. Vasquez (drawn by T. Jones)
5:30.0,,,61-83,,Houston full timeout
5:30.0,J. Valanciunas enters the game for G. Vasquez,,61-83,,
5:30.0,,,61-84,1,T. Jones makes free throw 1 of 2
5:30.0,,,61-85,1,T. Jones makes free throw 2 of 2
5:17.0,J. Johnson makes 2-pt shot from 2 ft,2,63-85,,
5:17.0,Shooting foul by T. Jones (drawn by J. Johnson),,63-85,,
5:17.0,J. Johnson makes free throw 1 of 1,1,64-85,,
5:05.0,,,64-85,,Shooting foul by J. Valanciunas (drawn by T. Jones)
5:05.0,,,64-86,1,T. Jones makes free throw 1 of 2
5:05.0,,,64-86,,T. Jones misses free throw 2 of 2
5:05.0,,,64-86,,Offensive rebound by T. Ariza
5:04.0,,,64-86,,K. Papanikolaou enters the game for T. Jones
4:55.0,,,64-86,,C. Brewer misses 2-pt shot from 7 ft
4:53.0,Defensive rebound by J. Johnson,,64-86,,
4:41.0,J. Johnson makes 2-pt shot from 2 ft,2,66-86,,
4:41.0,Shooting foul by D. Motiejunas (drawn by J. Johnson),,66-86,,
4:41.0,J. Johnson misses free throw 1 of 1,,66-86,,
4:41.0,,,66-86,,Defensive rebound by J. Terry
4:34.0,,,66-86,,T. Ariza misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by J. Valanciunas,,66-86,,
4:20.0,,,66-86,,Personal foul by C. Brewer (drawn by J. Johnson)
4:20.0,J. Johnson makes free throw 1 of 2,1,67-86,,
4:20.0,G. Vasquez enters the game for K. Lowry,,67-86,,
4:20.0,J. Johnson makes free throw 2 of 2,1,68-86,,
4:12.0,,,68-86,,K. Papanikolaou misses 3-pt shot from 25 ft (block by J. Johnson)
4:12.0,,,68-86,,Offensive rebound by Team
4:09.0,,,68-88,2,C. Brewer makes 2-pt shot from 2 ft (assist by T. Ariza)
3:53.0,D. DeRozan misses 2-pt shot from 15 ft,,68-88,,
3:51.0,,,68-88,,Defensive rebound by C. Brewer
3:48.0,,,68-90,2,C. Brewer makes 2-pt shot from 2 ft
3:48.0,,,68-90,,Shooting foul by T. Ross (drawn by C. Brewer)
3:48.0,L. Fields enters the game for D. DeRozan,,68-90,,
3:48.0,,,68-90,,K. McDaniels enters the game for T. Ariza
3:48.0,,,68-90,,P. Prigioni enters the game for J. Terry
3:48.0,,,68-91,1,C. Brewer makes free throw 1 of 1
3:30.0,T. Ross misses 2-pt shot from 15 ft,,68-91,,
3:28.0,,,68-91,,Defensive rebound by Team
3:19.0,,,68-91,,C. Brewer misses 2-pt shot from 4 ft
3:17.0,Defensive rebound by J. Valanciunas,,68-91,,
3:09.0,J. Johnson misses 2-pt shot from 7 ft,,68-91,,
3:08.0,Offensive rebound by J. Valanciunas,,68-91,,
3:08.0,J. Valanciunas makes 2-pt shot from 1 ft,2,70-91,,
3:08.0,Shooting foul by D. Motiejunas (drawn by J. Valanciunas),,70-91,,
3:08.0,,,70-91,,J. Dorsey enters the game for D. Motiejunas
3:08.0,L. Nogueira enters the game for J. Johnson,,70-91,,
3:08.0,J. Valanciunas makes free throw 1 of 1,1,71-91,,
2:51.0,,,71-91,,K. McDaniels misses 2-pt shot from 19 ft
2:49.0,Defensive rebound by T. Ross,,71-91,,
2:41.0,T. Ross misses 2-pt shot from 16 ft,,71-91,,
2:39.0,,,71-91,,Defensive rebound by J. Dorsey
2:25.0,,,71-91,,K. McDaniels misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by G. Vasquez,,71-91,,
2:08.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by T. Ross),2,73-91,,
1:55.0,,,73-93,2,C. Brewer makes 2-pt shot from 19 ft
1:50.0,Toronto full timeout,,73-93,,
1:50.0,G. Stiemsma enters the game for J. Valanciunas,,73-93,,
1:38.0,L. Fields misses 2-pt shot from 6 ft,,73-93,,
1:37.0,,,73-93,,Defensive rebound by C. Brewer
1:19.0,,,73-95,2,J. Dorsey makes 2-pt shot from 2 ft (assist by K. Papanikolaou)
1:01.0,T. Ross misses 2-pt shot from 16 ft,,73-95,,
1:00.0,,,73-95,,Defensive rebound by C. Brewer
0:53.0,,,73-95,,Turnover by K. Papanikolaou (bad pass; steal by T. Ross)
0:47.0,G. Vasquez makes 3-pt shot from 23 ft,3,76-95,,
0:36.0,,,76-97,2,J. Dorsey makes 2-pt shot from 1 ft (assist by P. Prigioni)
0:27.0,G. Vasquez misses 2-pt shot from 19 ft,,76-97,,
0:25.0,Offensive rebound by L. Nogueira,,76-97,,
0:23.0,L. Nogueira misses 2-pt shot from 1 ft,,76-97,,
0:23.0,,,76-97,,Defensive rebound by C. Brewer
0:23.0,Personal foul by G. Vasquez (drawn by C. Brewer),,76-97,,
0:23.0,,,76-97,,C. Brewer misses free throw 1 of 2
0:23.0,,,76-97,,Offensive rebound by Team
0:23.0,,,76-98,1,C. Brewer makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
