time,Memphis,pts.away,score,pts.home,Sacramento
4:15.0,,,83-95,2,R. Gay makes 2-pt shot from 16 ft
4:05.0,Turnover by M. Conley (lost ball),,83-95,,
4:05.0,,,83-95,,D. Cousins enters the game for O. Casspi
3:50.0,,,83-95,,D. Cousins misses 2-pt shot from 5 ft (block by M. Gasol)
3:49.0,Defensive rebound by M. Conley,,83-95,,
3:32.0,M. Gasol misses 2-pt shot from 6 ft (block by J. Thompson),,83-95,,
3:32.0,,,83-95,,Defensive rebound by Team
3:32.0,Loose ball foul by M. Gasol (drawn by J. Thompson),,83-95,,
3:32.0,,,83-96,1,J. Thompson makes free throw 1 of 2
3:32.0,J. Green enters the game for T. Allen,,83-96,,
3:32.0,,,83-97,1,J. Thompson makes free throw 2 of 2
3:25.0,M. Conley makes 2-pt shot from 2 ft,2,85-97,,
3:02.0,,,85-97,,R. Gay misses 3-pt shot from 24 ft
3:01.0,,,85-97,,Offensive rebound by J. Thompson
2:49.0,,,85-97,,Turnover by R. Gay (bad pass)
2:27.0,Z. Randolph misses 2-pt shot from 5 ft,,85-97,,
2:26.0,,,85-97,,Defensive rebound by R. Gay
2:14.0,,,85-97,,R. Gay misses 2-pt shot from 6 ft
2:13.0,,,85-97,,Offensive rebound by D. Cousins
2:13.0,,,85-99,2,D. Cousins makes 2-pt shot from 2 ft
2:13.0,Memphis full timeout,,85-99,,
1:59.0,C. Lee misses 2-pt shot from 18 ft,,85-99,,
1:59.0,,,85-99,,Defensive rebound by A. Miller
1:40.0,,,85-99,,J. Thompson misses 2-pt shot from 15 ft
1:39.0,Defensive rebound by C. Lee,,85-99,,
1:33.0,Z. Randolph makes 2-pt shot from 1 ft (assist by C. Lee),2,87-99,,
1:11.0,,,87-101,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Gay)
1:00.0,C. Lee makes 3-pt shot from 23 ft (assist by J. Green),3,90-101,,
0:46.0,,,90-101,,Turnover by D. Cousins (offensive foul)
0:46.0,,,90-101,,Offensive foul by D. Cousins
0:46.0,,,90-101,,R. McCallum enters the game for D. Cousins
0:37.0,Turnover by M. Conley (bad pass; steal by B. McLemore),,90-101,,
0:32.0,Personal foul by J. Green (drawn by R. McCallum),,90-101,,
0:32.0,,,90-101,,R. McCallum misses free throw 1 of 2
0:32.0,,,90-101,,Offensive rebound by Team
0:32.0,N. Calathes enters the game for Z. Randolph,,90-101,,
0:32.0,J. Green enters the game for C. Lee,,90-101,,
0:32.0,J. Adams enters the game for M. Conley,,90-101,,
0:32.0,,,90-102,1,R. McCallum makes free throw 2 of 2
0:26.0,J. Green misses 2-pt shot from 19 ft,,90-102,,
0:25.0,,,90-102,,Defensive rebound by J. Thompson
0:15.0,,,90-102,,Sacramento full timeout
0:15.0,J. Leuer enters the game for M. Gasol,,90-102,,
0:01.0,,,90-102,,B. McLemore misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by N. Calathes,,90-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
