time,Toronto,pts.away,score,pts.home,San Antonio
3:21.0,,,94-102,2,K. Leonard makes 2-pt shot from 7 ft
3:04.0,D. DeRozan misses 2-pt shot from 7 ft,,94-102,,
3:03.0,Offensive rebound by A. Johnson,,94-102,,
2:59.0,P. Patterson misses 3-pt shot from 23 ft,,94-102,,
2:58.0,,,94-102,,Defensive rebound by D. Green
2:52.0,Personal block foul by D. DeRozan (drawn by K. Leonard),,94-102,,
2:52.0,Toronto full timeout,,94-102,,
2:52.0,,,94-103,1,K. Leonard makes free throw 1 of 2
2:52.0,,,94-104,1,K. Leonard makes free throw 2 of 2
2:34.0,,,94-104,,Personal foul by T. Parker (drawn by A. Johnson)
2:34.0,A. Johnson misses free throw 1 of 2,,94-104,,
2:34.0,Offensive rebound by Team,,94-104,,
2:34.0,A. Johnson misses free throw 2 of 2,,94-104,,
2:34.0,,,94-104,,Defensive rebound by T. Duncan
2:12.0,,,94-107,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
1:48.0,L. Williams misses 3-pt shot from 23 ft,,94-107,,
1:47.0,Offensive rebound by P. Patterson,,94-107,,
1:47.0,P. Patterson misses 2-pt shot at rim,,94-107,,
1:45.0,Offensive rebound by A. Johnson,,94-107,,
1:45.0,A. Johnson makes 2-pt shot at rim,2,96-107,,
1:31.0,,,96-107,,K. Leonard misses 2-pt shot from 16 ft
1:30.0,Defensive rebound by A. Johnson,,96-107,,
1:22.0,K. Lowry misses 2-pt shot from 1 ft,,96-107,,
1:21.0,,,96-107,,Defensive rebound by Team
1:07.0,,,96-109,2,T. Duncan makes 2-pt shot from 1 ft (assist by D. Green)
1:07.0,Toronto full timeout,,96-109,,
1:01.0,P. Patterson misses 3-pt shot from 23 ft,,96-109,,
1:00.0,,,96-109,,Defensive rebound by D. Green
0:56.0,,,96-109,,San Antonio full timeout
0:56.0,,,96-109,,A. Baynes enters the game for T. Duncan
0:48.0,Personal foul by P. Patterson (drawn by D. Green),,96-109,,
0:48.0,,,96-110,1,D. Green makes free throw 1 of 2
0:48.0,,,96-110,,D. Green misses free throw 2 of 2
0:48.0,,,96-110,,Offensive rebound by A. Baynes
0:29.0,,,96-112,2,K. Leonard makes 2-pt shot from 2 ft
0:19.0,K. Lowry makes 3-pt shot from 24 ft (assist by A. Johnson),3,99-112,,
0:17.0,Personal foul by L. Williams (drawn by D. Green),,99-112,,
0:17.0,,,99-113,1,D. Green makes free throw 1 of 2
0:17.0,,,99-113,,J. Ayres enters the game for T. Splitter
0:17.0,,,99-113,,C. Joseph enters the game for T. Parker
0:17.0,,,99-113,,R. Williams enters the game for K. Leonard
0:17.0,,,99-114,1,D. Green makes free throw 2 of 2
0:13.0,K. Lowry makes 3-pt shot from 25 ft,3,102-114,,
0:12.0,Personal foul by K. Lowry (drawn by C. Joseph),,102-114,,
0:12.0,,,102-115,1,C. Joseph makes free throw 1 of 2
0:12.0,,,102-116,1,C. Joseph makes free throw 2 of 2
0:11.0,L. Williams makes 2-pt shot from 8 ft,2,104-116,,
0:09.0,Personal foul by P. Patterson (drawn by C. Joseph),,104-116,,
0:09.0,,,104-116,,C. Joseph misses free throw 1 of 2
0:09.0,,,104-116,,Offensive rebound by Team
0:09.0,,,104-117,1,C. Joseph makes free throw 2 of 2
0:04.0,K. Lowry makes 3-pt shot from 31 ft (assist by A. Johnson),3,107-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
