time,New Orleans,pts.away,score,pts.home,Sacramento
1:05.0,A. Davis misses 2-pt shot from 4 ft,,39-50,,
1:05.0,,,39-50,,Defensive rebound by B. McLemore
1:05.0,,,39-50,,Turnover by B. McLemore (traveling)
1:05.0,R. Anderson enters the game for L. Babbitt,,39-50,,
0:57.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,41-50,,
0:40.0,,,41-50,,R. Gay misses 2-pt shot from 15 ft
0:38.0,,,41-50,,Offensive rebound by J. Thompson
0:38.0,,,41-50,,J. Thompson misses 2-pt shot at rim
0:37.0,,,41-50,,Offensive rebound by R. Gay
0:31.0,,,41-52,2,J. Thompson makes 2-pt shot from 3 ft (assist by R. Gay)
0:20.0,J. Holiday makes 2-pt shot from 2 ft,2,43-52,,
0:07.0,Personal foul by J. Holiday (drawn by D. Collison),,43-52,,
0:07.0,,,43-53,1,D. Collison makes free throw 1 of 2
0:07.0,,,43-53,,R. Hollins enters the game for J. Thompson
0:07.0,,,43-54,1,D. Collison makes free throw 2 of 2
0:02.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon),2,45-54,,
0:00.0,,,45-54,,R. Gay misses 3-pt shot from 40 ft
0:00.0,,,45-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-56,2,B. McLemore makes 2-pt shot from 2 ft
11:19.0,T. Evans makes 2-pt shot from 1 ft,2,47-56,,
10:56.0,,,47-56,,Shooting foul by T. Evans (drawn by R. Gay)
10:56.0,,,47-56,,R. Gay misses free throw 1 of 2
10:56.0,,,47-56,,Offensive rebound by Team
10:56.0,,,47-57,1,R. Gay makes free throw 2 of 2
10:47.0,T. Evans makes 2-pt shot from 3 ft,2,49-57,,
10:26.0,,,49-57,,R. Gay misses 2-pt shot from 7 ft
10:26.0,Defensive rebound by A. Davis,,49-57,,
10:20.0,,,49-57,,Violation by D. Cousins (kicked ball)
10:05.0,T. Evans misses 2-pt shot from 8 ft,,49-57,,
10:05.0,,,49-57,,Defensive rebound by D. Cousins
9:53.0,Personal foul by A. Ajinca (drawn by D. Cousins),,49-57,,
9:42.0,,,49-57,,B. McLemore misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by A. Ajinca,,49-57,,
9:22.0,A. Davis misses 2-pt shot from 10 ft,,49-57,,
9:21.0,,,49-57,,Defensive rebound by R. Gay
9:16.0,,,49-57,,Turnover by R. Gay (lost ball; steal by A. Davis)
9:12.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,51-57,,
9:12.0,,,51-57,,Sacramento full timeout
9:01.0,,,51-57,,Turnover by D. Cousins (lost ball)
8:37.0,J. Holiday misses 3-pt shot from 23 ft,,51-57,,
8:35.0,Offensive rebound by T. Evans,,51-57,,
8:30.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,54-57,,
8:13.0,,,54-57,,Offensive charge foul by D. Cousins
8:13.0,,,54-57,,Turnover by D. Cousins (offensive foul)
7:58.0,J. Holiday misses 2-pt shot from 2 ft,,54-57,,
7:57.0,Offensive rebound by A. Ajinca,,54-57,,
7:57.0,A. Ajinca makes 2-pt shot from 1 ft,2,56-57,,
7:50.0,,,56-57,,Sacramento full timeout
7:34.0,,,56-57,,D. Collison misses 2-pt shot from 20 ft
7:33.0,Defensive rebound by A. Davis,,56-57,,
7:19.0,T. Evans misses 2-pt shot from 2 ft,,56-57,,
7:18.0,,,56-57,,Defensive rebound by D. Cousins
7:09.0,,,56-59,2,D. Cousins makes 2-pt shot from 4 ft
6:54.0,E. Gordon misses 3-pt shot from 25 ft,,56-59,,
6:53.0,,,56-59,,Defensive rebound by D. Cousins
6:44.0,,,56-59,,Turnover by R. Gay (lost ball; steal by E. Gordon)
6:29.0,T. Evans makes 3-pt shot from 25 ft,3,59-59,,
6:16.0,,,59-59,,D. Collison misses 2-pt shot from 2 ft
6:14.0,,,59-59,,Offensive rebound by J. Thompson
6:14.0,,,59-61,2,J. Thompson makes 2-pt shot at rim
6:02.0,A. Davis makes 2-pt shot from 4 ft,2,61-61,,
5:42.0,,,61-61,,D. Cousins misses 2-pt shot from 19 ft
5:41.0,,,61-61,,Offensive rebound by J. Thompson
5:41.0,,,61-61,,J. Thompson misses 2-pt shot from 2 ft
5:40.0,,,61-61,,Offensive rebound by J. Thompson
5:40.0,,,61-61,,Shooting foul by A. Davis (drawn by J. Thompson)
5:40.0,,,61-61,,J. Thompson misses free throw 1 of 2
5:40.0,,,61-61,,Offensive rebound by Team
5:40.0,,,61-61,,N. Stauskas enters the game for B. McLemore
5:40.0,R. Anderson enters the game for A. Ajinca,,61-61,,
5:40.0,,,61-62,1,J. Thompson makes free throw 2 of 2
5:25.0,T. Evans misses 3-pt shot from 24 ft,,61-62,,
5:24.0,,,61-62,,Defensive rebound by D. Collison
5:01.0,,,61-62,,D. Collison misses 2-pt shot from 20 ft
5:01.0,Defensive rebound by T. Evans,,61-62,,
4:57.0,Offensive charge foul by T. Evans,,61-62,,
4:57.0,Turnover by T. Evans (offensive foul),,61-62,,
4:32.0,,,61-62,,D. Collison misses 2-pt shot from 2 ft
4:31.0,,,61-62,,Offensive rebound by D. Cousins
4:29.0,,,61-62,,D. Cousins misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by R. Anderson,,61-62,,
4:24.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,63-62,,
3:54.0,,,63-62,,D. Collison misses 2-pt shot from 18 ft
3:53.0,,,63-62,,Offensive rebound by D. Cousins
3:53.0,,,63-62,,D. Cousins misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by T. Evans,,63-62,,
3:41.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday),3,66-62,,
3:32.0,,,66-62,,Sacramento full timeout
3:32.0,,,66-62,,R. McCallum enters the game for R. Gay
3:32.0,,,66-62,,O. Casspi enters the game for J. Thompson
3:32.0,,,66-62,,C. Landry enters the game for D. Collison
3:32.0,L. Babbitt enters the game for T. Evans,,66-62,,
3:19.0,,,66-64,2,D. Cousins makes 2-pt shot from 3 ft
3:19.0,,,66-64,,Shooting foul by A. Davis (drawn by D. Cousins)
3:19.0,,,66-65,1,D. Cousins makes free throw 1 of 1
3:04.0,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon),3,69-65,,
2:44.0,,,69-65,,Turnover by R. McCallum (lost ball; steal by J. Holiday)
2:39.0,J. Holiday misses 2-pt shot from 2 ft (block by D. Cousins),,69-65,,
2:38.0,,,69-65,,Defensive rebound by C. Landry
2:31.0,,,69-65,,O. Casspi misses 2-pt shot from 8 ft
2:30.0,Defensive rebound by J. Holiday,,69-65,,
2:23.0,R. Anderson misses 3-pt shot from 23 ft,,69-65,,
2:23.0,,,69-65,,Defensive rebound by C. Landry
2:09.0,,,69-65,,Shooting foul by R. Anderson (drawn by D. Cousins)
2:09.0,,,69-67,2,D. Cousins makes 2-pt shot from 1 ft
2:09.0,A. Rivers enters the game for E. Gordon,,69-67,,
2:09.0,,,69-67,,D. Cousins misses free throw 1 of 1
2:08.0,Defensive rebound by A. Davis,,69-67,,
1:50.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday),3,72-67,,
1:33.0,,,72-67,,O. Casspi misses 2-pt shot from 6 ft
1:33.0,Defensive rebound by L. Babbitt,,72-67,,
1:20.0,Shooting foul by C. Landry (drawn by A. Davis),,72-67,,
1:20.0,A. Davis makes free throw 1 of 2,1,73-67,,
1:20.0,A. Davis makes free throw 2 of 2,1,74-67,,
1:03.0,,,74-69,2,D. Cousins makes 2-pt shot from 3 ft
0:41.0,J. Holiday misses 3-pt shot from 24 ft,,74-69,,
0:41.0,,,74-69,,Defensive rebound by O. Casspi
0:22.0,,,74-69,,D. Cousins misses 2-pt shot from 16 ft
0:22.0,Defensive rebound by A. Davis,,74-69,,
0:16.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,76-69,,
0:00.0,,,76-69,,D. Cousins misses 2-pt shot from 20 ft
0:00.0,,,76-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by R. McCallum (drawn by J. Holiday),,76-69,,
11:46.0,J. Holiday makes free throw 1 of 2,1,77-69,,
11:46.0,J. Holiday makes free throw 2 of 2,1,78-69,,
11:26.0,,,78-69,,Shooting foul by R. Anderson (drawn by R. Gay)
11:26.0,,,78-69,,R. Gay misses free throw 1 of 2
11:26.0,,,78-69,,Offensive rebound by Team
11:26.0,E. Gordon enters the game for J. Holiday,,78-69,,
11:26.0,,,78-70,1,R. Gay makes free throw 2 of 2
11:09.0,R. Anderson makes 2-pt shot from 15 ft,2,80-70,,
10:49.0,,,80-70,,O. Casspi misses 2-pt shot from 2 ft
10:48.0,,,80-70,,Offensive rebound by C. Landry
10:48.0,,,80-70,,C. Landry misses 2-pt shot from 1 ft
10:47.0,,,80-70,,Offensive rebound by C. Landry
10:47.0,,,80-70,,Shooting foul by L. Babbitt (drawn by C. Landry)
10:47.0,,,80-71,1,C. Landry makes free throw 1 of 2
10:47.0,A. Ajinca enters the game for A. Davis,,80-71,,
10:47.0,,,80-72,1,C. Landry makes free throw 2 of 2
10:31.0,Turnover by A. Rivers (bad pass; steal by C. Landry),,80-72,,
10:26.0,,,80-74,2,R. McCallum makes 2-pt shot from 1 ft (assist by O. Casspi)
10:26.0,New Orleans full timeout,,80-74,,
10:12.0,A. Rivers misses 2-pt shot from 5 ft,,80-74,,
10:11.0,,,80-74,,Defensive rebound by C. Landry
9:59.0,,,80-74,,R. Gay misses 2-pt shot from 10 ft
9:57.0,,,80-74,,Offensive rebound by C. Landry
9:55.0,,,80-76,2,C. Landry makes 2-pt shot from 2 ft
9:36.0,R. Anderson makes 2-pt shot from 2 ft (assist by E. Gordon),2,82-76,,
9:16.0,,,82-76,,C. Landry misses 2-pt shot from 15 ft
9:15.0,,,82-76,,Offensive rebound by O. Casspi
9:07.0,,,82-78,2,R. Gay makes 2-pt shot from 6 ft (assist by N. Stauskas)
9:07.0,,,82-78,,Shooting foul by A. Ajinca (drawn by R. Gay)
9:07.0,T. Evans enters the game for A. Ajinca,,82-78,,
9:07.0,A. Davis enters the game for L. Babbitt,,82-78,,
9:07.0,,,82-79,1,R. Gay makes free throw 1 of 1
8:50.0,E. Gordon misses 2-pt shot from 16 ft,,82-79,,
8:49.0,Offensive rebound by Team,,82-79,,
8:33.0,R. Anderson makes 2-pt shot from 5 ft (assist by T. Evans),2,84-79,,
8:16.0,,,84-79,,O. Casspi misses 2-pt shot from 3 ft
8:15.0,Defensive rebound by R. Anderson,,84-79,,
7:56.0,T. Evans misses 2-pt shot from 3 ft,,84-79,,
7:55.0,,,84-79,,Defensive rebound by C. Landry
7:43.0,,,84-79,,Turnover by O. Casspi (lost ball; steal by A. Davis)
7:38.0,Shooting foul by R. Gay (drawn by T. Evans),,84-79,,
7:38.0,T. Evans makes free throw 1 of 2,1,85-79,,
7:38.0,T. Evans makes free throw 2 of 2,1,86-79,,
7:23.0,,,86-79,,R. Gay misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by T. Evans,,86-79,,
7:00.0,R. Anderson misses 3-pt shot from 25 ft,,86-79,,
6:59.0,,,86-79,,Defensive rebound by O. Casspi
6:53.0,,,86-81,2,O. Casspi makes 2-pt shot from 3 ft
6:27.0,E. Gordon makes 2-pt shot from 22 ft,2,88-81,,
6:12.0,,,88-83,2,O. Casspi makes 2-pt shot from 2 ft
6:12.0,,,88-83,,Shooting foul by A. Davis (drawn by O. Casspi)
6:12.0,,,88-83,,D. Cousins enters the game for C. Landry
6:12.0,J. Holiday enters the game for A. Rivers,,88-83,,
6:12.0,,,88-84,1,O. Casspi makes free throw 1 of 1
5:53.0,E. Gordon makes 2-pt shot from 3 ft,2,90-84,,
5:34.0,,,90-84,,D. Cousins misses 2-pt shot from 5 ft (block by A. Davis)
5:32.0,Defensive rebound by A. Davis,,90-84,,
5:31.0,Shooting foul by N. Stauskas (drawn by T. Evans),,90-84,,
5:31.0,Official timeout,,90-84,,
5:31.0,,,90-84,,B. McLemore enters the game for N. Stauskas
5:31.0,T. Evans makes free throw 1 of 2,1,91-84,,
5:31.0,T. Evans makes free throw 2 of 2,1,92-84,,
5:08.0,,,92-87,3,R. McCallum makes 3-pt shot from 23 ft (assist by R. Gay)
4:51.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,94-87,,
4:33.0,,,94-87,,Turnover by R. McCallum (bad pass; steal by R. Anderson)
4:12.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,97-87,,
3:57.0,,,97-87,,D. Collison enters the game for R. McCallum
3:52.0,,,97-87,,R. Gay misses 2-pt shot from 4 ft (block by A. Davis)
3:51.0,Defensive rebound by R. Anderson,,97-87,,
3:34.0,A. Davis misses 2-pt shot from 7 ft,,97-87,,
3:33.0,,,97-87,,Defensive rebound by B. McLemore
3:24.0,,,97-87,,B. McLemore misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by T. Evans,,97-87,,
3:10.0,Shooting foul by B. McLemore (drawn by T. Evans),,97-87,,
3:10.0,T. Evans misses free throw 1 of 2,,97-87,,
3:10.0,Offensive rebound by Team,,97-87,,
3:10.0,T. Evans makes free throw 2 of 2,1,98-87,,
3:01.0,Def 3 sec tech foul by T. Evans,,98-87,,
3:01.0,,,98-87,,D. Collison misses technical free throw
3:01.0,,,98-87,,Offensive rebound by Team
2:57.0,Personal foul by R. Anderson (drawn by D. Cousins),,98-87,,
2:57.0,,,98-87,,Sacramento full timeout
2:57.0,,,98-88,1,D. Cousins makes free throw 1 of 2
2:57.0,,,98-88,,D. Cousins misses free throw 2 of 2
2:55.0,Defensive rebound by A. Davis,,98-88,,
2:39.0,Turnover by T. Evans (bad pass; steal by R. Gay),,98-88,,
2:35.0,,,98-90,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
2:15.0,Turnover by E. Gordon (lost ball; steal by B. McLemore),,98-90,,
2:09.0,,,98-92,2,D. Collison makes 2-pt shot from 1 ft (assist by R. Gay)
2:08.0,New Orleans full timeout,,98-92,,
1:54.0,J. Holiday misses 2-pt shot from 9 ft,,98-92,,
1:53.0,,,98-92,,Defensive rebound by D. Cousins
1:48.0,,,98-94,2,O. Casspi makes 2-pt shot from 6 ft (assist by D. Collison)
1:26.0,T. Evans makes 2-pt shot from 3 ft,2,100-94,,
1:09.0,,,100-94,,Shooting foul by A. Davis (drawn by D. Cousins)
1:09.0,,,100-96,2,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison)
