time,Detroit,pts.away,score,pts.home,Golden State
1:40.0,R. Jackson makes 2-pt shot from 4 ft,2,92-104,,
1:23.0,,,92-104,,D. Green misses 3-pt shot from 27 ft
1:22.0,Defensive rebound by Team,,92-104,,
1:13.0,Shooting foul by S. Livingston (drawn by G. Monroe),,92-104,,
1:13.0,G. Monroe makes free throw 1 of 2,1,93-104,,
1:13.0,G. Monroe makes free throw 2 of 2,1,94-104,,
1:11.0,Personal take foul by R. Jackson (drawn by S. Livingston),,94-104,,
0:50.0,,,94-104,,Turnover by D. Green (bad pass; steal by G. Monroe)
0:43.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,96-104,,
0:32.0,Personal take foul by K. Caldwell-Pope (drawn by D. Green),,96-104,,
0:32.0,,,96-105,1,D. Green makes free throw 1 of 2
0:32.0,,,96-105,,D. Green misses free throw 2 of 2
0:32.0,Defensive rebound by A. Drummond,,96-105,,
0:11.0,G. Monroe misses 2-pt shot from 9 ft,,96-105,,
0:11.0,Offensive rebound by A. Drummond,,96-105,,
0:11.0,A. Drummond makes 2-pt shot at rim,2,98-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
