time,Miami,pts.away,score,pts.home,Oklahoma City
3:32.0,,,71-91,,Shooting foul by H. Whiteside (drawn by S. Adams)
3:32.0,M. Beasley enters the game for H. Whiteside,,71-91,,
3:32.0,,,71-91,,J. Lamb enters the game for R. Westbrook
3:32.0,,,71-91,,S. Adams misses free throw 1 of 1
3:31.0,Defensive rebound by U. Haslem,,71-91,,
3:19.0,Turnover by M. Chalmers (lost ball; steal by A. Morrow),,71-91,,
3:14.0,,,71-93,2,A. Morrow makes 2-pt shot from 10 ft
3:12.0,Miami full timeout,,71-93,,
3:12.0,,,71-93,,P. Jones enters the game for A. Morrow
3:12.0,,,71-93,,S. Novak enters the game for S. Adams
3:12.0,T. Johnson enters the game for U. Haslem,,71-93,,
3:12.0,Z. Dragic enters the game for D. Wade,,71-93,,
3:12.0,H. Walker enters the game for G. Dragic,,71-93,,
2:58.0,M. Chalmers misses 3-pt shot from 24 ft,,71-93,,
2:57.0,,,71-93,,Defensive rebound by J. Lamb
2:37.0,,,71-93,,Turnover by M. McGary (offensive goaltending)
2:22.0,M. Beasley makes 2-pt shot from 3 ft,2,73-93,,
2:04.0,,,73-93,,P. Jones misses 2-pt shot from 17 ft
2:03.0,,,73-93,,Offensive rebound by S. Novak
1:46.0,,,73-93,,M. McGary misses 2-pt shot from 15 ft
1:45.0,Defensive rebound by T. Johnson,,73-93,,
1:36.0,T. Johnson misses 3-pt shot from 24 ft,,73-93,,
1:36.0,,,73-93,,Defensive rebound by Team
1:11.0,,,73-93,,P. Jones misses 3-pt shot from 22 ft
1:09.0,Defensive rebound by H. Walker,,73-93,,
0:58.0,Turnover by Z. Dragic (bad pass; steal by P. Jones),,73-93,,
0:37.0,,,73-93,,J. Lamb misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by M. Beasley,,73-93,,
0:24.0,M. Beasley makes 2-pt shot from 10 ft (assist by T. Johnson),2,75-93,,
0:00.0,,,75-93,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
