time,Washington,pts.away,score,pts.home,Minnesota
4:15.0,Personal foul by M. Webster (drawn by R. Rubio),,72-85,,
3:58.0,,,72-85,,A. Wiggins misses 2-pt shot from 17 ft
3:58.0,,,72-85,,Offensive rebound by Team
3:58.0,,,72-85,,Turnover by Team (shot clock)
3:50.0,Turnover by J. Wall (lost ball; steal by R. Rubio),,72-85,,
3:43.0,,,72-87,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:42.0,K. Seraphin enters the game for N. Hilario,,72-87,,
3:42.0,Washington full timeout,,72-87,,
3:18.0,K. Seraphin misses 2-pt shot from 6 ft,,72-87,,
3:16.0,,,72-87,,Defensive rebound by R. Rubio
3:01.0,,,72-87,,Shooting foul by J. Wall (drawn by K. Martin)
3:01.0,,,72-89,2,K. Martin makes 2-pt shot from 14 ft
3:01.0,R. Sessions enters the game for J. Wall,,72-89,,
3:01.0,,,72-90,1,K. Martin makes free throw 1 of 1
2:35.0,R. Sessions misses 2-pt shot from 20 ft,,72-90,,
2:34.0,,,72-90,,Defensive rebound by K. Garnett
2:21.0,,,72-92,2,K. Martin makes 2-pt shot from 1 ft (assist by R. Rubio)
2:13.0,Turnover by M. Webster (bad pass; steal by K. Garnett),,72-92,,
1:49.0,,,72-92,,Turnover by Team (shot clock)
1:49.0,,,72-92,,A. Payne enters the game for K. Garnett
1:49.0,,,72-92,,G. Dieng enters the game for N. Pekovic
1:49.0,,,72-92,,L. Brown enters the game for R. Rubio
1:49.0,,,72-92,,Z. LaVine enters the game for A. Wiggins
1:49.0,,,72-92,,G. Neal enters the game for K. Martin
1:49.0,D. Blair enters the game for M. Gortat,,72-92,,
1:28.0,K. Seraphin misses 2-pt shot from 5 ft,,72-92,,
1:27.0,,,72-92,,Defensive rebound by G. Dieng
1:07.0,,,72-95,3,G. Neal makes 3-pt shot from 24 ft
0:59.0,Offensive foul by K. Seraphin,,72-95,,
0:59.0,Turnover by K. Seraphin (offensive foul),,72-95,,
0:47.0,,,72-95,,L. Brown misses 2-pt shot from 3 ft (block by K. Seraphin)
0:45.0,Defensive rebound by D. Blair,,72-95,,
0:39.0,Shooting foul by L. Brown (drawn by R. Sessions),,72-95,,
0:39.0,R. Sessions makes free throw 1 of 2,1,73-95,,
0:39.0,R. Sessions makes free throw 2 of 2,1,74-95,,
0:26.0,,,74-97,2,Z. LaVine makes 2-pt shot from 4 ft
0:17.0,O. Porter makes 3-pt shot from 23 ft (assist by K. Seraphin),3,77-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
