time,Dallas,pts.away,score,pts.home,Philadelphia
11:15.0,T. Chandler makes 2-pt shot from 15 ft (assist by D. Harris),2,92-86,,
11:01.0,,,92-86,,Offensive foul by B. Davies
11:01.0,,,92-86,,Turnover by B. Davies (offensive foul)
10:47.0,C. Parsons misses 2-pt shot from 16 ft,,92-86,,
10:45.0,Offensive rebound by T. Chandler,,92-86,,
10:40.0,,,92-86,,Personal foul by K. McDaniels (drawn by D. Harris)
10:26.0,R. Jefferson misses 3-pt shot from 25 ft,,92-86,,
10:24.0,,,92-86,,Defensive rebound by A. Shved
10:17.0,,,92-86,,B. Davies misses 3-pt shot from 24 ft
10:15.0,,,92-86,,Offensive rebound by N. Noel
10:11.0,,,92-86,,Turnover by N. Noel (bad pass; steal by J. Barea)
10:09.0,,,92-86,,Personal foul by H. Thompson (drawn by J. Barea)
10:09.0,,,92-86,,M. Carter-Williams enters the game for A. Shved
10:09.0,C. Villanueva enters the game for C. Parsons,,92-86,,
10:09.0,A. Aminu enters the game for R. Jefferson,,92-86,,
10:09.0,,,92-86,,L. Mbah a Moute enters the game for K. McDaniels
9:59.0,J. Barea misses 3-pt shot from 24 ft,,92-86,,
9:57.0,,,92-86,,Defensive rebound by B. Davies
9:38.0,,,92-86,,Offensive foul by M. Carter-Williams
9:38.0,,,92-86,,Turnover by M. Carter-Williams (offensive foul)
9:22.0,D. Harris makes 2-pt shot from 17 ft (assist by C. Villanueva),2,94-86,,
9:12.0,Personal foul by J. Barea (drawn by M. Carter-Williams),,94-86,,
9:07.0,,,94-86,,Turnover by H. Thompson (lost ball; steal by D. Harris)
9:01.0,D. Harris makes 2-pt shot from 1 ft,2,96-86,,
8:58.0,,,96-86,,Philadelphia full timeout
8:58.0,B. Wright enters the game for T. Chandler,,96-86,,
8:38.0,,,96-88,2,H. Thompson makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
8:15.0,D. Harris misses 2-pt shot from 12 ft,,96-88,,
8:14.0,,,96-88,,Defensive rebound by N. Noel
8:08.0,,,96-88,,M. Carter-Williams misses 2-pt shot from 1 ft
8:06.0,,,96-88,,Offensive rebound by B. Davies
8:05.0,,,96-88,,Shooting foul by J. Barea (drawn by B. Davies)
8:05.0,,,96-89,1,B. Davies makes free throw 1 of 2
8:05.0,R. Jefferson enters the game for A. Aminu,,96-89,,
8:05.0,M. Ellis enters the game for D. Harris,,96-89,,
8:05.0,,,96-89,,B. Davies misses free throw 2 of 2
8:04.0,Defensive rebound by R. Jefferson,,96-89,,
7:52.0,C. Villanueva misses 2-pt shot from 16 ft,,96-89,,
7:51.0,,,96-89,,Defensive rebound by M. Carter-Williams
7:37.0,Personal foul by C. Villanueva (drawn by B. Davies),,96-89,,
7:37.0,,,96-89,,K. McDaniels enters the game for B. Davies
7:37.0,C. Parsons enters the game for C. Villanueva,,96-89,,
7:26.0,,,96-89,,H. Thompson misses 3-pt shot from 25 ft
7:23.0,,,96-89,,Offensive rebound by L. Mbah a Moute
7:14.0,,,96-89,,Shooting foul by J. Barea (drawn by M. Carter-Williams)
7:14.0,,,96-90,1,M. Carter-Williams makes free throw 1 of 2
7:14.0,,,96-91,1,M. Carter-Williams makes free throw 2 of 2
6:55.0,C. Parsons misses 3-pt shot from 25 ft,,96-91,,
6:53.0,,,96-91,,Defensive rebound by M. Carter-Williams
6:39.0,,,96-91,,Turnover by M. Carter-Williams (bad pass; steal by M. Ellis)
6:20.0,Shooting foul by N. Noel (drawn by J. Barea),,96-91,,
6:20.0,J. Barea makes free throw 1 of 2,1,97-91,,
6:20.0,,,97-91,,A. Shved enters the game for H. Thompson
6:20.0,J. Barea makes free throw 2 of 2,1,98-91,,
6:07.0,,,98-94,3,K. McDaniels makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:41.0,B. Wright misses 2-pt shot from 12 ft,,98-94,,
5:38.0,,,98-94,,Defensive rebound by K. McDaniels
5:29.0,,,98-94,,L. Mbah a Moute misses 3-pt shot from 26 ft
5:27.0,,,98-94,,Offensive rebound by K. McDaniels
5:08.0,,,98-94,,Turnover by A. Shved (bad pass)
5:08.0,Dallas full timeout,,98-94,,
5:08.0,D. Harris enters the game for B. Wright,,98-94,,
5:08.0,T. Chandler enters the game for J. Barea,,98-94,,
4:49.0,M. Ellis makes 2-pt shot from 1 ft,2,100-94,,
4:31.0,,,100-94,,L. Mbah a Moute misses 2-pt shot from 4 ft
4:29.0,,,100-94,,Offensive rebound by L. Mbah a Moute
4:25.0,,,100-94,,L. Mbah a Moute misses 2-pt shot from 20 ft
4:22.0,,,100-94,,Offensive rebound by N. Noel
4:22.0,,,100-94,,N. Noel misses 2-pt shot at rim
4:21.0,Defensive rebound by D. Harris,,100-94,,
4:12.0,D. Harris misses 2-pt shot from 2 ft (block by N. Noel),,100-94,,
4:09.0,,,100-94,,Defensive rebound by M. Carter-Williams
3:59.0,,,100-94,,H. Sims enters the game for N. Noel
3:48.0,,,100-94,,Turnover by A. Shved (bad pass; steal by T. Chandler)
3:32.0,M. Ellis makes 2-pt shot from 17 ft,2,102-94,,
3:13.0,,,102-94,,K. McDaniels misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by D. Harris,,102-94,,
2:53.0,C. Parsons misses 3-pt shot from 25 ft,,102-94,,
2:51.0,,,102-94,,Defensive rebound by A. Shved
2:47.0,,,102-94,,Shooting foul by D. Harris (drawn by A. Shved)
2:47.0,Dallas full timeout,,102-94,,
2:47.0,,,102-95,1,A. Shved makes free throw 1 of 2
2:47.0,,,102-95,,N. Noel enters the game for H. Sims
2:47.0,,,102-96,1,A. Shved makes free throw 2 of 2
2:32.0,C. Parsons makes 3-pt shot from 24 ft (assist by R. Jefferson),3,105-96,,
2:09.0,,,105-96,,A. Shved misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by D. Harris,,105-96,,
1:52.0,,,105-96,,H. Thompson enters the game for L. Mbah a Moute
1:44.0,R. Jefferson makes 3-pt shot from 23 ft (assist by D. Harris),3,108-96,,
1:44.0,,,108-96,,Philadelphia full timeout
1:36.0,,,108-96,,K. McDaniels misses 2-pt shot from 1 ft
1:35.0,,,108-96,,Offensive rebound by K. McDaniels
1:35.0,,,108-96,,K. McDaniels misses 2-pt shot from 1 ft
1:34.0,,,108-96,,Offensive rebound by M. Carter-Williams
1:34.0,,,108-98,2,M. Carter-Williams makes 2-pt shot from 7 ft
1:34.0,Personal foul by T. Chandler,,108-98,,
1:12.0,M. Ellis makes 2-pt shot from 19 ft,2,110-98,,
1:12.0,,,110-98,,Philadelphia full timeout
1:12.0,B. Wright enters the game for C. Parsons,,110-98,,
1:12.0,A. Aminu enters the game for T. Chandler,,110-98,,
1:04.0,,,110-98,,N. Noel misses 2-pt shot from 12 ft
1:02.0,,,110-98,,Offensive rebound by K. McDaniels
0:55.0,,,110-98,,Shooting foul by M. Ellis (drawn by M. Carter-Williams)
0:55.0,,,110-98,,M. Carter-Williams misses free throw 1 of 2
0:55.0,,,110-98,,Offensive rebound by Team
0:55.0,,,110-99,1,M. Carter-Williams makes free throw 2 of 2
0:44.0,Turnover by M. Ellis (bad pass; steal by H. Thompson),,110-99,,
0:40.0,,,110-101,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by A. Shved)
0:35.0,,,110-101,,Personal foul by A. Shved (drawn by R. Jefferson)
0:35.0,,,110-101,,J. Sampson enters the game for M. Carter-Williams
0:35.0,Dallas full timeout,,110-101,,
0:35.0,C. Parsons enters the game for A. Aminu,,110-101,,
0:25.0,M. Ellis misses 2-pt shot from 2 ft,,110-101,,
0:24.0,,,110-101,,Defensive rebound by J. Sampson
0:16.0,,,110-101,,H. Thompson misses 3-pt shot from 26 ft
0:14.0,,,110-101,,Offensive rebound by J. Sampson
0:07.0,,,110-103,2,A. Shved makes 2-pt shot from 1 ft (assist by J. Sampson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
