time,Indiana,pts.away,score,pts.home,Oklahoma City
6:03.0,,,57-60,1,E. Kanter makes free throw 1 of 2
6:03.0,,,57-61,1,E. Kanter makes free throw 2 of 2
5:51.0,C. Miles misses 2-pt shot from 15 ft,,57-61,,
5:50.0,Offensive rebound by D. West,,57-61,,
5:47.0,D. West makes 2-pt shot from 4 ft,2,59-61,,
5:34.0,,,59-61,,D. Waiters misses 2-pt shot from 16 ft
5:34.0,,,59-61,,Offensive rebound by S. Ibaka
5:30.0,,,59-61,,R. Westbrook misses 2-pt shot from 2 ft
5:30.0,,,59-61,,Offensive rebound by Team
5:30.0,Loose ball foul by D. West (drawn by S. Ibaka),,59-61,,
5:30.0,,,59-61,,Oklahoma City full timeout
5:30.0,,,59-62,1,S. Ibaka makes free throw 1 of 2
5:30.0,,,59-63,1,S. Ibaka makes free throw 2 of 2
5:09.0,C. Miles makes 2-pt shot from 19 ft (assist by D. West),2,61-63,,
4:52.0,,,61-63,,Shooting foul by R. Hibbert (drawn by E. Kanter)
4:52.0,,,61-65,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
4:52.0,,,61-65,,A. Roberson enters the game for K. Singler
4:52.0,,,61-65,,E. Kanter misses free throw 1 of 1
4:51.0,Defensive rebound by R. Hibbert,,61-65,,
4:32.0,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill),3,64-65,,
4:09.0,,,64-68,3,R. Westbrook makes 3-pt shot from 24 ft (assist by A. Roberson)
3:55.0,Shooting foul by S. Ibaka (drawn by D. West),,64-68,,
3:55.0,D. West makes free throw 1 of 2,1,65-68,,
3:55.0,R. Stuckey enters the game for S. Hill,,65-68,,
3:55.0,I. Mahinmi enters the game for R. Hibbert,,65-68,,
3:55.0,,,65-68,,N. Collison enters the game for E. Kanter
3:55.0,D. West misses free throw 2 of 2,,65-68,,
3:54.0,,,65-68,,Defensive rebound by N. Collison
3:44.0,,,65-68,,R. Westbrook misses 2-pt shot from 17 ft
3:43.0,Defensive rebound by I. Mahinmi,,65-68,,
3:26.0,R. Stuckey misses 2-pt shot from 17 ft,,65-68,,
3:25.0,,,65-68,,Defensive rebound by R. Westbrook
3:20.0,,,65-70,2,R. Westbrook makes 2-pt shot from 1 ft
3:13.0,Indiana full timeout,,65-70,,
3:00.0,D. West misses 2-pt shot from 13 ft,,65-70,,
2:59.0,,,65-70,,Defensive rebound by R. Westbrook
2:40.0,,,65-72,2,S. Ibaka makes 2-pt shot from 4 ft (assist by R. Westbrook)
2:23.0,Turnover by C. Miles (bad pass; steal by R. Westbrook),,65-72,,
2:19.0,,,65-72,,Offensive charge foul by S. Ibaka
2:19.0,,,65-72,,Turnover by S. Ibaka (offensive foul)
2:19.0,,,65-72,,D. Augustin enters the game for R. Westbrook
2:19.0,,,65-72,,M. McGary enters the game for S. Ibaka
2:19.0,C. Watson enters the game for G. Hill,,65-72,,
2:04.0,Turnover by R. Stuckey (bad pass; steal by N. Collison),,65-72,,
2:04.0,Personal foul by I. Mahinmi (drawn by M. McGary),,65-72,,
2:04.0,,,65-73,1,M. McGary makes free throw 1 of 2
2:04.0,L. Scola enters the game for D. West,,65-73,,
2:04.0,D. Rudez enters the game for C. Miles,,65-73,,
2:04.0,,,65-73,,A. Morrow enters the game for A. Roberson
2:04.0,,,65-74,1,M. McGary makes free throw 2 of 2
1:49.0,C. Watson misses 3-pt shot from 23 ft,,65-74,,
1:48.0,,,65-74,,Defensive rebound by N. Collison
1:37.0,,,65-74,,D. Waiters misses 2-pt shot from 7 ft
1:35.0,,,65-74,,Offensive rebound by N. Collison
1:35.0,,,65-74,,N. Collison misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by D. Rudez,,65-74,,
1:29.0,L. Scola misses 2-pt shot from 2 ft (block by M. McGary),,65-74,,
1:28.0,,,65-74,,Defensive rebound by A. Morrow
1:20.0,,,65-77,3,D. Waiters makes 3-pt shot from 22 ft (assist by D. Augustin)
1:05.0,D. Rudez makes 3-pt shot from 23 ft (assist by C. Watson),3,68-77,,
0:51.0,,,68-77,,D. Waiters misses 2-pt shot from 2 ft
0:50.0,,,68-77,,Offensive rebound by D. Waiters
0:45.0,,,68-80,3,D. Waiters makes 3-pt shot from 24 ft
0:29.0,Shooting foul by M. McGary (drawn by L. Scola),,68-80,,
0:29.0,L. Scola misses free throw 1 of 2,,68-80,,
0:29.0,Offensive rebound by Team,,68-80,,
0:29.0,L. Scola makes free throw 2 of 2,1,69-80,,
0:07.0,,,69-80,,D. Waiters misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by C. Watson,,69-80,,
0:02.0,Turnover by C. Watson (bad pass; steal by N. Collison),,69-80,,
0:01.0,,,69-80,,N. Collison misses 2-pt shot from 15 ft
0:00.0,,,69-80,,Offensive rebound by A. Morrow
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Rudez misses 3-pt shot from 24 ft,,69-80,,
11:43.0,,,69-80,,Defensive rebound by Team
11:32.0,,,69-83,3,D. Augustin makes 3-pt shot from 24 ft
11:17.0,R. Stuckey misses 2-pt shot from 9 ft,,69-83,,
11:16.0,,,69-83,,Defensive rebound by N. Collison
11:11.0,,,69-86,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Augustin)
10:51.0,D. Rudez misses 2-pt shot from 1 ft (block by N. Collison),,69-86,,
10:49.0,,,69-86,,Defensive rebound by A. Morrow
10:43.0,,,69-89,3,D. Waiters makes 3-pt shot from 24 ft (assist by D. Augustin)
10:43.0,Indiana full timeout,,69-89,,
10:29.0,C. Watson misses 3-pt shot from 23 ft,,69-89,,
10:28.0,,,69-89,,Defensive rebound by M. McGary
10:16.0,,,69-89,,A. Morrow misses 2-pt shot from 11 ft
10:15.0,,,69-89,,Offensive rebound by Team
