time,Golden State,pts.away,score,pts.home,Chicago
2:41.0,S. Curry misses 3-pt shot from 25 ft,,103-92,,
2:40.0,,,103-92,,Defensive rebound by P. Gasol
2:31.0,,,103-92,,K. Hinrich misses 3-pt shot from 23 ft (block by K. Thompson)
2:29.0,Defensive rebound by D. Green,,103-92,,
2:17.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,105-92,,
2:00.0,,,105-92,,P. Gasol misses 2-pt shot at rim
2:00.0,,,105-92,,Offensive rebound by J. Noah
2:00.0,,,105-94,2,J. Noah makes 2-pt shot from 1 ft
1:44.0,K. Thompson misses 2-pt shot from 17 ft,,105-94,,
1:43.0,Offensive rebound by M. Speights,,105-94,,
1:43.0,M. Speights misses 2-pt shot from 1 ft,,105-94,,
1:42.0,,,105-94,,Defensive rebound by P. Gasol
1:35.0,Personal foul by M. Speights (drawn by P. Gasol),,105-94,,
1:35.0,,,105-95,1,P. Gasol makes free throw 1 of 2
1:35.0,,,105-96,1,P. Gasol makes free throw 2 of 2
1:19.0,D. Green misses 3-pt shot from 26 ft,,105-96,,
1:18.0,,,105-96,,Defensive rebound by P. Gasol
1:14.0,,,105-96,,Turnover by P. Gasol (bad pass; steal by K. Thompson)
1:08.0,K. Thompson misses 3-pt shot from 25 ft,,105-96,,
1:07.0,,,105-96,,Defensive rebound by P. Gasol
0:59.0,,,105-96,,D. Rose misses 2-pt shot from 2 ft
0:58.0,Defensive rebound by D. Green,,105-96,,
0:57.0,,,105-96,,Personal foul by P. Gasol (drawn by D. Green)
0:57.0,D. Green makes free throw 1 of 2,1,106-96,,
0:57.0,D. Green makes free throw 2 of 2,1,107-96,,
0:44.0,,,107-98,2,J. Noah makes 2-pt shot from 1 ft
0:38.0,Turnover by K. Thompson (bad pass; steal by J. Butler),,107-98,,
0:32.0,,,107-98,,J. Butler misses 2-pt shot from 14 ft
0:32.0,,,107-98,,Offensive rebound by P. Gasol
0:32.0,,,107-100,2,P. Gasol makes 2-pt shot from 1 ft
0:29.0,Golden State full timeout,,107-100,,
0:29.0,Golden State full timeout,,107-100,,
0:26.0,,,107-100,,Personal take foul by J. Noah (drawn by S. Curry)
0:26.0,S. Curry makes free throw 1 of 2,1,108-100,,
0:26.0,S. Curry misses free throw 2 of 2,,108-100,,
0:25.0,Offensive rebound by S. Curry,,108-100,,
0:24.0,,,108-100,,Personal take foul by J. Butler (drawn by S. Curry)
0:24.0,S. Curry makes free throw 1 of 2,1,109-100,,
0:24.0,H. Barnes enters the game for M. Speights,,109-100,,
0:24.0,S. Curry makes free throw 2 of 2,1,110-100,,
0:24.0,,,110-100,,Chicago full timeout
0:19.0,,,110-100,,J. Butler misses 3-pt shot from 25 ft
0:18.0,,,110-100,,Offensive rebound by J. Butler
0:16.0,,,110-100,,J. Butler misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by S. Curry,,110-100,,
0:15.0,,,110-100,,Personal take foul by K. Hinrich (drawn by S. Curry)
0:15.0,S. Curry makes free throw 1 of 2,1,111-100,,
0:15.0,S. Curry makes free throw 2 of 2,1,112-100,,
0:10.0,,,112-102,2,K. Hinrich makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
