time,Sacramento,pts.away,score,pts.home,Memphis
5:46.0,,,75-88,,Z. Randolph enters the game for N. Calathes
5:46.0,R. McCallum enters the game for O. Casspi,,75-88,,
5:46.0,N. Stauskas enters the game for A. Miller,,75-88,,
5:46.0,D. Williams enters the game for C. Landry,,75-88,,
5:33.0,,,75-88,,Shooting foul by D. Williams (drawn by K. Koufos)
5:33.0,,,75-89,1,K. Koufos makes free throw 1 of 2
5:33.0,,,75-90,1,K. Koufos makes free throw 2 of 2
5:21.0,B. McLemore misses 3-pt shot from 24 ft,,75-90,,
5:21.0,,,75-90,,Defensive rebound by K. Koufos
5:03.0,,,75-90,,Z. Randolph misses 2-pt shot from 14 ft
4:58.0,,,75-90,,C. Lee enters the game for V. Carter
4:58.0,Jump ball: K. Koufos vs. J. Thompson (J. Green gains possession),,,,Jump ball: K. Koufos vs. J. Thompson (J. Green gains possession)
4:58.0,,,75-90,,Offensive rebound by Team
4:42.0,,,75-90,,Shooting foul by B. McLemore (drawn by J. Green)
4:42.0,,,75-91,1,J. Green makes free throw 1 of 2
4:42.0,,,75-91,,J. Green misses free throw 2 of 2
4:41.0,Defensive rebound by B. McLemore,,75-91,,
4:24.0,D. Williams misses 2-pt shot from 2 ft (block by K. Koufos),,75-91,,
4:22.0,,,75-91,,Defensive rebound by M. Conley
4:19.0,Personal foul by R. McCallum (drawn by M. Conley),,75-91,,
4:19.0,,,75-91,,M. Conley misses free throw 1 of 2
4:19.0,,,75-91,,Offensive rebound by Team
4:19.0,,,75-91,,M. Conley misses free throw 2 of 2
4:18.0,Defensive rebound by J. Thompson,,75-91,,
3:57.0,Shooting foul by Z. Randolph (drawn by R. McCallum),,75-91,,
3:57.0,R. McCallum misses free throw 1 of 2,,75-91,,
3:57.0,Offensive rebound by Team,,75-91,,
3:57.0,R. McCallum makes free throw 2 of 2,1,76-91,,
3:43.0,,,76-91,,M. Conley misses 2-pt shot from 10 ft
3:42.0,Defensive rebound by D. Williams,,76-91,,
3:38.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,78-91,,
3:15.0,,,78-91,,C. Lee misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by R. McCallum,,78-91,,
3:02.0,D. Williams misses 2-pt shot at rim (block by J. Green),,78-91,,
2:59.0,,,78-91,,Defensive rebound by J. Green
2:47.0,,,78-91,,Offensive foul by Z. Randolph
2:47.0,,,78-91,,Turnover by Z. Randolph (offensive foul)
