time,Houston,pts.away,score,pts.home,Cleveland
2:40.0,,,95-84,,Shooting foul by T. Ariza (drawn by K. Irving)
2:40.0,Houston full timeout,,95-84,,
2:40.0,,,95-85,1,K. Irving makes free throw 1 of 2
2:40.0,,,95-86,1,K. Irving makes free throw 2 of 2
2:19.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Terry),3,98-86,,
2:06.0,Personal foul by J. Terry (drawn by M. Dellavedova),,98-86,,
2:06.0,,,98-86,,M. Dellavedova misses free throw 1 of 2
2:06.0,,,98-86,,Offensive rebound by Team
2:06.0,,,98-87,1,M. Dellavedova makes free throw 2 of 2
1:50.0,Shooting foul by M. Dellavedova (drawn by J. Smith),,98-87,,
1:50.0,J. Smith misses free throw 1 of 2,,98-87,,
1:50.0,Offensive rebound by Team,,98-87,,
1:50.0,J. Smith misses free throw 2 of 2,,98-87,,
1:49.0,,,98-87,,Defensive rebound by Team
1:49.0,Loose ball foul by D. Howard (drawn by T. Thompson),,98-87,,
1:49.0,,,98-88,1,T. Thompson makes free throw 1 of 2
1:49.0,,,98-89,1,T. Thompson makes free throw 2 of 2
1:35.0,Turnover by J. Harden (lost ball; steal by J. Harris),,98-89,,
1:31.0,,,98-91,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
1:17.0,,,98-91,,Personal foul by M. Dellavedova (drawn by J. Harden)
1:17.0,J. Harden makes free throw 1 of 2,1,99-91,,
1:17.0,J. Harden makes free throw 2 of 2,1,100-91,,
1:17.0,,,100-91,,Cleveland full timeout
1:17.0,C. Brewer enters the game for J. Terry,,100-91,,
1:12.0,,,100-93,2,K. Irving makes 2-pt shot at rim
0:49.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden),3,103-93,,
0:43.0,,,103-93,,K. Irving misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by D. Howard,,103-93,,
0:19.0,J. Smith misses 3-pt shot from 23 ft,,103-93,,
0:17.0,Offensive rebound by Team,,103-93,,
0:16.0,,,103-93,,Personal foul by K. Love (drawn by D. Howard)
0:16.0,D. Howard makes free throw 1 of 2,1,104-93,,
0:16.0,I. Canaan enters the game for J. Harden,,104-93,,
0:16.0,K. Papanikolaou enters the game for T. Ariza,,104-93,,
0:16.0,D. Howard makes free throw 2 of 2,1,105-93,,
0:08.0,,,105-93,,K. Irving misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by J. Smith,,105-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
