time,Minnesota,pts.away,score,pts.home,New Orleans
0:31.0,J. Hamilton makes 2-pt shot from 2 ft,2,41-48,,
0:17.0,,,41-50,2,O. Asik makes 2-pt shot at rim (assist by D. Cunningham)
0:00.0,C. Budinger misses 2-pt shot from 23 ft,,41-50,,
0:00.0,Offensive rebound by Team,,41-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Payne misses 2-pt shot from 18 ft,,41-50,,
11:44.0,,,41-50,,Defensive rebound by A. Davis
11:28.0,,,41-50,,A. Davis misses 2-pt shot from 2 ft
11:27.0,Defensive rebound by A. Payne,,41-50,,
11:23.0,Z. LaVine makes 2-pt shot from 1 ft (assist by A. Payne),2,43-50,,
11:23.0,Shooting foul by Q. Pondexter (drawn by Z. LaVine),,43-50,,
11:23.0,Z. LaVine makes free throw 1 of 1,1,44-50,,
11:07.0,,,44-50,,Shooting foul by Z. LaVine (drawn by E. Gordon)
11:07.0,,,44-50,,E. Gordon misses free throw 1 of 2
11:07.0,,,44-50,,Offensive rebound by Team
11:07.0,,,44-51,1,E. Gordon makes free throw 2 of 2
10:53.0,Turnover by Z. LaVine (bad pass),,44-51,,
10:42.0,,,44-53,2,E. Gordon makes 2-pt shot from 21 ft (assist by O. Asik)
10:40.0,Minnesota full timeout,,44-53,,
10:24.0,A. Wiggins misses 3-pt shot from 26 ft (block by Q. Pondexter),,44-53,,
10:22.0,,,44-53,,Defensive rebound by T. Evans
10:13.0,,,44-53,,A. Davis misses 2-pt shot from 2 ft
10:12.0,Defensive rebound by A. Payne,,44-53,,
9:59.0,Z. LaVine makes 3-pt shot from 23 ft (assist by L. Brown),3,47-53,,
9:39.0,,,47-53,,Turnover by O. Asik (bad pass; steal by J. Hamilton)
9:33.0,Z. LaVine makes 2-pt shot at rim (assist by L. Brown),2,49-53,,
9:09.0,,,49-53,,Turnover by E. Gordon (bad pass; steal by Z. LaVine)
