time,Boston,pts.away,score,pts.home,Charlotte
5:40.0,M. Thornton misses 3-pt shot from 25 ft,,79-87,,
5:38.0,Offensive rebound by B. Bass,,79-87,,
5:34.0,R. Rondo makes 2-pt shot from 20 ft (assist by B. Bass),2,81-87,,
5:21.0,,,81-87,,A. Jefferson misses 2-pt shot from 12 ft
5:19.0,Defensive rebound by J. Green,,81-87,,
5:10.0,M. Thornton makes 2-pt shot from 19 ft,2,83-87,,
4:40.0,,,83-87,,L. Stephenson misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by R. Rondo,,83-87,,
4:32.0,M. Thornton makes 2-pt shot from 18 ft,2,85-87,,
4:25.0,,,85-87,,Charlotte full timeout
4:25.0,,,85-87,,C. Zeller enters the game for M. Williams
4:25.0,M. Smart enters the game for B. Bass,,85-87,,
4:14.0,,,85-87,,G. Henderson misses 2-pt shot from 16 ft
4:13.0,Defensive rebound by R. Rondo,,85-87,,
3:56.0,M. Thornton misses 3-pt shot from 26 ft,,85-87,,
3:54.0,,,85-87,,Defensive rebound by C. Zeller
3:46.0,,,85-89,2,K. Walker makes 2-pt shot from 1 ft (assist by A. Jefferson)
3:46.0,,,85-89,,Shooting foul by R. Rondo (drawn by K. Walker)
3:46.0,,,85-89,,M. Williams enters the game for C. Zeller
3:46.0,,,85-90,1,K. Walker makes free throw 1 of 1
3:42.0,Turnover by J. Green (traveling),,85-90,,
3:24.0,,,85-90,,K. Walker misses 2-pt shot from 19 ft
3:22.0,Defensive rebound by T. Zeller,,85-90,,
3:14.0,Turnover by R. Rondo (lost ball; steal by K. Walker),,85-90,,
2:56.0,,,85-92,2,A. Jefferson makes 2-pt shot from 1 ft
2:46.0,Boston full timeout,,85-92,,
2:46.0,J. Sullinger enters the game for M. Smart,,85-92,,
2:41.0,M. Thornton misses 3-pt shot from 25 ft,,85-92,,
2:39.0,,,85-92,,Defensive rebound by Team
2:24.0,,,85-92,,M. Williams misses 3-pt shot from 23 ft
2:22.0,Defensive rebound by T. Zeller,,85-92,,
2:09.0,J. Sullinger misses 2-pt shot from 8 ft,,85-92,,
2:07.0,,,85-92,,Defensive rebound by K. Walker
1:47.0,,,85-92,,G. Henderson misses 2-pt shot from 16 ft
1:45.0,Defensive rebound by T. Zeller,,85-92,,
1:32.0,Turnover by R. Rondo (traveling),,85-92,,
1:32.0,A. Bradley enters the game for J. Sullinger,,85-92,,
1:32.0,B. Bass enters the game for T. Zeller,,85-92,,
1:32.0,M. Smart enters the game for M. Thornton,,85-92,,
1:19.0,,,85-94,2,A. Jefferson makes 2-pt shot from 18 ft
1:12.0,Boston full timeout,,85-94,,
1:12.0,J. Sullinger enters the game for M. Smart,,85-94,,
1:12.0,E. Turner enters the game for B. Bass,,85-94,,
1:12.0,,,85-94,,M. Kidd-Gilchrist enters the game for A. Jefferson
1:09.0,Turnover by R. Rondo (bad pass),,85-94,,
1:09.0,,,85-94,,A. Jefferson enters the game for M. Kidd-Gilchrist
1:01.0,,,85-94,,Offensive foul by G. Henderson
1:01.0,,,85-94,,Turnover by G. Henderson (offensive foul)
1:01.0,,,85-94,,M. Kidd-Gilchrist enters the game for A. Jefferson
1:01.0,K. Olynyk enters the game for E. Turner,,85-94,,
0:41.0,R. Rondo misses 3-pt shot from 25 ft,,85-94,,
0:39.0,,,85-94,,Defensive rebound by M. Kidd-Gilchrist
0:22.0,,,85-96,2,K. Walker makes 2-pt shot from 20 ft
0:15.0,R. Rondo makes 2-pt shot from 2 ft,2,87-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
