time,Indiana,pts.away,score,pts.home,Washington
9:13.0,,,42-53,2,J. Wall makes 2-pt shot at rim (assist by G. Temple)
9:11.0,Indiana full timeout,,42-53,,
8:53.0,C. Miles misses 3-pt shot from 27 ft,,42-53,,
8:52.0,Offensive rebound by R. Hibbert,,42-53,,
8:44.0,D. Sloan misses 3-pt shot from 25 ft,,42-53,,
8:42.0,,,42-53,,Defensive rebound by G. Temple
8:29.0,,,42-53,,P. Pierce misses 2-pt shot from 14 ft
8:28.0,Defensive rebound by L. Scola,,42-53,,
8:15.0,R. Hibbert misses 2-pt shot from 5 ft,,42-53,,
8:13.0,,,42-53,,Defensive rebound by N. Hilario
7:58.0,,,42-53,,Turnover by J. Wall (bad pass)
7:44.0,D. Sloan makes 2-pt shot at rim (assist by L. Scola),2,44-53,,
7:29.0,,,44-55,2,G. Temple makes 2-pt shot at rim (assist by J. Wall)
7:13.0,Offensive foul by C. Miles,,44-55,,
7:13.0,Turnover by C. Miles (offensive foul),,44-55,,
7:13.0,C. Copeland enters the game for C. Miles,,44-55,,
6:59.0,Personal foul by L. Scola (drawn by N. Hilario),,44-55,,
6:51.0,,,44-55,,Turnover by N. Hilario (bad pass; steal by S. Hill)
6:40.0,L. Scola makes 2-pt shot from 16 ft (assist by D. Sloan),2,46-55,,
6:21.0,,,46-57,2,M. Gortat makes 2-pt shot from 12 ft (assist by G. Temple)
6:06.0,C. Copeland misses 3-pt shot from 26 ft,,46-57,,
6:05.0,,,46-57,,Defensive rebound by M. Gortat
5:58.0,Personal foul by L. Scola (drawn by N. Hilario),,46-57,,
5:50.0,,,46-57,,P. Pierce misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by D. Sloan,,46-57,,
5:40.0,C. Copeland misses 2-pt shot from 1 ft,,46-57,,
5:39.0,,,46-57,,Defensive rebound by M. Gortat
5:32.0,,,46-57,,P. Pierce misses 2-pt shot from 3 ft
5:31.0,Defensive rebound by L. Scola,,46-57,,
5:23.0,D. Sloan makes 3-pt shot from 25 ft,3,49-57,,
4:59.0,,,49-59,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
4:44.0,Turnover by D. Sloan (bad pass; steal by P. Pierce),,49-59,,
4:39.0,,,49-59,,P. Pierce misses 2-pt shot from 2 ft
4:37.0,,,49-59,,Offensive rebound by J. Wall
4:37.0,,,49-61,2,J. Wall makes 2-pt shot from 1 ft
4:37.0,Indiana full timeout,,49-61,,
4:37.0,,,49-61,,D. Gooden enters the game for N. Hilario
4:37.0,,,49-61,,O. Porter enters the game for P. Pierce
4:18.0,,,49-61,,Personal foul by G. Temple (drawn by C. Copeland)
4:13.0,S. Hill misses 2-pt shot from 17 ft,,49-61,,
4:12.0,Offensive rebound by S. Hill,,49-61,,
4:08.0,S. Hill makes 3-pt shot from 26 ft,3,52-61,,
3:49.0,,,52-61,,M. Gortat misses 2-pt shot from 6 ft
3:49.0,,,52-61,,Offensive rebound by Team
3:49.0,Personal foul by L. Scola (drawn by D. Gooden),,52-61,,
3:40.0,,,52-61,,M. Gortat misses 2-pt shot from 12 ft (block by R. Hibbert)
3:39.0,Defensive rebound by R. Hibbert,,52-61,,
3:29.0,L. Scola makes 2-pt shot from 17 ft (assist by D. Sloan),2,54-61,,
3:07.0,,,54-61,,J. Wall misses 2-pt shot from 14 ft
3:06.0,Defensive rebound by Team,,54-61,,
2:52.0,Turnover by S. Hill (bad pass; steal by M. Gortat),,54-61,,
2:46.0,,,54-61,,Offensive foul by G. Temple
2:46.0,,,54-61,,Turnover by G. Temple (offensive foul)
2:46.0,,,54-61,,Washington full timeout
2:46.0,D. Rudez enters the game for S. Hill,,54-61,,
2:28.0,C. Copeland makes 2-pt shot from 1 ft (assist by R. Hibbert),2,56-61,,
2:10.0,,,56-61,,D. Gooden misses 2-pt shot from 7 ft
2:09.0,,,56-61,,Offensive rebound by Team
2:03.0,,,56-61,,O. Porter misses 2-pt shot from 7 ft
2:02.0,Defensive rebound by L. Scola,,56-61,,
1:47.0,D. Sloan misses 3-pt shot from 26 ft,,56-61,,
1:46.0,,,56-61,,Defensive rebound by M. Gortat
1:35.0,,,56-61,,D. Gooden misses 2-pt shot from 20 ft
1:34.0,Defensive rebound by C. Copeland,,56-61,,
1:25.0,C. Copeland misses 2-pt shot from 18 ft,,56-61,,
1:24.0,,,56-61,,Defensive rebound by G. Temple
1:21.0,,,56-61,,Shooting foul by D. Sloan (drawn by J. Wall)
1:21.0,,,56-62,1,J. Wall makes free throw 1 of 2
1:21.0,L. Allen enters the game for L. Scola,,56-62,,
1:21.0,,,56-63,1,J. Wall makes free throw 2 of 2
0:58.0,C. Copeland misses 3-pt shot from 24 ft,,56-63,,
0:56.0,Offensive rebound by L. Allen,,56-63,,
0:53.0,Shooting foul by J. Wall (drawn by D. Sloan),,56-63,,
0:53.0,D. Sloan makes free throw 1 of 2,1,57-63,,
0:53.0,I. Mahinmi enters the game for R. Hibbert,,57-63,,
0:53.0,D. Sloan misses free throw 2 of 2,,57-63,,
0:52.0,,,57-63,,Defensive rebound by M. Gortat
0:40.0,,,57-63,,J. Wall misses 2-pt shot from 16 ft
0:38.0,Defensive rebound by C. Copeland,,57-63,,
0:28.0,L. Allen makes 2-pt shot from 19 ft (assist by D. Sloan),2,59-63,,
0:06.0,,,59-66,3,D. Gooden makes 3-pt shot from 25 ft (assist by J. Wall)
0:01.0,Shooting foul by M. Gortat (drawn by D. Sloan),,59-66,,
0:01.0,D. Sloan makes free throw 1 of 2,1,60-66,,
0:01.0,D. Sloan makes free throw 2 of 2,1,61-66,,
0:00.0,,,61-66,,J. Wall misses 3-pt shot from 53 ft
0:00.0,,,61-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,61-66,,K. Seraphin misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by I. Mahinmi,,61-66,,
11:30.0,S. Hill misses 2-pt shot from 4 ft,,61-66,,
11:29.0,,,61-66,,Defensive rebound by K. Seraphin
11:18.0,,,61-66,,A. Miller misses 2-pt shot from 5 ft (block by S. Hill)
