time,Minnesota,pts.away,score,pts.home,New York
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: C. Aldrich vs. G. Dieng (L. Galloway gains possession),,,,Jump ball: C. Aldrich vs. G. Dieng (L. Galloway gains possession)
4:41.0,,,85-87,2,C. Aldrich makes 2-pt shot from 4 ft
4:17.0,C. Budinger misses 3-pt shot from 24 ft,,85-87,,
4:15.0,,,85-87,,Defensive rebound by C. Aldrich
3:52.0,,,85-87,,A. Bargnani misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by Z. LaVine,,85-87,,
3:42.0,Shooting foul by A. Shved (drawn by A. Wiggins),,85-87,,
3:42.0,A. Wiggins makes free throw 1 of 2,1,86-87,,
3:42.0,A. Wiggins misses free throw 2 of 2,,86-87,,
3:41.0,,,86-87,,Defensive rebound by C. Aldrich
3:19.0,,,86-87,,C. Aldrich misses 2-pt shot from 4 ft
3:17.0,,,86-87,,Offensive rebound by A. Bargnani
3:17.0,,,86-87,,A. Bargnani misses 2-pt shot from 2 ft
3:15.0,Defensive rebound by A. Wiggins,,86-87,,
3:11.0,Turnover by Z. LaVine (lost ball; steal by C. Aldrich),,86-87,,
3:05.0,,,86-89,2,L. Thomas makes 2-pt shot at rim (assist by A. Shved)
3:03.0,Minnesota full timeout,,86-89,,
2:52.0,Z. LaVine makes 2-pt shot from 1 ft,2,88-89,,
2:31.0,,,88-89,,L. Galloway misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by G. Dieng,,88-89,,
2:09.0,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine),2,90-89,,
1:47.0,,,90-89,,A. Shved misses 2-pt shot from 5 ft (block by A. Wiggins)
1:45.0,,,90-89,,Offensive rebound by L. Galloway
1:42.0,,,90-92,3,L. Galloway makes 3-pt shot from 24 ft
1:27.0,C. Budinger misses 3-pt shot from 23 ft,,90-92,,
1:25.0,Offensive rebound by Z. LaVine,,90-92,,
1:15.0,Shooting foul by A. Shved (drawn by A. Wiggins),,90-92,,
1:15.0,A. Wiggins makes free throw 1 of 2,1,91-92,,
1:15.0,A. Wiggins misses free throw 2 of 2,,91-92,,
1:13.0,,,91-92,,Defensive rebound by C. Aldrich
0:58.0,,,91-92,,A. Bargnani misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by Z. LaVine,,91-92,,
0:36.0,A. Wiggins misses 2-pt shot from 2 ft (block by C. Aldrich),,91-92,,
0:34.0,,,91-92,,Defensive rebound by A. Bargnani
0:28.0,,,91-92,,New York full timeout
0:17.0,,,91-92,,A. Shved misses 2-pt shot from 5 ft (block by G. Dieng)
0:15.0,Defensive rebound by C. Budinger,,91-92,,
0:11.0,Shooting foul by L. Galloway (drawn by Z. LaVine),,91-92,,
0:11.0,Z. LaVine makes free throw 1 of 2,1,92-92,,
0:11.0,Z. LaVine makes free throw 2 of 2,1,93-92,,
0:11.0,,,93-92,,New York full timeout
0:11.0,L. Brown enters the game for K. Martin,,93-92,,
0:06.0,,,93-92,,A. Shved misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by A. Wiggins,,93-92,,
0:02.0,,,93-92,,Personal take foul by L. Galloway (drawn by Z. LaVine)
0:02.0,Z. LaVine makes free throw 1 of 2,1,94-92,,
0:02.0,Z. LaVine makes free throw 2 of 2,1,95-92,,
0:02.0,,,95-92,,New York full timeout
0:02.0,,,95-92,,J. Smith enters the game for C. Aldrich
0:02.0,A. Payne enters the game for Z. LaVine,,95-92,,
0:01.0,,,95-92,,A. Bargnani misses 3-pt shot from 25 ft
0:00.0,,,95-92,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
