time,Indiana,pts.away,score,pts.home,Memphis
10:45.0,Personal foul by D. Sloan (drawn by M. Gasol),,26-22,,
10:45.0,,,26-22,,K. Koufos enters the game for Z. Randolph
10:41.0,Personal foul by P. George (drawn by V. Carter),,26-22,,
10:30.0,,,26-22,,V. Carter misses 2-pt shot from 2 ft (block by L. Scola)
10:30.0,,,26-22,,Offensive rebound by M. Gasol
10:30.0,,,26-22,,Shooting foul by P. George (drawn by M. Gasol)
10:30.0,,,26-23,1,M. Gasol makes free throw 1 of 2
10:30.0,,,26-24,1,M. Gasol makes free throw 2 of 2
10:18.0,R. Stuckey misses 2-pt shot from 17 ft,,26-24,,
10:16.0,,,26-24,,Defensive rebound by K. Koufos
10:09.0,Personal foul by I. Mahinmi (drawn by M. Gasol),,26-24,,
9:58.0,,,26-26,2,M. Gasol makes 2-pt shot from 1 ft (assist by N. Calathes)
9:38.0,R. Stuckey makes 3-pt shot from 22 ft (assist by D. Sloan),3,29-26,,
9:15.0,,,29-28,2,M. Gasol makes 2-pt shot from 17 ft
9:01.0,L. Scola misses 2-pt shot from 20 ft,,29-28,,
9:00.0,,,29-28,,Defensive rebound by K. Koufos
8:47.0,,,29-28,,M. Gasol misses 2-pt shot from 11 ft
8:45.0,Defensive rebound by L. Scola,,29-28,,
8:32.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Stuckey),2,31-28,,
8:06.0,,,31-28,,V. Carter misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by D. Sloan,,31-28,,
7:49.0,Turnover by D. Sloan (lost ball; steal by N. Calathes),,31-28,,
7:46.0,,,31-28,,Turnover by N. Calathes (bad pass; steal by R. Stuckey)
7:38.0,R. Stuckey misses 2-pt shot from 1 ft,,31-28,,
7:38.0,,,31-28,,Defensive rebound by K. Koufos
7:38.0,,,31-28,,Memphis full timeout
7:38.0,,,31-28,,J. Green enters the game for M. Gasol
7:38.0,L. Allen enters the game for I. Mahinmi,,31-28,,
7:38.0,C. Miles enters the game for P. George,,31-28,,
7:25.0,,,31-30,2,J. Green makes 2-pt shot from 1 ft (assist by J. Adams)
7:07.0,Turnover by D. Sloan (bad pass; steal by J. Adams),,31-30,,
7:02.0,,,31-32,2,J. Adams makes 2-pt shot from 3 ft
6:45.0,Turnover by L. Allen (lost ball; steal by N. Calathes),,31-32,,
6:39.0,,,31-32,,N. Calathes misses 2-pt shot from 5 ft
6:38.0,,,31-32,,Offensive rebound by K. Koufos
6:38.0,,,31-34,2,K. Koufos makes 2-pt shot from 1 ft
6:37.0,Indiana full timeout,,31-34,,
6:37.0,D. West enters the game for L. Scola,,31-34,,
6:37.0,G. Hill enters the game for D. Sloan,,31-34,,
6:23.0,D. West misses 2-pt shot at rim,,31-34,,
6:21.0,,,31-34,,Defensive rebound by K. Koufos
6:00.0,,,31-37,3,J. Green makes 3-pt shot from 25 ft
5:46.0,,,31-37,,Personal foul by J. Green (drawn by D. West)
5:38.0,L. Allen misses 2-pt shot from 21 ft,,31-37,,
5:37.0,,,31-37,,Defensive rebound by J. Adams
5:27.0,,,31-37,,K. Koufos misses 2-pt shot at rim
5:24.0,,,31-37,,Offensive rebound by J. Adams
5:22.0,,,31-37,,J. Adams misses 2-pt shot from 6 ft
5:22.0,,,31-37,,Offensive rebound by K. Koufos
5:22.0,,,31-37,,Shooting foul by R. Stuckey (drawn by K. Koufos)
5:22.0,,,31-38,1,K. Koufos makes free throw 1 of 2
5:22.0,,,31-39,1,K. Koufos makes free throw 2 of 2
5:08.0,Turnover by R. Stuckey (bad pass; steal by V. Carter),,31-39,,
5:04.0,,,31-39,,J. Adams misses 2-pt shot from 1 ft (block by D. West)
5:04.0,,,31-39,,Offensive rebound by Team
5:00.0,,,31-39,,J. Green misses 2-pt shot from 21 ft
4:59.0,Defensive rebound by C. Miles,,31-39,,
