time,Golden State,pts.away,score,pts.home,Washington
0:35.0,H. Barnes misses 3-pt shot from 26 ft,,112-106,,
0:34.0,Offensive rebound by A. Iguodala,,112-106,,
0:32.0,,,112-106,,Personal foul by N. Hilario (drawn by A. Iguodala)
0:32.0,A. Iguodala misses free throw 1 of 2,,112-106,,
0:32.0,Offensive rebound by Team,,112-106,,
0:32.0,A. Iguodala misses free throw 2 of 2,,112-106,,
0:31.0,,,112-106,,Defensive rebound by N. Hilario
0:31.0,Loose ball foul by D. Green (drawn by N. Hilario),,112-106,,
0:31.0,,,112-106,,N. Hilario misses free throw 1 of 2
0:31.0,,,112-106,,Offensive rebound by Team
0:31.0,,,112-106,,G. Temple enters the game for M. Webster
0:31.0,,,112-107,1,N. Hilario makes free throw 2 of 2
0:31.0,Golden State full timeout,,112-107,,
0:21.0,,,112-107,,Personal take foul by G. Temple (drawn by K. Thompson)
0:21.0,K. Thompson makes free throw 1 of 2,1,113-107,,
0:21.0,K. Thompson makes free throw 2 of 2,1,114-107,,
0:14.0,,,114-107,,J. Wall misses 3-pt shot from 24 ft (block by D. Green)
0:12.0,,,114-107,,Offensive rebound by J. Wall
0:10.0,,,114-107,,Turnover by J. Wall (lost ball; steal by K. Thompson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
