time,Atlanta,pts.away,score,pts.home,Denver
2:27.0,,,94-111,,J. Lauvergne misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by Team,,94-111,,
2:14.0,M. Muscala makes 2-pt shot from 2 ft (assist by J. Jenkins),2,96-111,,
1:52.0,,,96-111,,E. Green misses 2-pt shot from 21 ft
1:51.0,Defensive rebound by M. Muscala,,96-111,,
1:45.0,Turnover by M. Muscala (lost ball; steal by G. Harris),,96-111,,
1:27.0,,,96-111,,Turnover by W. Barton (bad pass; steal by S. Mack)
1:23.0,J. Jenkins makes 3-pt shot from 23 ft (assist by S. Mack),3,99-111,,
1:05.0,,,99-111,,J. Hickson misses 2-pt shot from 6 ft
1:03.0,Defensive rebound by M. Muscala,,99-111,,
0:53.0,S. Mack misses 2-pt shot from 6 ft,,99-111,,
0:51.0,Offensive rebound by P. Antic,,99-111,,
0:51.0,P. Antic misses 2-pt shot from 1 ft,,99-111,,
0:49.0,,,99-111,,Defensive rebound by J. Lauvergne
0:47.0,,,99-111,,Turnover by J. Lauvergne (bad pass; steal by M. Muscala)
0:45.0,S. Mack makes 3-pt shot from 24 ft (assist by K. Bazemore),3,102-111,,
0:39.0,Personal foul by S. Mack (drawn by E. Green),,102-111,,
0:36.0,Personal foul by S. Mack (drawn by W. Barton),,102-111,,
0:36.0,,,102-112,1,W. Barton makes free throw 1 of 2
0:36.0,,,102-113,1,W. Barton makes free throw 2 of 2
0:36.0,Atlanta full timeout,,102-113,,
0:31.0,Turnover by J. Jenkins (bad pass; steal by E. Green),,102-113,,
0:28.0,,,102-113,,Shooting foul by K. Bazemore (drawn by E. Green)
0:28.0,,,102-113,,Denver full timeout
0:28.0,,,102-114,1,E. Green makes free throw 1 of 2
0:28.0,,,102-115,1,E. Green makes free throw 2 of 2
0:22.0,K. Bazemore misses 2-pt shot from 1 ft (block by W. Barton),,102-115,,
0:20.0,Offensive rebound by P. Antic,,102-115,,
0:19.0,Turnover by P. Antic (bad pass; steal by G. Harris),,102-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
