time,New York,pts.away,score,pts.home,Dallas
5:32.0,,,81-76,,M. Ellis misses 2-pt shot from 18 ft
5:30.0,,,81-76,,Offensive rebound by B. Wright
5:28.0,,,81-78,2,B. Wright makes 2-pt shot from 3 ft
5:10.0,J. Smith makes 2-pt shot from 18 ft,2,83-78,,
4:56.0,Shooting block foul by A. Stoudemire (drawn by M. Ellis),,83-78,,
4:56.0,,,83-79,1,M. Ellis makes free throw 1 of 2
4:56.0,P. Prigioni enters the game for T. Hardaway,,83-79,,
4:56.0,,,83-80,1,M. Ellis makes free throw 2 of 2
4:38.0,A. Stoudemire misses 2-pt shot from 3 ft,,83-80,,
4:37.0,,,83-80,,Defensive rebound by T. Chandler
4:28.0,,,83-82,2,M. Ellis makes 2-pt shot from 15 ft
4:15.0,Turnover by J. Smith (offensive foul),,83-82,,
4:15.0,Offensive foul by J. Smith,,83-82,,
4:15.0,,,83-82,,D. Nowitzki enters the game for B. Wright
4:15.0,Q. Acy enters the game for A. Stoudemire,,83-82,,
4:05.0,,,83-84,2,M. Ellis makes 2-pt shot from 18 ft (assist by D. Nowitzki)
4:03.0,New York full timeout,,83-84,,
3:43.0,J. Smith misses 2-pt shot from 3 ft,,83-84,,
3:43.0,,,83-84,,Defensive rebound by D. Nowitzki
3:43.0,Loose ball foul by S. Dalembert (drawn by D. Nowitzki),,83-84,,
3:43.0,,,83-85,1,D. Nowitzki makes free throw 1 of 2
3:43.0,,,83-86,1,D. Nowitzki makes free throw 2 of 2
3:26.0,Q. Acy misses 2-pt shot from 18 ft,,83-86,,
3:25.0,,,83-86,,Defensive rebound by T. Chandler
3:10.0,,,83-86,,M. Ellis misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by S. Dalembert,,83-86,,
2:59.0,J. Smith misses 2-pt shot from 18 ft,,83-86,,
2:56.0,,,83-86,,Defensive rebound by D. Harris
2:53.0,,,83-88,2,C. Parsons makes 2-pt shot at rim (assist by D. Harris)
2:33.0,J. Calderon makes 3-pt shot from 24 ft,3,86-88,,
2:13.0,,,86-88,,C. Parsons misses 3-pt shot from 22 ft
2:12.0,Defensive rebound by S. Dalembert,,86-88,,
2:08.0,New York full timeout,,86-88,,
2:08.0,A. Stoudemire enters the game for S. Dalembert,,86-88,,
2:01.0,J. Calderon makes 3-pt shot from 24 ft (assist by P. Prigioni),3,89-88,,
1:46.0,,,89-88,,D. Nowitzki misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by J. Smith,,89-88,,
1:27.0,Turnover by A. Stoudemire (lost ball; steal by D. Nowitzki),,89-88,,
1:26.0,Loose ball foul by A. Stoudemire (drawn by D. Nowitzki),,89-88,,
1:26.0,,,89-89,1,D. Nowitzki makes free throw 1 of 2
1:26.0,,,89-90,1,D. Nowitzki makes free throw 2 of 2
1:12.0,J. Calderon misses 2-pt shot from 11 ft,,89-90,,
1:12.0,,,89-90,,Defensive rebound by C. Parsons
1:12.0,Loose ball foul by A. Stoudemire (drawn by C. Parsons),,89-90,,
1:12.0,,,89-91,1,C. Parsons makes free throw 1 of 2
1:12.0,,,89-92,1,C. Parsons makes free throw 2 of 2
0:58.0,J. Smith makes 2-pt shot from 9 ft,2,91-92,,
0:58.0,,,91-92,,Dallas full timeout
0:58.0,I. Shumpert enters the game for J. Smith,,91-92,,
0:58.0,S. Dalembert enters the game for A. Stoudemire,,91-92,,
0:47.0,,,91-94,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Harris)
0:47.0,New York full timeout,,91-94,,
0:47.0,,,91-94,,A. Aminu enters the game for D. Nowitzki
0:47.0,J. Smith enters the game for Q. Acy,,91-94,,
0:47.0,T. Hardaway enters the game for S. Dalembert,,91-94,,
0:47.0,A. Stoudemire enters the game for I. Shumpert,,91-94,,
0:44.0,A. Stoudemire makes 2-pt shot at rim (assist by J. Calderon),2,93-94,,
0:43.0,,,93-94,,Dallas full timeout
0:43.0,,,93-94,,D. Nowitzki enters the game for A. Aminu
0:43.0,I. Shumpert enters the game for J. Smith,,93-94,,
0:43.0,Q. Acy enters the game for A. Stoudemire,,93-94,,
0:43.0,S. Dalembert enters the game for T. Hardaway,,93-94,,
0:19.0,,,93-94,,D. Nowitzki misses 3-pt shot from 26 ft
0:18.0,,,93-94,,Offensive rebound by T. Chandler
0:18.0,,,93-94,,T. Chandler misses 2-pt shot from 1 ft
0:16.0,Defensive rebound by Q. Acy,,93-94,,
0:10.0,S. Dalembert misses 2-pt shot from 2 ft,,93-94,,
0:09.0,,,93-94,,Defensive rebound by T. Chandler
0:08.0,Loose ball foul by I. Shumpert (drawn by D. Harris),,93-94,,
0:08.0,,,93-94,,D. Harris misses free throw 1 of 2
0:08.0,,,93-94,,Offensive rebound by Team
0:08.0,A. Stoudemire enters the game for I. Shumpert,,93-94,,
0:08.0,,,93-95,1,D. Harris makes free throw 2 of 2
0:08.0,New York full timeout,,93-95,,
0:08.0,,,93-95,,A. Aminu enters the game for C. Parsons
0:08.0,,,93-95,,R. Jefferson enters the game for D. Nowitzki
0:08.0,T. Hardaway enters the game for Q. Acy,,93-95,,
0:08.0,J. Smith enters the game for S. Dalembert,,93-95,,
0:01.0,J. Smith makes 2-pt shot from 22 ft,2,95-95,,
0:01.0,,,95-95,,Dallas full timeout
0:01.0,,,95-95,,C. Parsons enters the game for A. Aminu
0:01.0,,,95-95,,D. Nowitzki enters the game for R. Jefferson
0:01.0,I. Shumpert enters the game for J. Smith,,95-95,,
0:01.0,C. Aldrich enters the game for A. Stoudemire,,95-95,,
0:01.0,S. Dalembert enters the game for T. Hardaway,,95-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Chandler vs. S. Dalembert (J. Calderon gains possession),,,,Jump ball: T. Chandler vs. S. Dalembert (J. Calderon gains possession)
4:39.0,S. Dalembert makes 2-pt shot from 14 ft (assist by P. Prigioni),2,97-95,,
4:25.0,,,97-97,2,T. Chandler makes 2-pt shot at rim (assist by D. Harris)
3:57.0,S. Dalembert misses 2-pt shot from 14 ft,,97-97,,
3:57.0,Offensive rebound by P. Prigioni,,97-97,,
3:43.0,Turnover by S. Dalembert (lost ball; steal by M. Ellis),,97-97,,
3:41.0,,,97-97,,Turnover by C. Parsons (step out of bounds)
3:22.0,J. Calderon misses 2-pt shot from 19 ft,,97-97,,
3:21.0,,,97-97,,Defensive rebound by D. Nowitzki
3:11.0,,,97-97,,D. Nowitzki misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by J. Smith,,97-97,,
2:49.0,P. Prigioni misses 2-pt shot from 1 ft,,97-97,,
2:49.0,Offensive rebound by S. Dalembert,,97-97,,
2:49.0,,,97-97,,Loose ball foul by T. Chandler (drawn by S. Dalembert)
2:38.0,J. Smith makes 2-pt shot from 18 ft,2,99-97,,
2:15.0,,,99-99,2,D. Nowitzki makes 2-pt shot from 17 ft
1:56.0,Turnover by J. Smith (lost ball; steal by D. Harris),,99-99,,
1:56.0,,,99-99,,J. Barea enters the game for D. Harris
1:56.0,Jump ball: C. Parsons vs. P. Prigioni (D. Nowitzki gains possession),,,,Jump ball: C. Parsons vs. P. Prigioni (D. Nowitzki gains possession)
1:39.0,,,99-99,,M. Ellis misses 2-pt shot at rim
1:38.0,Defensive rebound by S. Dalembert,,99-99,,
1:37.0,Turnover by S. Dalembert (lost ball; steal by M. Ellis),,99-99,,
1:37.0,,,99-101,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
1:37.0,New York full timeout,,99-101,,
1:37.0,,,99-101,,A. Aminu enters the game for C. Parsons
1:37.0,,,99-101,,R. Jefferson enters the game for D. Nowitzki
1:37.0,A. Stoudemire enters the game for S. Dalembert,,99-101,,
1:23.0,Turnover by J. Smith (bad pass),,99-101,,
1:23.0,,,99-101,,D. Nowitzki enters the game for A. Aminu
1:23.0,,,99-101,,C. Parsons enters the game for R. Jefferson
1:23.0,S. Dalembert enters the game for A. Stoudemire,,99-101,,
1:23.0,I. Shumpert enters the game for J. Smith,,99-101,,
1:05.0,,,99-101,,D. Nowitzki misses 2-pt shot from 13 ft
1:03.0,Defensive rebound by J. Calderon,,99-101,,
1:02.0,Turnover by J. Calderon (lost ball; steal by C. Parsons),,99-101,,
0:44.0,,,99-103,2,D. Nowitzki makes 2-pt shot from 13 ft
0:44.0,New York full timeout,,99-103,,
0:44.0,,,99-103,,A. Aminu enters the game for C. Parsons
0:44.0,,,99-103,,D. Harris enters the game for D. Nowitzki
0:44.0,,,99-103,,R. Jefferson enters the game for J. Barea
0:44.0,T. Hardaway enters the game for Q. Acy,,99-103,,
0:44.0,A. Stoudemire enters the game for S. Dalembert,,99-103,,
0:44.0,J. Smith enters the game for I. Shumpert,,99-103,,
0:36.0,Turnover by J. Calderon (bad pass; steal by M. Ellis),,99-103,,
0:28.0,Personal take foul by P. Prigioni (drawn by M. Ellis),,99-103,,
0:28.0,,,99-103,,D. Nowitzki enters the game for A. Aminu
0:28.0,,,99-103,,C. Parsons enters the game for R. Jefferson
0:28.0,Q. Acy enters the game for T. Hardaway,,99-103,,
0:28.0,I. Shumpert enters the game for J. Smith,,99-103,,
0:28.0,,,99-103,,Dallas full timeout
0:28.0,,,99-103,,J. Barea enters the game for T. Chandler
0:28.0,T. Wear enters the game for A. Stoudemire,,99-103,,
0:28.0,,,99-103,,Dallas full timeout
0:26.0,Personal take foul by J. Calderon (drawn by J. Barea),,99-103,,
0:26.0,,,99-104,1,J. Barea makes free throw 1 of 2
0:26.0,J. Smith enters the game for T. Wear,,99-104,,
0:26.0,A. Stoudemire enters the game for Q. Acy,,99-104,,
0:26.0,,,99-104,,T. Chandler enters the game for C. Parsons
0:26.0,,,99-104,,A. Aminu enters the game for D. Nowitzki
0:26.0,,,99-104,,J. Barea misses free throw 2 of 2
0:24.0,Defensive rebound by A. Stoudemire,,99-104,,
0:17.0,J. Smith misses 2-pt shot from 2 ft,,99-104,,
0:15.0,Offensive rebound by I. Shumpert,,99-104,,
0:15.0,I. Shumpert misses 2-pt shot at rim,,99-104,,
0:14.0,,,99-104,,Defensive rebound by T. Chandler
0:13.0,Personal take foul by A. Stoudemire (drawn by D. Harris),,99-104,,
0:13.0,S. Dalembert enters the game for A. Stoudemire,,99-104,,
0:13.0,,,99-105,1,D. Harris makes free throw 1 of 2
0:13.0,,,99-105,,R. Jefferson enters the game for M. Ellis
0:13.0,,,99-106,1,D. Harris makes free throw 2 of 2
0:13.0,New York full timeout,,99-106,,
0:13.0,,,99-106,,B. Wright enters the game for T. Chandler
0:11.0,J. Smith makes 3-pt shot from 22 ft (assist by P. Prigioni),3,102-106,,
0:09.0,Personal take foul by I. Shumpert (drawn by R. Jefferson),,102-106,,
0:09.0,,,102-107,1,R. Jefferson makes free throw 1 of 2
0:09.0,,,102-108,1,R. Jefferson makes free throw 2 of 2
0:03.0,J. Smith misses 3-pt shot from 24 ft,,102-108,,
0:01.0,,,102-108,,Defensive rebound by R. Jefferson
0:01.0,Personal take foul by I. Shumpert (drawn by R. Jefferson),,102-108,,
0:01.0,,,102-108,,R. Jefferson misses free throw 1 of 2
0:01.0,,,102-108,,Offensive rebound by Team
0:01.0,,,102-109,1,R. Jefferson makes free throw 2 of 2
0:00.0,End of 1st overtime,,,,End of 1st overtime
