time,Orlando,pts.away,score,pts.home,LA Clippers
4:37.0,,,79-106,,E. Udoh enters the game for S. Hawes
4:37.0,D. Dedmon makes free throw 2 of 2,1,80-106,,
4:18.0,,,80-108,2,M. Barnes makes 2-pt shot from 2 ft (assist by C. Wilcox)
4:06.0,Turnover by M. Harkless (lost ball),,80-108,,
3:53.0,,,80-110,2,G. Davis makes 2-pt shot from 2 ft (assist by J. Cunningham)
3:53.0,,,80-110,,Shooting foul by M. Harkless (drawn by G. Davis)
3:53.0,,,80-111,1,G. Davis makes free throw 1 of 1
3:34.0,W. Green makes 2-pt shot from 21 ft,2,82-111,,
3:14.0,,,82-111,,C. Wilcox misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by L. Ridnour,,82-111,,
3:08.0,W. Green makes 2-pt shot at rim (assist by L. Ridnour),2,84-111,,
2:51.0,,,84-111,,C. Wilcox misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by A. Nicholson,,84-111,,
2:42.0,Turnover by M. Harkless (lost ball; steal by E. Udoh),,84-111,,
2:37.0,,,84-111,,Offensive charge foul by J. Cunningham
2:37.0,,,84-111,,Turnover by J. Cunningham (offensive foul)
2:37.0,,,84-111,,LA Clippers full timeout
2:19.0,W. Green misses 2-pt shot from 8 ft,,84-111,,
2:18.0,,,84-111,,Defensive rebound by G. Davis
2:04.0,,,84-114,3,C. Wilcox makes 3-pt shot from 23 ft (assist by J. Cunningham)
1:52.0,W. Green misses 2-pt shot from 21 ft,,84-114,,
1:50.0,,,84-114,,Defensive rebound by M. Barnes
1:35.0,,,84-114,,Turnover by J. Cunningham (bad pass; steal by M. Harkless)
1:25.0,D. Dedmon makes 2-pt shot from 2 ft (assist by M. Harkless),2,86-114,,
1:07.0,,,86-114,,E. Udoh misses 2-pt shot from 14 ft
1:05.0,Defensive rebound by A. Nicholson,,86-114,,
1:00.0,Turnover by W. Green (bad pass; steal by G. Davis),,86-114,,
0:54.0,,,86-114,,J. Cunningham misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by D. Dedmon,,86-114,,
0:32.0,Turnover by M. Harkless (lost ball; steal by M. Barnes),,86-114,,
0:07.0,,,86-114,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
