time,Atlanta,pts.away,score,pts.home,Dallas
4:14.0,,,94-81,,Dallas full timeout
4:03.0,,,94-83,2,M. Ellis makes 2-pt shot from 4 ft
3:38.0,K. Korver misses 3-pt shot from 24 ft,,94-83,,
3:37.0,,,94-83,,Defensive rebound by T. Chandler
3:29.0,Personal foul by D. Carroll (drawn by D. Nowitzki),,94-83,,
3:29.0,,,94-84,1,D. Nowitzki makes free throw 1 of 2
3:29.0,P. Millsap enters the game for A. Horford,,94-84,,
3:29.0,,,94-85,1,D. Nowitzki makes free throw 2 of 2
3:22.0,,,94-85,,Personal foul by R. Rondo (drawn by D. Schroder)
3:22.0,,,94-85,,R. Jefferson enters the game for D. Nowitzki
3:07.0,Shooting foul by C. Parsons (drawn by K. Korver),,94-85,,
3:07.0,K. Korver makes free throw 1 of 2,1,95-85,,
3:07.0,,,95-85,,D. Nowitzki enters the game for R. Jefferson
3:07.0,K. Korver makes free throw 2 of 2,1,96-85,,
2:55.0,,,96-85,,Shooting foul by K. Korver (drawn by T. Chandler)
2:55.0,,,96-86,1,T. Chandler makes free throw 1 of 2
2:55.0,,,96-86,,T. Chandler misses free throw 2 of 2
2:54.0,Defensive rebound by D. Carroll,,96-86,,
2:41.0,Offensive foul by D. Schroder,,96-86,,
2:41.0,Turnover by D. Schroder (offensive foul),,96-86,,
2:29.0,,,96-86,,M. Ellis misses 2-pt shot from 17 ft
2:28.0,Defensive rebound by K. Korver,,96-86,,
2:12.0,P. Millsap misses 2-pt shot from 5 ft,,96-86,,
2:11.0,,,96-86,,Defensive rebound by R. Rondo
2:05.0,,,96-88,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
2:05.0,Atlanta full timeout,,96-88,,
2:05.0,A. Horford enters the game for K. Korver,,96-88,,
2:05.0,T. Sefolosha enters the game for P. Antic,,96-88,,
1:51.0,Turnover by P. Millsap (lost ball; steal by R. Rondo),,96-88,,
1:46.0,,,96-88,,Turnover by M. Ellis (bad pass)
1:28.0,D. Schroder makes 2-pt shot from 19 ft,2,98-88,,
1:18.0,,,98-88,,M. Ellis misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by P. Millsap,,98-88,,
1:08.0,,,98-88,,Personal take foul by R. Rondo (drawn by D. Schroder)
1:08.0,D. Schroder makes free throw 1 of 2,1,99-88,,
1:08.0,D. Schroder makes free throw 2 of 2,1,100-88,,
1:08.0,,,100-88,,Dallas full timeout
1:08.0,,,100-88,,C. Villanueva enters the game for D. Nowitzki
1:08.0,K. Bazemore enters the game for D. Schroder,,100-88,,
1:02.0,,,100-88,,Turnover by M. Ellis (lost ball)
1:02.0,P. Antic enters the game for D. Carroll,,100-88,,
1:02.0,K. Korver enters the game for K. Bazemore,,100-88,,
1:02.0,D. Schroder enters the game for T. Sefolosha,,100-88,,
0:51.0,Turnover by P. Antic (bad pass),,100-88,,
0:48.0,,,100-91,3,M. Ellis makes 3-pt shot from 24 ft (assist by R. Rondo)
0:48.0,Atlanta full timeout,,100-91,,
0:48.0,,,100-91,,R. Jefferson enters the game for T. Chandler
0:47.0,,,100-91,,Personal take foul by M. Ellis (drawn by K. Korver)
0:47.0,K. Korver makes free throw 1 of 2,1,101-91,,
0:47.0,K. Bazemore enters the game for P. Antic,,101-91,,
0:47.0,K. Korver makes free throw 2 of 2,1,102-91,,
0:42.0,,,102-94,3,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo)
0:41.0,Atlanta full timeout,,102-94,,
0:41.0,P. Antic enters the game for K. Bazemore,,102-94,,
0:35.0,Turnover by D. Schroder (bad pass; steal by C. Villanueva),,102-94,,
0:30.0,,,102-94,,C. Villanueva misses 3-pt shot from 22 ft
0:29.0,,,102-94,,Offensive rebound by R. Rondo
0:28.0,,,102-97,3,C. Villanueva makes 3-pt shot from 22 ft (assist by R. Rondo)
0:22.0,Turnover by P. Antic (lost ball; steal by C. Parsons),,102-97,,
0:15.0,,,102-97,,M. Ellis misses 3-pt shot from 25 ft
0:13.0,,,102-97,,Offensive rebound by C. Villanueva
0:13.0,,,102-97,,C. Villanueva misses 2-pt shot at rim
0:12.0,Defensive rebound by A. Horford,,102-97,,
0:12.0,,,102-97,,Personal take foul by C. Parsons (drawn by A. Horford)
0:12.0,,,102-97,,R. Ledo enters the game for C. Parsons
0:12.0,K. Bazemore enters the game for P. Antic,,102-97,,
0:12.0,A. Horford misses free throw 1 of 2,,102-97,,
0:12.0,Offensive rebound by Team,,102-97,,
0:12.0,A. Horford makes free throw 2 of 2,1,103-97,,
0:05.0,,,103-97,,M. Ellis misses 3-pt shot from 24 ft
0:05.0,,,103-97,,Offensive rebound by C. Villanueva
0:05.0,,,103-97,,Shooting foul by A. Horford (drawn by C. Villanueva)
0:05.0,,,103-98,1,C. Villanueva makes free throw 1 of 2
0:05.0,D. Carroll enters the game for K. Bazemore,,103-98,,
0:05.0,,,103-99,1,C. Villanueva makes free throw 2 of 2
0:04.0,,,103-99,,Personal take foul by R. Jefferson (drawn by K. Korver)
0:04.0,K. Korver makes free throw 1 of 2,1,104-99,,
0:04.0,K. Korver makes free throw 2 of 2,1,105-99,,
0:00.0,,,105-102,3,R. Jefferson makes 3-pt shot from 29 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
