time,Houston,pts.away,score,pts.home,Miami
3:04.0,,,103-87,,C. Bosh misses free throw 2 of 2
3:03.0,Defensive rebound by J. Harden,,103-87,,
2:42.0,K. Papanikolaou misses 3-pt shot from 26 ft,,103-87,,
2:41.0,,,103-87,,Defensive rebound by Team
2:41.0,,,103-87,,S. Williams enters the game for C. Bosh
2:26.0,,,103-87,,M. Chalmers misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by D. Howard,,103-87,,
2:06.0,Turnover by J. Harden (bad pass),,103-87,,
2:06.0,,,103-87,,A. Dawkins enters the game for M. Chalmers
1:52.0,,,103-87,,J. Ennis misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by T. Ariza,,103-87,,
1:27.0,K. Papanikolaou makes 3-pt shot from 24 ft (assist by J. Harden),3,106-87,,
1:14.0,,,106-89,2,S. Williams makes 2-pt shot from 20 ft
0:55.0,T. Ariza misses 3-pt shot from 24 ft,,106-89,,
0:54.0,Offensive rebound by P. Beverley,,106-89,,
0:46.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,108-89,,
0:35.0,,,108-89,,A. Dawkins misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by P. Beverley,,108-89,,
0:23.0,P. Beverley misses 3-pt shot from 23 ft,,108-89,,
0:22.0,,,108-89,,Defensive rebound by S. Williams
0:22.0,Personal foul by J. Harden (drawn by S. Williams),,108-89,,
0:22.0,,,108-90,1,S. Williams makes free throw 1 of 2
0:22.0,D. Motiejunas enters the game for T. Ariza,,108-90,,
0:22.0,I. Canaan enters the game for D. Howard,,108-90,,
0:22.0,T. Daniels enters the game for J. Harden,,108-90,,
0:22.0,J. Terry enters the game for P. Beverley,,108-90,,
0:22.0,,,108-91,1,S. Williams makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
