time,Houston,pts.away,score,pts.home,Milwaukee
2:59.0,,,109-94,1,J. Parker makes free throw 1 of 2
2:59.0,,,109-94,,J. Parker misses free throw 2 of 2
2:57.0,Defensive rebound by T. Ariza,,109-94,,
2:38.0,J. Harden misses 3-pt shot from 25 ft,,109-94,,
2:37.0,Offensive rebound by T. Ariza,,109-94,,
2:32.0,J. Terry misses 3-pt shot from 27 ft,,109-94,,
2:31.0,,,109-94,,Defensive rebound by G. Antetokounmpo
2:20.0,,,109-96,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:01.0,K. Papanikolaou makes 3-pt shot from 25 ft (assist by J. Harden),3,112-96,,
1:55.0,,,112-96,,Turnover by K. Marshall (bad pass; steal by K. Papanikolaou)
1:53.0,K. Papanikolaou makes 2-pt shot at rim,2,114-96,,
1:46.0,Shooting block foul by D. Motiejunas (drawn by J. Parker),,114-96,,
1:46.0,,,114-97,1,J. Parker makes free throw 1 of 2
1:46.0,T. Black enters the game for T. Ariza,,114-97,,
1:46.0,N. Johnson enters the game for D. Motiejunas,,114-97,,
1:46.0,F. Garcia enters the game for J. Harden,,114-97,,
1:46.0,T. Daniels enters the game for J. Terry,,114-97,,
1:46.0,,,114-98,1,J. Parker makes free throw 2 of 2
1:28.0,T. Daniels makes 3-pt shot from 22 ft (assist by K. Papanikolaou),3,117-98,,
1:05.0,,,117-101,3,J. Dudley makes 3-pt shot from 23 ft (assist by L. Sanders)
0:43.0,N. Johnson misses 3-pt shot from 25 ft,,117-101,,
0:41.0,,,117-101,,Defensive rebound by J. Parker
0:35.0,,,117-103,2,G. Antetokounmpo makes 2-pt shot from 2 ft
0:11.0,N. Johnson misses 3-pt shot from 26 ft,,117-103,,
0:10.0,,,117-103,,Defensive rebound by G. Antetokounmpo
0:01.0,,,117-103,,J. Parker misses 2-pt shot at rim
0:00.0,,,117-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
