time,New Orleans,pts.away,score,pts.home,Miami
5:36.0,,,92-78,,Turnover by D. Wade (lost ball; steal by L. Babbitt)
5:34.0,Shooting foul by M. Chalmers (drawn by T. Evans),,92-78,,
5:34.0,T. Evans makes free throw 1 of 2,1,93-78,,
5:34.0,A. Ajinca enters the game for L. Babbitt,,93-78,,
5:34.0,T. Evans makes free throw 2 of 2,1,94-78,,
5:17.0,,,94-80,2,U. Haslem makes 2-pt shot from 19 ft (assist by D. Wade)
5:06.0,T. Evans makes 2-pt shot at rim,2,96-80,,
5:06.0,,,96-80,,Shooting block foul by U. Haslem (drawn by T. Evans)
5:06.0,T. Evans makes free throw 1 of 1,1,97-80,,
5:00.0,Personal foul by N. Cole (drawn by G. Dragic),,97-80,,
5:00.0,,,97-81,1,G. Dragic makes free throw 1 of 2
5:00.0,,,97-82,1,G. Dragic makes free throw 2 of 2
4:45.0,A. Ajinca makes 2-pt shot from 15 ft (assist by E. Gordon),2,99-82,,
4:31.0,,,99-82,,D. Wade misses 3-pt shot from 25 ft
4:30.0,,,99-82,,Offensive rebound by H. Whiteside
4:28.0,,,99-84,2,H. Whiteside makes 2-pt shot from 3 ft
4:04.0,T. Evans misses 2-pt shot from 2 ft (block by H. Whiteside),,99-84,,
4:03.0,,,99-84,,Defensive rebound by G. Dragic
3:59.0,,,99-84,,G. Dragic misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by N. Cole,,99-84,,
3:53.0,T. Evans misses 2-pt shot from 1 ft,,99-84,,
3:52.0,,,99-84,,Defensive rebound by H. Whiteside
3:47.0,,,99-84,,G. Dragic misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by N. Cole,,99-84,,
3:24.0,N. Cole misses 3-pt shot from 24 ft,,99-84,,
3:23.0,,,99-84,,Defensive rebound by H. Whiteside
3:10.0,,,99-86,2,D. Wade makes 2-pt shot from 15 ft
2:54.0,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon),2,101-86,,
2:54.0,Shooting foul by U. Haslem (drawn by O. Asik),,101-86,,
2:54.0,New Orleans full timeout,,101-86,,
2:54.0,D. Cunningham enters the game for A. Ajinca,,101-86,,
2:54.0,O. Asik makes free throw 1 of 1,1,102-86,,
2:43.0,,,102-86,,D. Wade misses 2-pt shot from 11 ft
2:42.0,Defensive rebound by N. Cole,,102-86,,
2:23.0,E. Gordon misses 3-pt shot from 23 ft,,102-86,,
2:22.0,Offensive rebound by O. Asik,,102-86,,
2:21.0,O. Asik misses 2-pt shot from 2 ft,,102-86,,
2:20.0,,,102-86,,Defensive rebound by U. Haslem
2:12.0,,,102-86,,M. Chalmers misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by O. Asik,,102-86,,
1:54.0,Shooting foul by U. Haslem (drawn by O. Asik),,102-86,,
1:54.0,O. Asik misses free throw 1 of 2,,102-86,,
1:54.0,Offensive rebound by Team,,102-86,,
1:54.0,O. Asik makes free throw 2 of 2,1,103-86,,
1:35.0,,,103-86,,U. Haslem misses 3-pt shot from 22 ft
1:34.0,Defensive rebound by O. Asik,,103-86,,
1:30.0,D. Cunningham makes 2-pt shot at rim (assist by T. Evans),2,105-86,,
1:23.0,,,105-89,3,D. Wade makes 3-pt shot from 24 ft
1:02.0,E. Gordon misses 3-pt shot from 24 ft,,105-89,,
1:01.0,,,105-89,,Defensive rebound by M. Chalmers
0:55.0,,,105-91,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
0:33.0,T. Evans misses 2-pt shot from 17 ft,,105-91,,
0:30.0,,,105-91,,Defensive rebound by H. Whiteside
0:29.0,,,105-91,,Turnover by H. Whiteside (bad pass; steal by N. Cole)
0:08.0,T. Evans misses 3-pt shot from 25 ft,,105-91,,
0:07.0,,,105-91,,Defensive rebound by H. Whiteside
0:00.0,End of 4th quarter,,,,End of 4th quarter
