time,Minnesota,pts.away,score,pts.home,Sacramento
3:48.0,A. Wiggins makes 2-pt shot from 7 ft (assist by Z. LaVine),2,100-106,,
3:24.0,,,100-108,2,D. Williams makes 2-pt shot from 19 ft
3:11.0,A. Wiggins misses 2-pt shot from 7 ft (block by R. Gay),,100-108,,
3:09.0,,,100-108,,Defensive rebound by R. McCallum
3:05.0,,,100-108,,Shooting foul by C. Budinger (drawn by O. Casspi)
3:05.0,,,100-109,1,O. Casspi makes free throw 1 of 2
3:05.0,,,100-109,,O. Casspi misses free throw 2 of 2
3:04.0,Defensive rebound by C. Budinger,,100-109,,
2:51.0,Z. LaVine makes 2-pt shot from 2 ft (assist by K. Martin),2,102-109,,
2:38.0,,,102-109,,D. Williams misses 3-pt shot from 22 ft
2:37.0,,,102-109,,Offensive rebound by R. Gay
2:36.0,,,102-109,,Shooting foul by A. Onuaku (drawn by R. Gay)
2:36.0,,,102-110,1,R. Gay makes free throw 1 of 2
2:36.0,,,102-111,1,R. Gay makes free throw 2 of 2
2:25.0,K. Martin makes 3-pt shot from 25 ft (assist by Z. LaVine),3,105-111,,
2:13.0,Personal foul by Z. LaVine (drawn by R. Gay),,105-111,,
2:13.0,,,105-112,1,R. Gay makes free throw 1 of 2
2:13.0,,,105-113,1,R. Gay makes free throw 2 of 2
1:59.0,K. Martin misses 2-pt shot from 9 ft,,105-113,,
1:59.0,,,105-113,,Defensive rebound by D. Williams
1:53.0,,,105-115,2,O. Casspi makes 2-pt shot from 6 ft (assist by D. Williams)
1:40.0,A. Onuaku makes 2-pt shot from 6 ft,2,107-115,,
1:19.0,,,107-115,,O. Casspi misses 2-pt shot from 23 ft
1:18.0,Defensive rebound by A. Wiggins,,107-115,,
1:13.0,Offensive charge foul by A. Wiggins,,107-115,,
1:13.0,Turnover by A. Wiggins (offensive foul),,107-115,,
0:59.0,,,107-115,,Shooting foul by K. Martin (drawn by J. Thompson)
0:59.0,,,107-115,,J. Thompson misses free throw 1 of 2
0:59.0,,,107-115,,Offensive rebound by Team
0:59.0,,,107-115,,J. Thompson misses free throw 2 of 2
0:59.0,Defensive rebound by K. Martin,,107-115,,
0:59.0,Minnesota full timeout,,107-115,,
0:51.0,K. Martin misses 2-pt shot from 4 ft,,107-115,,
0:51.0,Offensive rebound by A. Onuaku,,107-115,,
0:51.0,A. Onuaku makes 2-pt shot from 1 ft,2,109-115,,
0:28.0,,,109-115,,Turnover by R. Gay (lost ball)
0:22.0,Turnover by Z. LaVine (bad pass; steal by R. McCallum),,109-115,,
0:16.0,Personal take foul by Z. LaVine (drawn by R. McCallum),,109-115,,
0:16.0,,,109-115,,R. McCallum misses free throw 1 of 2
0:16.0,,,109-115,,Offensive rebound by Team
0:16.0,,,109-115,,S. Bhullar enters the game for J. Thompson
0:16.0,,,109-116,1,R. McCallum makes free throw 2 of 2
0:10.0,K. Martin misses 2-pt shot from 19 ft,,109-116,,
0:10.0,Offensive rebound by A. Wiggins,,109-116,,
0:07.0,A. Wiggins makes 2-pt shot from 2 ft,2,111-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
