time,Portland,pts.away,score,pts.home,Brooklyn
8:19.0,C. McCollum misses 2-pt shot from 1 ft (block by M. Plumlee),,73-83,,
8:18.0,,,73-83,,Defensive rebound by Team
8:18.0,Official timeout,,73-83,,
8:18.0,,,73-83,,B. Lopez enters the game for M. Plumlee
8:18.0,,,73-83,,J. Johnson enters the game for M. Brown
8:18.0,R. Lopez enters the game for J. Freeland,,73-83,,
8:18.0,D. Lillard enters the game for C. McCollum,,73-83,,
8:18.0,A. Afflalo enters the game for A. Crabbe,,73-83,,
8:06.0,,,73-83,,B. Bogdanovic misses 2-pt shot from 9 ft
8:05.0,Defensive rebound by M. Leonard,,73-83,,
8:00.0,M. Leonard makes 2-pt shot at rim (assist by S. Blake),2,75-83,,
7:39.0,,,75-83,,Shooting foul by M. Leonard (drawn by T. Young)
7:39.0,,,75-84,1,T. Young makes free throw 1 of 2
7:39.0,,,75-84,,D. Williams enters the game for J. Jack
7:39.0,J. Freeland enters the game for M. Leonard,,75-84,,
7:39.0,,,75-85,1,T. Young makes free throw 2 of 2
7:17.0,R. Lopez makes 2-pt shot from 9 ft (assist by S. Blake),2,77-85,,
7:01.0,,,77-87,2,B. Lopez makes 2-pt shot from 19 ft (assist by J. Johnson)
6:45.0,D. Lillard misses 2-pt shot from 20 ft,,77-87,,
6:44.0,Offensive rebound by R. Lopez,,77-87,,
6:42.0,R. Lopez makes 2-pt shot from 2 ft,2,79-87,,
6:29.0,,,79-89,2,D. Williams makes 2-pt shot from 6 ft
6:15.0,R. Lopez misses 2-pt shot from 2 ft (block by B. Lopez),,79-89,,
6:14.0,,,79-89,,Defensive rebound by J. Johnson
6:02.0,,,79-89,,J. Johnson misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by R. Lopez,,79-89,,
5:51.0,D. Lillard makes 2-pt shot from 2 ft,2,81-89,,
5:32.0,,,81-89,,B. Lopez misses 2-pt shot from 8 ft
5:31.0,Defensive rebound by S. Blake,,81-89,,
5:19.0,J. Freeland misses 2-pt shot from 19 ft,,81-89,,
5:18.0,,,81-89,,Defensive rebound by B. Bogdanovic
5:04.0,,,81-89,,T. Young misses 2-pt shot from 3 ft
5:03.0,Defensive rebound by J. Freeland,,81-89,,
4:53.0,,,81-89,,Personal foul by D. Williams (drawn by D. Lillard)
4:53.0,,,81-89,,Brooklyn full timeout
4:53.0,M. Leonard enters the game for J. Freeland,,81-89,,
4:38.0,M. Leonard makes 2-pt shot from 9 ft,2,83-89,,
4:25.0,,,83-91,2,B. Lopez makes 2-pt shot from 11 ft (assist by D. Williams)
4:07.0,A. Afflalo misses 3-pt shot from 25 ft,,83-91,,
4:06.0,Offensive rebound by R. Lopez,,83-91,,
4:05.0,R. Lopez misses 2-pt shot from 2 ft,,83-91,,
4:04.0,Offensive rebound by S. Blake,,83-91,,
3:55.0,Turnover by S. Blake (bad pass; steal by B. Bogdanovic),,83-91,,
3:51.0,,,83-94,3,D. Williams makes 3-pt shot from 25 ft
3:25.0,S. Blake misses 3-pt shot from 25 ft,,83-94,,
3:24.0,,,83-94,,Defensive rebound by T. Young
3:01.0,,,83-96,2,T. Young makes 2-pt shot at rim
3:00.0,Portland full timeout,,83-96,,
3:00.0,C. McCollum enters the game for S. Blake,,83-96,,
2:45.0,M. Leonard makes 2-pt shot at rim (assist by A. Afflalo),2,85-96,,
2:36.0,Personal foul by C. McCollum (drawn by D. Williams),,85-96,,
2:28.0,,,85-96,,B. Lopez misses 2-pt shot from 20 ft
2:27.0,Defensive rebound by C. McCollum,,85-96,,
2:20.0,D. Lillard makes 3-pt shot from 25 ft,3,88-96,,
1:55.0,,,88-98,2,J. Johnson makes 2-pt shot from 14 ft
1:47.0,D. Lillard misses 3-pt shot from 25 ft,,88-98,,
1:46.0,,,88-98,,Defensive rebound by J. Johnson
1:30.0,,,88-100,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
1:22.0,D. Lillard makes 2-pt shot from 2 ft,2,90-100,,
1:04.0,,,90-100,,B. Bogdanovic misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by M. Leonard,,90-100,,
0:56.0,D. Lillard makes 2-pt shot from 3 ft,2,92-100,,
0:48.0,Personal take foul by D. Lillard (drawn by B. Lopez),,92-100,,
