time,Phoenix,pts.away,score,pts.home,New York
2:57.0,,,90-86,,Defensive rebound by C. Anthony
2:41.0,,,90-86,,C. Anthony misses 2-pt shot from 20 ft
2:40.0,Defensive rebound by E. Bledsoe,,90-86,,
2:26.0,M. Morris makes 2-pt shot from 14 ft,2,92-86,,
2:08.0,,,92-86,,J. Calderon misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by M. Morris,,92-86,,
1:54.0,G. Dragic misses 3-pt shot from 23 ft,,92-86,,
1:53.0,Offensive rebound by P. Tucker,,92-86,,
1:35.0,I. Thomas makes 3-pt shot from 24 ft,3,95-86,,
1:34.0,,,95-86,,New York full timeout
1:34.0,,,95-86,,Q. Acy enters the game for S. Dalembert
1:20.0,Personal foul by P. Tucker (drawn by C. Anthony),,95-86,,
1:13.0,,,95-86,,Offensive foul by C. Anthony
1:13.0,,,95-86,,Turnover by C. Anthony (offensive foul)
0:54.0,I. Thomas misses 2-pt shot from 1 ft,,95-86,,
0:53.0,,,95-86,,Defensive rebound by C. Anthony
0:40.0,,,95-88,2,T. Hardaway makes 2-pt shot from 4 ft
0:24.0,E. Bledsoe makes 2-pt shot from 1 ft,2,97-88,,
0:14.0,,,97-90,2,J. Calderon makes 2-pt shot from 13 ft
0:12.0,,,97-90,,Personal take foul by T. Hardaway (drawn by E. Bledsoe)
0:12.0,E. Bledsoe makes free throw 1 of 2,1,98-90,,
0:12.0,E. Bledsoe makes free throw 2 of 2,1,99-90,,
0:08.0,,,99-90,,T. Hardaway misses 3-pt shot from 27 ft
0:07.0,Defensive rebound by Team,,99-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
