time,Houston,pts.away,score,pts.home,New York
5:20.0,,,111-88,1,C. Early makes free throw 1 of 2
5:20.0,,,111-88,,C. Early misses free throw 2 of 2
5:19.0,Defensive rebound by J. Dorsey,,111-88,,
4:59.0,J. Terry misses 3-pt shot from 24 ft,,111-88,,
4:57.0,,,111-88,,Defensive rebound by T. Wear
4:52.0,,,111-88,,Turnover by T. Wear (bad pass)
4:39.0,C. Brewer makes 2-pt shot from 19 ft (assist by I. Canaan),2,113-88,,
4:26.0,,,113-88,,C. Early misses 2-pt shot from 19 ft
4:24.0,Defensive rebound by K. Papanikolaou,,113-88,,
4:14.0,,,113-88,,Personal foul by L. Galloway (drawn by C. Brewer)
4:14.0,C. Brewer makes free throw 1 of 2,1,114-88,,
4:14.0,C. Brewer makes free throw 2 of 2,1,115-88,,
3:50.0,,,115-90,2,T. Wear makes 2-pt shot from 19 ft (assist by C. Early)
3:33.0,C. Brewer misses 3-pt shot from 23 ft,,115-90,,
3:31.0,Offensive rebound by K. Papanikolaou,,115-90,,
3:30.0,Turnover by C. Brewer (3 sec),,115-90,,
3:17.0,,,115-90,,L. Galloway misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by J. Terry,,115-90,,
2:58.0,J. Dorsey makes 2-pt shot from 3 ft (assist by K. Papanikolaou),2,117-90,,
2:45.0,,,117-92,2,T. Wear makes 2-pt shot from 6 ft (assist by L. Galloway)
2:32.0,Turnover by K. Papanikolaou (bad pass; steal by S. Larkin),,117-92,,
2:25.0,,,117-92,,T. Wear misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by J. Dorsey,,117-92,,
2:15.0,I. Canaan makes 3-pt shot from 25 ft,3,120-92,,
2:14.0,,,120-92,,New York full timeout
1:48.0,,,120-92,,T. Wear misses 2-pt shot from 18 ft
1:46.0,Defensive rebound by C. Brewer,,120-92,,
1:33.0,K. Papanikolaou misses 3-pt shot from 24 ft,,120-92,,
1:31.0,,,120-92,,Defensive rebound by S. Larkin
1:15.0,,,120-92,,C. Early misses 2-pt shot from 5 ft (block by J. Dorsey)
1:14.0,,,120-92,,Offensive rebound by Team
1:10.0,,,120-92,,Q. Acy misses 2-pt shot from 17 ft
1:09.0,,,120-92,,Offensive rebound by C. Early
1:08.0,,,120-94,2,C. Early makes 2-pt shot from 2 ft
1:00.0,I. Canaan misses 3-pt shot from 25 ft,,120-94,,
0:57.0,,,120-94,,Defensive rebound by C. Early
0:46.0,,,120-96,2,T. Wear makes 2-pt shot from 5 ft
0:32.0,J. Terry misses 3-pt shot from 24 ft,,120-96,,
0:30.0,,,120-96,,Defensive rebound by C. Early
0:17.0,,,120-96,,Turnover by T. Wear (step out of bounds)
0:00.0,End of 4th quarter,,,,End of 4th quarter
