time,LA Clippers,pts.away,score,pts.home,Detroit
5:22.0,,,35-40,,Personal foul by C. Martin (drawn by J. Redick)
5:11.0,J. Redick makes 2-pt shot from 5 ft (assist by C. Paul),2,37-40,,
4:54.0,,,37-40,,C. Martin misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by C. Paul,,37-40,,
4:46.0,C. Paul makes 3-pt shot from 26 ft,3,40-40,,
4:24.0,,,40-40,,Turnover by K. Caldwell-Pope (lost ball; steal by J. Crawford)
4:19.0,J. Redick makes 2-pt shot at rim (assist by B. Griffin),2,42-40,,
3:58.0,,,42-40,,J. Smith misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by J. Redick,,42-40,,
3:55.0,Turnover by J. Redick (bad pass),,42-40,,
3:36.0,,,42-40,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by B. Griffin,,42-40,,
3:30.0,J. Crawford misses 3-pt shot from 23 ft,,42-40,,
3:29.0,,,42-40,,Defensive rebound by J. Smith
3:24.0,Personal foul by C. Paul (drawn by A. Drummond),,42-40,,
3:17.0,,,42-40,,Shooting foul by D. Jordan (drawn by A. Drummond)
3:17.0,,,42-41,1,A. Drummond makes free throw 1 of 2
3:17.0,,,42-42,1,A. Drummond makes free throw 2 of 2
3:16.0,Technical foul by D. Jordan (drawn by A. Drummond),,42-42,,
3:16.0,,,42-43,1,D. Augustin makes technical free throw
3:01.0,Turnover by C. Paul (bad pass; steal by A. Drummond),,42-43,,
2:54.0,,,42-43,,Detroit full timeout
2:48.0,,,42-45,2,J. Smith makes 2-pt shot at rim (assist by D. Augustin)
2:29.0,,,42-45,,Personal foul by J. Smith (drawn by B. Griffin)
2:29.0,B. Griffin makes free throw 1 of 2,1,43-45,,
2:29.0,B. Griffin makes free throw 2 of 2,1,44-45,,
2:08.0,,,44-47,2,J. Smith makes 2-pt shot from 19 ft (assist by D. Augustin)
1:44.0,B. Griffin misses 2-pt shot from 18 ft,,44-47,,
1:43.0,,,44-47,,Defensive rebound by A. Drummond
1:32.0,,,44-49,2,D. Augustin makes 2-pt shot from 18 ft
1:12.0,Turnover by J. Redick (lost ball),,44-49,,
1:12.0,S. Hawes enters the game for D. Jordan,,44-49,,
1:12.0,,,44-49,,S. Dinwiddie enters the game for K. Caldwell-Pope
0:58.0,,,44-49,,J. Smith misses 2-pt shot from 4 ft
0:56.0,Defensive rebound by S. Hawes,,44-49,,
0:52.0,C. Paul misses 3-pt shot from 26 ft,,44-49,,
0:50.0,Offensive rebound by B. Griffin,,44-49,,
0:48.0,B. Griffin makes 2-pt shot at rim,2,46-49,,
0:48.0,Shooting foul by J. Smith (drawn by B. Griffin),,46-49,,
0:48.0,,,46-49,,J. Jerebko enters the game for J. Smith
0:48.0,,,46-49,,Technical foul by J. Smith (drawn by B. Griffin)
0:48.0,J. Redick makes technical free throw,1,47-49,,
0:48.0,B. Griffin makes free throw 1 of 1,1,48-49,,
0:38.0,,,48-51,2,D. Augustin makes 2-pt shot at rim
0:31.0,Turnover by C. Paul (bad pass; steal by J. Jerebko),,48-51,,
0:05.0,,,48-51,,D. Augustin misses 3-pt shot from 25 ft
0:03.0,,,48-51,,Offensive rebound by J. Jerebko
0:01.0,,,48-51,,C. Martin misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by B. Griffin,,48-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,50-51,,
11:24.0,,,50-51,,G. Monroe misses 2-pt shot from 4 ft (block by D. Jordan)
11:23.0,Defensive rebound by J. Redick,,50-51,,
11:18.0,J. Redick misses 3-pt shot from 26 ft,,50-51,,
11:16.0,,,50-51,,Defensive rebound by D. Augustin
11:05.0,,,50-51,,J. Smith misses 2-pt shot from 6 ft
11:04.0,Defensive rebound by D. Jordan,,50-51,,
10:52.0,B. Griffin misses 2-pt shot from 20 ft,,50-51,,
10:51.0,Offensive rebound by D. Jordan,,50-51,,
10:46.0,Turnover by B. Griffin (bad pass; steal by J. Smith),,50-51,,
