time,LA Clippers,pts.away,score,pts.home,Charlotte
1:42.0,B. Griffin misses 2-pt shot from 18 ft,,51-50,,
1:41.0,,,51-50,,Defensive rebound by K. Walker
1:31.0,,,51-52,2,K. Walker makes 2-pt shot from 18 ft
1:16.0,C. Paul makes 2-pt shot from 18 ft,2,53-52,,
0:58.0,,,53-52,,L. Stephenson misses 2-pt shot from 8 ft
0:57.0,Defensive rebound by B. Griffin,,53-52,,
0:48.0,C. Paul misses 2-pt shot from 9 ft,,53-52,,
0:47.0,,,53-52,,Defensive rebound by M. Williams
0:42.0,,,53-52,,Shooting foul by C. Paul (drawn by K. Walker)
0:42.0,,,53-52,,K. Walker misses free throw 1 of 2
0:42.0,,,53-52,,Offensive rebound by Team
0:42.0,,,53-53,1,K. Walker makes free throw 2 of 2
0:31.0,D. Jordan misses 2-pt shot at rim,,53-53,,
0:29.0,Offensive rebound by B. Griffin,,53-53,,
0:26.0,,,53-53,,Personal foul by L. Stephenson (drawn by B. Griffin)
0:11.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,56-53,,
0:01.0,,,56-53,,K. Walker misses 3-pt shot from 26 ft
0:00.0,,,56-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,56-53,,G. Henderson misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by B. Griffin,,56-53,,
11:25.0,,,56-53,,Personal foul by M. Williams (drawn by B. Griffin)
11:20.0,Turnover by B. Griffin (bad pass; steal by M. Williams),,56-53,,
11:02.0,,,56-53,,G. Henderson misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by B. Griffin,,56-53,,
10:38.0,B. Griffin misses 2-pt shot from 18 ft,,56-53,,
10:38.0,Offensive rebound by Team,,56-53,,
10:38.0,,,56-53,,Personal foul by M. Williams (drawn by D. Jordan)
10:38.0,,,56-53,,C. Zeller enters the game for M. Williams
10:24.0,J. Redick misses 3-pt shot from 26 ft,,56-53,,
10:23.0,,,56-53,,Defensive rebound by A. Jefferson
10:18.0,,,56-53,,Shooting foul by J. Redick (drawn by C. Zeller)
10:18.0,,,56-54,1,C. Zeller makes free throw 1 of 2
10:18.0,,,56-55,1,C. Zeller makes free throw 2 of 2
10:00.0,Turnover by D. Jordan (3 sec),,56-55,,
9:36.0,,,56-55,,L. Stephenson misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by B. Griffin,,56-55,,
9:28.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,58-55,,
9:13.0,,,58-55,,A. Jefferson misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by R. Bullock,,58-55,,
8:55.0,B. Griffin makes 2-pt shot from 1 ft,2,60-55,,
8:41.0,,,60-55,,K. Walker misses 2-pt shot from 18 ft
8:40.0,Defensive rebound by D. Jordan,,60-55,,
8:31.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,62-55,,
8:25.0,,,62-55,,Charlotte full timeout
8:10.0,,,62-57,2,A. Jefferson makes 2-pt shot from 6 ft
7:49.0,B. Griffin misses 2-pt shot from 8 ft,,62-57,,
7:48.0,,,62-57,,Defensive rebound by A. Jefferson
7:34.0,,,62-57,,A. Jefferson misses 2-pt shot from 4 ft
7:33.0,Defensive rebound by D. Jordan,,62-57,,
7:25.0,C. Paul makes 2-pt shot from 16 ft,2,64-57,,
7:08.0,,,64-57,,L. Stephenson misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by D. Jordan,,64-57,,
6:55.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,66-57,,
6:26.0,,,66-57,,K. Walker misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by D. Jordan,,66-57,,
6:22.0,,,66-57,,Personal foul by L. Stephenson (drawn by C. Paul)
6:16.0,J. Redick misses 3-pt shot from 26 ft,,66-57,,
6:14.0,,,66-57,,Defensive rebound by L. Stephenson
6:02.0,,,66-57,,G. Henderson misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by C. Paul,,66-57,,
5:46.0,B. Griffin misses 2-pt shot at rim,,66-57,,
5:45.0,Offensive rebound by B. Griffin,,66-57,,
5:45.0,B. Griffin misses 2-pt shot at rim,,66-57,,
5:44.0,Offensive rebound by B. Griffin,,66-57,,
5:44.0,B. Griffin makes 2-pt shot at rim,2,68-57,,
5:21.0,,,68-59,2,C. Zeller makes 2-pt shot from 19 ft (assist by K. Walker)
4:59.0,Turnover by C. Paul (bad pass; steal by K. Walker),,68-59,,
4:56.0,Personal foul by J. Redick (drawn by K. Walker),,68-59,,
4:56.0,H. Turkoglu enters the game for R. Bullock,,68-59,,
4:56.0,,,68-59,,G. Neal enters the game for G. Henderson
4:56.0,,,68-59,,B. Roberts enters the game for L. Stephenson
4:37.0,,,68-61,2,K. Walker makes 2-pt shot from 1 ft (assist by A. Jefferson)
4:28.0,B. Griffin misses 2-pt shot from 18 ft,,68-61,,
4:28.0,Offensive rebound by Team,,68-61,,
4:28.0,,,68-61,,Loose ball foul by A. Jefferson (drawn by D. Jordan)
4:13.0,H. Turkoglu makes 3-pt shot from 24 ft (assist by C. Paul),3,71-61,,
3:50.0,Personal foul by H. Turkoglu (drawn by G. Neal),,71-61,,
3:40.0,,,71-61,,G. Neal misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by D. Jordan,,71-61,,
