time,San Antonio,pts.away,score,pts.home,Milwaukee
5:29.0,Defensive rebound by T. Duncan,,107-92,,
5:19.0,D. Green makes 2-pt shot at rim (assist by T. Parker),2,109-92,,
5:03.0,,,109-94,2,K. Middleton makes 2-pt shot from 14 ft (assist by T. Ennis)
4:36.0,R. Williams misses 3-pt shot from 25 ft,,109-94,,
4:35.0,,,109-94,,Defensive rebound by G. Antetokounmpo
4:28.0,,,109-96,2,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis)
4:08.0,Offensive foul by D. Green,,109-96,,
4:08.0,Turnover by D. Green (offensive foul),,109-96,,
4:08.0,,,109-96,,J. O'Bryant enters the game for K. Middleton
4:08.0,T. Splitter enters the game for R. Williams,,109-96,,
3:54.0,,,109-98,2,M. Carter-Williams makes 2-pt shot at rim
3:44.0,Shooting foul by G. Antetokounmpo (drawn by K. Leonard),,109-98,,
3:44.0,K. Leonard misses free throw 1 of 2,,109-98,,
3:44.0,Offensive rebound by Team,,109-98,,
3:44.0,K. Leonard makes free throw 2 of 2,1,110-98,,
3:33.0,,,110-98,,Turnover by J. O'Bryant (bad pass)
3:33.0,B. Diaw enters the game for T. Splitter,,110-98,,
3:18.0,K. Leonard misses 3-pt shot from 26 ft,,110-98,,
3:17.0,,,110-98,,Defensive rebound by M. Plumlee
3:05.0,,,110-98,,T. Ennis misses 2-pt shot from 16 ft
3:04.0,Defensive rebound by D. Green,,110-98,,
2:56.0,,,110-98,,Personal foul by M. Carter-Williams (drawn by K. Leonard)
2:56.0,Official timeout,,110-98,,
2:56.0,K. Leonard makes free throw 1 of 2,1,111-98,,
2:56.0,,,111-98,,K. Middleton enters the game for T. Ennis
2:56.0,K. Leonard makes free throw 2 of 2,1,112-98,,
2:45.0,,,112-100,2,M. Plumlee makes 2-pt shot at rim (assist by M. Carter-Williams)
2:17.0,T. Duncan misses 3-pt shot from 30 ft,,112-100,,
2:17.0,Offensive rebound by Team,,112-100,,
2:17.0,Turnover by Team (shot clock),,112-100,,
2:08.0,,,112-100,,Turnover by M. Carter-Williams (bad pass; steal by K. Leonard)
1:44.0,T. Parker makes 2-pt shot from 1 ft,2,114-100,,
1:34.0,,,114-100,,M. Carter-Williams misses 2-pt shot from 18 ft
1:33.0,Defensive rebound by B. Diaw,,114-100,,
1:12.0,C. Joseph enters the game for T. Parker,,114-100,,
1:12.0,,,114-100,,C. Johnson enters the game for K. Middleton
1:12.0,,,114-100,,T. Ennis enters the game for M. Carter-Williams
1:12.0,K. Anderson enters the game for K. Leonard,,114-100,,
1:12.0,R. Williams enters the game for D. Green,,114-100,,
1:09.0,B. Diaw misses 2-pt shot from 17 ft,,114-100,,
1:08.0,,,114-100,,Defensive rebound by M. Plumlee
1:00.0,J. Ayres enters the game for T. Duncan,,114-100,,
0:49.0,,,114-103,3,C. Johnson makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
0:27.0,K. Anderson misses 2-pt shot from 15 ft,,114-103,,
0:25.0,,,114-103,,Defensive rebound by G. Antetokounmpo
0:17.0,,,114-103,,G. Antetokounmpo misses 2-pt shot from 16 ft
0:16.0,,,114-103,,Offensive rebound by M. Plumlee
0:04.0,,,114-103,,G. Antetokounmpo misses 2-pt shot at rim
0:03.0,Defensive rebound by C. Joseph,,114-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
