time,Orlando,pts.away,score,pts.home,Portland
2:39.0,,,85-91,,Offensive foul by C. Kaman
2:39.0,,,85-91,,Turnover by C. Kaman (offensive foul)
2:29.0,V. Oladipo misses 2-pt shot from 2 ft (block by C. Kaman),,85-91,,
2:27.0,Offensive rebound by N. Vucevic,,85-91,,
2:27.0,N. Vucevic makes 2-pt shot from 1 ft,2,87-91,,
2:11.0,,,87-93,2,L. Aldridge makes 2-pt shot from 12 ft
1:57.0,V. Oladipo misses 3-pt shot from 26 ft,,87-93,,
1:56.0,Offensive rebound by N. Vucevic,,87-93,,
1:54.0,N. Vucevic misses 2-pt shot from 4 ft,,87-93,,
1:54.0,Offensive rebound by Team,,87-93,,
1:49.0,C. Frye misses 3-pt shot from 26 ft,,87-93,,
1:48.0,,,87-93,,Defensive rebound by W. Matthews
1:34.0,,,87-93,,L. Aldridge misses 2-pt shot from 10 ft
1:33.0,Defensive rebound by N. Vucevic,,87-93,,
1:27.0,E. Payton makes 2-pt shot from 2 ft,2,89-93,,
1:12.0,,,89-96,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Lillard)
0:53.0,V. Oladipo misses 3-pt shot from 27 ft,,89-96,,
0:52.0,,,89-96,,Defensive rebound by D. Lillard
0:50.0,Personal take foul by C. Frye (drawn by D. Lillard),,89-96,,
0:50.0,,,89-97,1,D. Lillard makes free throw 1 of 2
0:50.0,,,89-98,1,D. Lillard makes free throw 2 of 2
0:50.0,Orlando full timeout,,89-98,,
0:45.0,B. Gordon misses 3-pt shot from 23 ft,,89-98,,
0:44.0,,,89-98,,Defensive rebound by W. Matthews
0:39.0,Personal take foul by B. Gordon (drawn by D. Lillard),,89-98,,
0:39.0,,,89-99,1,D. Lillard makes free throw 1 of 2
0:39.0,,,89-99,,M. Leonard enters the game for N. Batum
0:39.0,,,89-99,,W. Barton enters the game for L. Aldridge
0:39.0,,,89-99,,T. Robinson enters the game for C. Kaman
0:39.0,,,89-99,,C. McCollum enters the game for W. Matthews
0:39.0,,,89-99,,D. Lillard misses free throw 2 of 2
0:38.0,Defensive rebound by N. Vucevic,,89-99,,
0:35.0,Shooting foul by T. Robinson (drawn by E. Payton),,89-99,,
0:35.0,E. Payton makes free throw 1 of 2,1,90-99,,
0:35.0,M. Harkless enters the game for C. Frye,,90-99,,
0:35.0,D. Marble enters the game for N. Vucevic,,90-99,,
0:35.0,,,90-99,,S. Blake enters the game for D. Lillard
0:35.0,E. Payton misses free throw 2 of 2,,90-99,,
0:35.0,Offensive rebound by M. Harkless,,90-99,,
0:34.0,Shooting foul by T. Robinson (drawn by E. Payton),,90-99,,
0:34.0,M. Harkless makes free throw 1 of 2,1,91-99,,
0:34.0,M. Harkless makes free throw 2 of 2,1,92-99,,
0:34.0,,,92-99,,Portland full timeout
0:32.0,Personal take foul by E. Payton (drawn by M. Leonard),,92-99,,
0:32.0,,,92-100,1,M. Leonard makes free throw 1 of 2
0:32.0,,,92-101,1,M. Leonard makes free throw 2 of 2
0:27.0,D. Marble misses 3-pt shot from 26 ft,,92-101,,
0:26.0,,,92-101,,Defensive rebound by T. Robinson
0:20.0,,,92-103,2,M. Leonard makes 2-pt shot at rim (assist by T. Robinson)
0:15.0,E. Payton misses 2-pt shot from 7 ft,,92-103,,
0:14.0,,,92-103,,Defensive rebound by M. Leonard
0:00.0,End of 4th quarter,,,,End of 4th quarter
