time,Indiana,pts.away,score,pts.home,Phoenix
2:40.0,Turnover by R. Hibbert (bad pass; steal by E. Bledsoe),,93-106,,
2:37.0,,,93-108,2,E. Bledsoe makes 2-pt shot at rim
2:37.0,,,93-108,,Shooting foul by C. Miles (drawn by E. Bledsoe)
2:37.0,,,93-108,,Phoenix full timeout
2:37.0,,,93-109,1,E. Bledsoe makes free throw 1 of 1
2:29.0,Turnover by C. Watson (bad pass; steal by E. Bledsoe),,93-109,,
2:25.0,,,93-109,,Turnover by E. Bledsoe (bad pass; steal by C. Watson)
2:14.0,Turnover by C. Watson (bad pass; steal by G. Dragic),,93-109,,
2:14.0,Loose ball foul by C. Miles (drawn by G. Dragic),,93-109,,
2:14.0,,,93-110,1,G. Dragic makes free throw 1 of 2
2:14.0,L. Allen enters the game for D. West,,93-110,,
2:14.0,D. Rudez enters the game for R. Hibbert,,93-110,,
2:14.0,I. Mahinmi enters the game for C. Miles,,93-110,,
2:14.0,S. Whittington enters the game for C. Copeland,,93-110,,
2:14.0,,,93-110,,A. Tolliver enters the game for M. Morris
2:14.0,,,93-110,,T. Warren enters the game for E. Bledsoe
2:14.0,,,93-110,,A. Goodwin enters the game for M. Morris
2:14.0,,,93-111,1,G. Dragic makes free throw 2 of 2
2:14.0,,,93-111,,Personal take foul by G. Dragic (drawn by C. Watson)
2:14.0,C. Watson makes free throw 1 of 2,1,94-111,,
2:14.0,,,94-111,,T. Ennis enters the game for G. Dragic
2:14.0,C. Copeland enters the game for I. Mahinmi,,94-111,,
2:14.0,C. Watson makes free throw 2 of 2,1,95-111,,
1:59.0,,,95-111,,T. Warren misses 2-pt shot from 13 ft
1:58.0,,,95-111,,Offensive rebound by A. Tolliver
1:53.0,,,95-113,2,A. Goodwin makes 2-pt shot from 1 ft
1:53.0,,,95-113,,Shooting foul by C. Copeland (drawn by A. Goodwin)
1:53.0,,,95-113,,S. Randolph enters the game for M. Plumlee
1:53.0,,,95-113,,A. Goodwin misses free throw 1 of 1
1:51.0,Defensive rebound by L. Allen,,95-113,,
1:40.0,C. Watson misses 2-pt shot from 7 ft,,95-113,,
1:36.0,Offensive rebound by L. Allen,,95-113,,
1:35.0,Turnover by L. Allen (lost ball; steal by S. Randolph),,95-113,,
1:31.0,,,95-113,,A. Goodwin misses 2-pt shot from 1 ft
1:29.0,,,95-113,,Offensive rebound by S. Randolph
1:25.0,,,95-113,,T. Ennis misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by Team,,95-113,,
1:08.0,L. Allen makes 2-pt shot from 16 ft (assist by C. Copeland),2,97-113,,
0:52.0,,,97-113,,Turnover by T. Ennis (bad pass; steal by S. Whittington)
0:48.0,D. Rudez makes 2-pt shot at rim,2,99-113,,
0:36.0,,,99-116,3,T. Warren makes 3-pt shot from 25 ft (assist by T. Ennis)
0:15.0,L. Allen misses 2-pt shot from 19 ft,,99-116,,
0:13.0,,,99-116,,Defensive rebound by A. Goodwin
0:00.0,End of 4th quarter,,,,End of 4th quarter
