time,New York,pts.away,score,pts.home,Denver
4:15.0,,,70-103,,E. Green misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by C. Aldrich,,70-103,,
3:56.0,A. Shved misses 3-pt shot from 25 ft,,70-103,,
3:54.0,Offensive rebound by C. Aldrich,,70-103,,
3:52.0,C. Aldrich misses 2-pt shot from 2 ft (block by K. Faried),,70-103,,
3:49.0,,,70-103,,Defensive rebound by K. Faried
3:44.0,,,70-103,,J. Lauvergne misses 2-pt shot from 3 ft (block by C. Aldrich)
3:42.0,Defensive rebound by C. Aldrich,,70-103,,
3:38.0,,,70-103,,J. Hickson enters the game for K. Faried
3:33.0,,,70-103,,Personal foul by J. Lauvergne (drawn by J. Smith)
3:23.0,A. Shved misses 2-pt shot from 2 ft (block by J. Lauvergne),,70-103,,
3:21.0,,,70-103,,Defensive rebound by W. Barton
3:14.0,,,70-103,,W. Barton misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by C. Aldrich,,70-103,,
3:06.0,C. Early makes 2-pt shot from 2 ft (assist by S. Larkin),2,72-103,,
2:38.0,,,72-103,,W. Barton misses 2-pt shot from 21 ft
2:37.0,Defensive rebound by C. Aldrich,,72-103,,
2:30.0,Shooting foul by J. Lauvergne (drawn by J. Smith),,72-103,,
2:30.0,,,72-103,,Denver full timeout
2:30.0,T. Wear enters the game for A. Shved,,72-103,,
2:30.0,J. Smith misses free throw 1 of 2,,72-103,,
2:30.0,Offensive rebound by Team,,72-103,,
2:30.0,J. Smith makes free throw 2 of 2,1,73-103,,
2:20.0,,,73-103,,Turnover by W. Barton (bad pass)
2:05.0,C. Aldrich misses 2-pt shot from 8 ft,,73-103,,
2:03.0,Offensive rebound by C. Early,,73-103,,
2:03.0,C. Early makes 2-pt shot at rim,2,75-103,,
1:36.0,,,75-103,,Turnover by G. Harris (lost ball; steal by J. Smith)
1:31.0,J. Smith misses 2-pt shot from 1 ft,,75-103,,
1:28.0,,,75-103,,Defensive rebound by J. Lauvergne
1:08.0,,,75-103,,W. Barton misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by C. Early,,75-103,,
0:58.0,,,75-103,,Personal foul by J. Lauvergne (drawn by J. Smith)
0:54.0,,,75-103,,Personal foul by W. Barton (drawn by C. Early)
0:54.0,,,75-103,,Technical foul by W. Barton (drawn by C. Early)
0:54.0,S. Larkin misses technical free throw,,75-103,,
0:54.0,Offensive rebound by Team,,75-103,,
0:54.0,C. Early makes free throw 1 of 2,1,76-103,,
0:54.0,C. Early makes free throw 2 of 2,1,77-103,,
0:36.0,,,77-106,3,E. Green makes 3-pt shot from 25 ft (assist by W. Barton)
0:31.0,Shooting foul by G. Harris (drawn by C. Early),,77-106,,
0:31.0,C. Early misses free throw 1 of 2,,77-106,,
0:31.0,Offensive rebound by Team,,77-106,,
0:31.0,C. Early makes free throw 2 of 2,1,78-106,,
0:07.0,,,78-106,,Turnover by Team (bad pass)
0:01.0,C. Early misses 2-pt shot from 17 ft,,78-106,,
0:00.0,Offensive rebound by Team,,78-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
