time,Cleveland,pts.away,score,pts.home,Phoenix
0:22.0,L. James misses 3-pt shot from 25 ft,,100-105,,
0:20.0,Jump ball: J. Jones vs. M. Morris (P. Tucker gains possession),,,,Jump ball: J. Jones vs. M. Morris (P. Tucker gains possession)
0:20.0,,,100-105,,Defensive rebound by Team
0:18.0,Personal take foul by T. Thompson (drawn by P. Tucker),,100-105,,
0:18.0,,,100-106,1,P. Tucker makes free throw 1 of 2
0:18.0,,,100-107,1,P. Tucker makes free throw 2 of 2
0:18.0,Cleveland full timeout,,100-107,,
0:12.0,J. Jones misses 3-pt shot from 24 ft,,100-107,,
0:10.0,,,100-107,,Defensive rebound by M. Morris
0:00.0,End of 4th quarter,,,,End of 4th quarter
