time,Utah,pts.away,score,pts.home,Charlotte
1:58.0,D. Exum misses 3-pt shot from 23 ft,,83-101,,
1:57.0,Offensive rebound by D. Exum,,83-101,,
1:54.0,Turnover by D. Exum (bad pass; steal by M. Williams),,83-101,,
1:42.0,,,83-104,3,P. Hairston makes 3-pt shot from 26 ft (assist by J. Pargo)
1:25.0,J. Ingles makes 3-pt shot from 26 ft (assist by S. Novak),3,86-104,,
1:12.0,,,86-104,,P. Hairston misses 3-pt shot from 26 ft
1:10.0,,,86-104,,Offensive rebound by P. Hairston
1:07.0,,,86-104,,P. Hairston misses 3-pt shot from 26 ft
1:06.0,Defensive rebound by S. Novak,,86-104,,
0:51.0,I. Clark misses 3-pt shot from 23 ft,,86-104,,
0:50.0,,,86-104,,Defensive rebound by J. Pargo
0:41.0,,,86-104,,J. Pargo misses 2-pt shot from 18 ft
0:39.0,Defensive rebound by R. Gobert,,86-104,,
0:18.0,J. Ingles misses 3-pt shot from 25 ft,,86-104,,
0:17.0,,,86-104,,Defensive rebound by J. Pargo
0:00.0,End of 4th quarter,,,,End of 4th quarter
