time,Phoenix,pts.away,score,pts.home,Indiana
4:21.0,,,97-73,,D. Sloan enters the game for S. Hill
4:21.0,S. Randolph enters the game for A. Len,,97-73,,
4:21.0,I. Thomas makes free throw 2 of 2,1,98-73,,
4:02.0,,,98-73,,D. Rudez misses 2-pt shot from 16 ft
4:00.0,Defensive rebound by A. Goodwin,,98-73,,
3:53.0,A. Goodwin misses 2-pt shot from 2 ft,,98-73,,
3:52.0,,,98-73,,Defensive rebound by Team
3:52.0,Loose ball foul by S. Randolph (drawn by S. Whittington),,98-73,,
3:52.0,,,98-74,1,S. Whittington makes free throw 1 of 2
3:52.0,,,98-74,,S. Whittington misses free throw 2 of 2
3:51.0,,,98-74,,Offensive rebound by Team
3:43.0,,,98-74,,D. Sloan misses 3-pt shot from 26 ft
3:41.0,,,98-74,,Offensive rebound by S. Whittington
3:41.0,,,98-76,2,S. Whittington makes 2-pt shot at rim
3:24.0,Turnover by T. Warren (bad pass; steal by S. Whittington),,98-76,,
3:15.0,,,98-79,3,A. Price makes 3-pt shot from 23 ft (assist by D. Rudez)
3:13.0,Phoenix full timeout,,98-79,,
3:13.0,,,98-79,,L. Allen enters the game for L. Scola
2:57.0,A. Goodwin misses 2-pt shot from 10 ft,,98-79,,
2:56.0,,,98-79,,Defensive rebound by S. Whittington
2:35.0,,,98-81,2,S. Whittington makes 2-pt shot from 3 ft
2:11.0,Turnover by I. Thomas (lost ball; steal by S. Whittington),,98-81,,
2:06.0,,,98-83,2,D. Rudez makes 2-pt shot at rim (assist by S. Whittington)
1:47.0,A. Tolliver makes 3-pt shot from 24 ft (assist by I. Thomas),3,101-83,,
1:34.0,,,101-83,,L. Allen misses 2-pt shot from 17 ft
1:33.0,Defensive rebound by I. Thomas,,101-83,,
1:14.0,S. Randolph makes 2-pt shot from 2 ft,2,103-83,,
1:07.0,,,103-83,,L. Allen misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by S. Randolph,,103-83,,
0:47.0,A. Goodwin misses 3-pt shot from 26 ft,,103-83,,
0:46.0,Offensive rebound by T. Warren,,103-83,,
0:30.0,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Thomas),3,106-83,,
0:22.0,,,106-83,,D. Sloan misses 2-pt shot from 10 ft
0:21.0,Defensive rebound by A. Goodwin,,106-83,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
