time,Indiana,pts.away,score,pts.home,Houston
3:22.0,Indiana full timeout,,92-103,,
3:22.0,,,92-103,,D. Motiejunas enters the game for J. Smith
3:15.0,C. Miles misses 3-pt shot from 23 ft,,92-103,,
3:15.0,Offensive rebound by I. Mahinmi,,92-103,,
2:56.0,S. Hill makes 2-pt shot at rim (assist by D. Sloan),2,94-103,,
2:36.0,,,94-103,,Turnover by J. Harden (lost ball; steal by L. Scola)
2:31.0,Shooting foul by T. Ariza (drawn by D. Sloan),,94-103,,
2:31.0,,,94-103,,Houston full timeout
2:31.0,D. Sloan misses free throw 1 of 2,,94-103,,
2:31.0,Offensive rebound by Team,,94-103,,
2:31.0,D. Sloan makes free throw 2 of 2,1,95-103,,
2:12.0,,,95-105,2,J. Harden makes 2-pt shot from 20 ft
1:56.0,Turnover by D. Sloan (lost ball),,95-105,,
1:56.0,,,95-105,,C. Brewer enters the game for T. Ariza
1:48.0,Personal foul by S. Hill (drawn by J. Harden),,95-105,,
1:48.0,,,95-106,1,J. Harden makes free throw 1 of 2
1:48.0,,,95-107,1,J. Harden makes free throw 2 of 2
1:33.0,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill),3,98-107,,
1:25.0,,,98-107,,C. Brewer misses 3-pt shot from 22 ft
1:24.0,Defensive rebound by C. Miles,,98-107,,
1:20.0,Turnover by C. Miles (bad pass),,98-107,,
0:56.0,,,98-110,3,J. Harden makes 3-pt shot from 25 ft
0:46.0,I. Mahinmi misses 2-pt shot from 1 ft,,98-110,,
0:45.0,,,98-110,,Defensive rebound by D. Howard
0:25.0,,,98-110,,J. Harden misses 3-pt shot from 26 ft
0:24.0,,,98-110,,Offensive rebound by P. Beverley
0:00.0,,,98-110,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
