time,Oklahoma City,pts.away,score,pts.home,Denver
0:56.0,Offensive rebound by R. Jackson,,98-107,,
0:55.0,N. Collison makes 2-pt shot at rim (assist by R. Jackson),2,100-107,,
0:55.0,Shooting foul by T. Mozgov (drawn by N. Collison),,100-107,,
0:55.0,N. Collison misses free throw 1 of 1,,100-107,,
0:54.0,,,100-107,,Defensive rebound by W. Chandler
0:34.0,,,100-107,,A. Afflalo misses 2-pt shot from 15 ft
0:33.0,Defensive rebound by S. Ibaka,,100-107,,
0:26.0,R. Jackson misses 3-pt shot from 26 ft,,100-107,,
0:24.0,,,100-107,,Defensive rebound by T. Mozgov
0:02.0,,,100-107,,T. Lawson misses 3-pt shot from 28 ft
0:01.0,,,100-107,,Offensive rebound by Team
0:01.0,,,100-107,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
