time,New York,pts.away,score,pts.home,Philadelphia
6:07.0,,,31-31,,Defensive rebound by M. Carter-Williams
6:00.0,,,31-31,,M. Carter-Williams misses 2-pt shot from 4 ft (block by L. Amundson)
5:59.0,,,31-31,,Offensive rebound by Team
5:59.0,Official timeout,,31-31,,
5:59.0,,,31-31,,M. Thomas enters the game for F. Aldemir
5:47.0,,,31-31,,M. Carter-Williams misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by Team,,31-31,,
5:25.0,Turnover by C. Anthony (traveling),,31-31,,
5:12.0,,,31-33,2,M. Carter-Williams makes 2-pt shot from 7 ft
5:02.0,Turnover by J. Smith (lost ball; steal by M. Carter-Williams),,31-33,,
4:58.0,,,31-33,,M. Carter-Williams misses 2-pt shot at rim
4:55.0,Defensive rebound by L. Amundson,,31-33,,
4:46.0,Offensive foul by C. Anthony,,31-33,,
4:46.0,Turnover by C. Anthony (offensive foul),,31-33,,
4:29.0,,,31-33,,Turnover by J. Sampson (lost ball)
4:12.0,J. Smith makes 2-pt shot from 13 ft (assist by L. Amundson),2,33-33,,
4:03.0,,,33-33,,M. Thomas misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by J. Calderon,,33-33,,
3:53.0,J. Smith misses 2-pt shot from 14 ft,,33-33,,
3:51.0,Offensive rebound by C. Anthony,,33-33,,
3:49.0,C. Anthony makes 2-pt shot at rim,2,35-33,,
3:29.0,,,35-33,,M. Carter-Williams misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by J. Calderon,,35-33,,
3:20.0,J. Calderon makes 3-pt shot from 26 ft (assist by L. Galloway),3,38-33,,
3:19.0,,,38-33,,Philadelphia full timeout
3:19.0,,,38-33,,K. McDaniels enters the game for H. Sims
3:19.0,,,38-33,,J. Grant enters the game for J. Sampson
3:06.0,Personal foul by J. Calderon (drawn by M. Carter-Williams),,38-33,,
2:58.0,,,38-36,3,K. McDaniels makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
2:29.0,C. Anthony makes 2-pt shot from 17 ft (assist by J. Calderon),2,40-36,,
2:18.0,,,40-36,,Shooting foul by J. Calderon (drawn by M. Carter-Williams)
2:18.0,New York full timeout,,40-36,,
2:18.0,L. Thomas enters the game for L. Amundson,,40-36,,
2:18.0,T. Hardaway enters the game for J. Calderon,,40-36,,
2:18.0,,,40-37,1,M. Carter-Williams makes free throw 1 of 2
2:18.0,,,40-38,1,M. Carter-Williams makes free throw 2 of 2
1:56.0,L. Galloway makes 2-pt shot from 7 ft,2,42-38,,
1:38.0,,,42-38,,M. Carter-Williams misses 2-pt shot from 10 ft
1:37.0,,,42-38,,Offensive rebound by M. Thomas
1:36.0,,,42-38,,Shooting foul by J. Smith (drawn by M. Thomas)
1:36.0,,,42-38,,M. Thomas misses free throw 1 of 2
1:36.0,,,42-38,,Offensive rebound by Team
1:36.0,A. Stoudemire enters the game for J. Smith,,42-38,,
1:36.0,,,42-38,,M. Thomas misses free throw 2 of 2
1:35.0,Defensive rebound by A. Stoudemire,,42-38,,
1:18.0,,,42-38,,Violation by M. Thomas (def goaltending)
1:18.0,T. Hardaway makes 2-pt shot from 5 ft (assist by L. Galloway),2,44-38,,
1:09.0,,,44-38,,M. Thomas misses 2-pt shot from 6 ft (block by T. Hardaway)
1:08.0,,,44-38,,Offensive rebound by M. Thomas
1:07.0,,,44-38,,Shooting foul by L. Galloway (drawn by M. Thomas)
1:07.0,,,44-39,1,M. Thomas makes free throw 1 of 2
1:07.0,,,44-40,1,M. Thomas makes free throw 2 of 2
0:52.0,L. Thomas misses 2-pt shot from 14 ft,,44-40,,
0:49.0,Offensive rebound by C. Anthony,,44-40,,
0:49.0,C. Anthony makes 2-pt shot from 1 ft,2,46-40,,
0:49.0,,,46-40,,Technical foul by Team
0:49.0,C. Anthony makes technical free throw,1,47-40,,
0:29.0,,,47-40,,Turnover by M. Carter-Williams (lost ball; steal by L. Galloway)
