time,Atlanta,pts.away,score,pts.home,New Orleans
2:56.0,,,91-107,,D. Cunningham enters the game for Q. Pondexter
2:37.0,M. Muscala makes 2-pt shot from 15 ft (assist by J. Jenkins),2,93-107,,
2:14.0,,,93-107,,Shooting foul by K. Bazemore (drawn by A. Davis)
2:14.0,,,93-108,1,A. Davis makes free throw 1 of 2
2:14.0,,,93-109,1,A. Davis makes free throw 2 of 2
2:00.0,K. Bazemore makes 2-pt shot from 2 ft,2,95-109,,
1:43.0,,,95-109,,Turnover by R. Anderson (bad pass)
1:25.0,Shooting foul by T. Evans (drawn by K. Bazemore),,95-109,,
1:25.0,K. Bazemore misses free throw 1 of 2,,95-109,,
1:25.0,Offensive rebound by Team,,95-109,,
1:25.0,K. Bazemore misses free throw 2 of 2,,95-109,,
1:24.0,,,95-109,,Defensive rebound by A. Davis
1:06.0,,,95-111,2,R. Anderson makes 2-pt shot from 2 ft (assist by E. Gordon)
1:06.0,,,95-111,,Shooting foul by M. Muscala (drawn by R. Anderson)
1:06.0,,,95-111,,J. Withey enters the game for A. Davis
1:06.0,,,95-111,,J. Fredette enters the game for T. Evans
1:06.0,,,95-111,,N. Wolters enters the game for E. Gordon
1:06.0,,,95-111,,L. Babbitt enters the game for D. Cunningham
1:06.0,,,95-112,1,R. Anderson makes free throw 1 of 1
0:53.0,D. Schroder makes 2-pt shot from 18 ft,2,97-112,,
0:38.0,,,97-112,,Turnover by R. Anderson (lost ball; steal by M. Scott)
0:30.0,D. Schroder misses 2-pt shot from 2 ft (block by L. Babbitt),,97-112,,
0:28.0,,,97-112,,Defensive rebound by R. Anderson
0:07.0,,,97-115,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Fredette)
0:02.0,J. Jenkins makes 3-pt shot from 24 ft,3,100-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
