time,Washington,pts.away,score,pts.home,Golden State
3:34.0,,,71-97,,Defensive rebound by Team
3:16.0,,,71-97,,B. Rush misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by R. Sessions,,71-97,,
3:11.0,R. Sessions makes 2-pt shot from 2 ft,2,73-97,,
3:11.0,Shooting foul by J. Holiday (drawn by R. Sessions),,73-97,,
3:11.0,R. Sessions makes free throw 1 of 1,1,74-97,,
2:47.0,,,74-97,,Turnover by M. Speights (lost ball; steal by R. Sessions)
2:41.0,T. Murry makes 2-pt shot at rim (assist by R. Sessions),2,76-97,,
2:41.0,,,76-97,,Golden State full timeout
2:41.0,R. Butler enters the game for R. Sessions,,76-97,,
2:25.0,,,76-97,,B. Rush misses 3-pt shot from 26 ft
2:24.0,,,76-97,,Offensive rebound by M. Speights
2:24.0,,,76-97,,Shooting foul by D. Blair (drawn by M. Speights)
2:24.0,,,76-98,1,M. Speights makes free throw 1 of 2
2:24.0,,,76-99,1,M. Speights makes free throw 2 of 2
2:06.0,K. Seraphin misses 2-pt shot from 16 ft,,76-99,,
2:05.0,,,76-99,,Defensive rebound by F. Ezeli
1:56.0,,,76-99,,M. Speights misses 2-pt shot from 14 ft
1:54.0,Defensive rebound by O. Porter,,76-99,,
1:46.0,Turnover by T. Murry (lost ball; steal by J. Holiday),,76-99,,
1:43.0,,,76-101,2,J. Holiday makes 2-pt shot at rim
1:43.0,Washington full timeout,,76-101,,
1:43.0,R. Sessions enters the game for T. Murry,,76-101,,
1:30.0,O. Porter misses 2-pt shot from 15 ft (block by F. Ezeli),,76-101,,
1:28.0,,,76-101,,Defensive rebound by M. Speights
1:18.0,,,76-103,2,M. Speights makes 2-pt shot from 17 ft (assist by J. Holiday)
1:04.0,O. Porter misses 2-pt shot from 11 ft,,76-103,,
1:02.0,Offensive rebound by K. Seraphin,,76-103,,
1:00.0,K. Seraphin misses 2-pt shot from 3 ft (block by F. Ezeli),,76-103,,
0:58.0,,,76-103,,Defensive rebound by F. Ezeli
0:43.0,,,76-105,2,F. Ezeli makes 2-pt shot from 9 ft
0:33.0,O. Porter misses 2-pt shot from 6 ft (block by S. Livingston),,76-105,,
0:31.0,,,76-105,,Defensive rebound by J. Holiday
0:18.0,,,76-107,2,J. Holiday makes 2-pt shot from 15 ft (assist by M. Speights)
0:00.0,D. Blair misses 2-pt shot from 20 ft,,76-107,,
0:00.0,Offensive rebound by Team,,76-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
