time,Detroit,pts.away,score,pts.home,Philadelphia
3:39.0,G. Monroe misses 2-pt shot from 2 ft,,66-77,,
3:37.0,,,66-77,,Defensive rebound by M. Carter-Williams
3:31.0,,,66-77,,Turnover by L. Mbah a Moute (lost ball)
3:31.0,,,66-77,,R. Covington enters the game for H. Thompson
3:19.0,G. Monroe misses 2-pt shot from 2 ft (block by N. Noel),,66-77,,
3:17.0,,,66-77,,Defensive rebound by J. Sampson
3:01.0,,,66-77,,Turnover by M. Carter-Williams (bad pass; steal by D. Augustin)
2:58.0,Turnover by D. Augustin (bad pass),,66-77,,
2:58.0,,,66-77,,Philadelphia full timeout
2:36.0,,,66-79,2,J. Sampson makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
2:23.0,Turnover by D. Augustin (bad pass; steal by N. Noel),,66-79,,
2:19.0,,,66-81,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by N. Noel)
1:56.0,A. Drummond makes 2-pt shot from 6 ft,2,68-81,,
1:41.0,,,68-83,2,R. Covington makes 2-pt shot from 12 ft (assist by L. Mbah a Moute)
1:41.0,,,68-83,,Shooting foul by K. Caldwell-Pope (drawn by R. Covington)
1:41.0,,,68-84,1,R. Covington makes free throw 1 of 1
1:30.0,Shooting foul by J. Sampson (drawn by J. Meeks),,68-84,,
1:30.0,J. Meeks makes free throw 1 of 2,1,69-84,,
1:30.0,J. Anthony enters the game for G. Monroe,,69-84,,
1:30.0,J. Jerebko enters the game for A. Drummond,,69-84,,
1:30.0,J. Meeks misses free throw 2 of 2,,69-84,,
1:29.0,,,69-84,,Defensive rebound by L. Mbah a Moute
1:08.0,,,69-87,3,R. Covington makes 3-pt shot from 22 ft (assist by L. Mbah a Moute)
0:58.0,J. Meeks misses 2-pt shot from 6 ft,,69-87,,
0:57.0,,,69-87,,Defensive rebound by M. Carter-Williams
0:39.0,,,69-87,,Shooting foul by J. Anthony (drawn by M. Carter-Williams)
0:39.0,,,69-88,1,M. Carter-Williams makes free throw 1 of 2
0:39.0,,,69-88,,J. Grant enters the game for L. Mbah a Moute
0:39.0,,,69-88,,H. Thompson enters the game for N. Noel
0:39.0,,,69-89,1,M. Carter-Williams makes free throw 2 of 2
0:26.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Sampson),,69-89,,
0:02.0,,,69-89,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
