time,Charlotte,pts.away,score,pts.home,Orlando
8:59.0,Offensive rebound by M. Kidd-Gilchrist,,52-37,,
8:59.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,52-37,,
8:59.0,Offensive rebound by G. Henderson,,52-37,,
8:59.0,,,52-37,,Personal foul by N. Vucevic (drawn by B. Biyombo)
8:50.0,K. Walker misses 2-pt shot from 17 ft,,52-37,,
8:49.0,,,52-37,,Defensive rebound by N. Vucevic
8:36.0,,,52-37,,N. Vucevic misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by C. Zeller,,52-37,,
8:27.0,Turnover by C. Zeller (bad pass; steal by V. Oladipo),,52-37,,
8:26.0,,,52-37,,Shooting foul by C. Zeller (drawn by V. Oladipo)
8:26.0,,,52-38,1,V. Oladipo makes free throw 1 of 2
8:26.0,,,52-39,1,V. Oladipo makes free throw 2 of 2
8:04.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,52-39,,
8:03.0,Offensive rebound by G. Henderson,,52-39,,
7:55.0,G. Henderson misses 2-pt shot from 8 ft,,52-39,,
7:53.0,Offensive rebound by C. Zeller,,52-39,,
7:53.0,C. Zeller makes 2-pt shot from 1 ft,2,54-39,,
7:29.0,,,54-42,3,K. O'Quinn makes 3-pt shot from 25 ft (assist by E. Payton)
7:09.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by N. Vucevic),,54-42,,
7:06.0,,,54-42,,Defensive rebound by N. Vucevic
6:58.0,,,54-42,,N. Vucevic misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by K. Walker,,54-42,,
6:40.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,57-42,,
6:22.0,,,57-42,,Shooting foul by G. Henderson (drawn by V. Oladipo)
6:22.0,,,57-43,1,V. Oladipo makes free throw 1 of 2
6:22.0,M. Williams enters the game for C. Zeller,,57-43,,
6:22.0,,,57-44,1,V. Oladipo makes free throw 2 of 2
5:58.0,M. Williams misses 2-pt shot from 20 ft,,57-44,,
5:57.0,,,57-44,,Defensive rebound by T. Harris
5:44.0,,,57-44,,K. O'Quinn misses 2-pt shot from 4 ft
5:42.0,Defensive rebound by M. Kidd-Gilchrist,,57-44,,
5:30.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by M. Williams),2,59-44,,
5:29.0,,,59-44,,Orlando full timeout
5:06.0,,,59-44,,V. Oladipo misses 2-pt shot at rim
5:04.0,Defensive rebound by M. Williams,,59-44,,
4:59.0,G. Henderson makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,61-44,,
4:33.0,,,61-44,,N. Vucevic misses 2-pt shot from 9 ft (block by B. Biyombo)
4:31.0,Defensive rebound by M. Williams,,61-44,,
4:18.0,Turnover by G. Henderson (bad pass; steal by V. Oladipo),,61-44,,
4:08.0,,,61-44,,K. O'Quinn misses 2-pt shot from 15 ft
4:07.0,Defensive rebound by M. Williams,,61-44,,
3:56.0,Shooting foul by N. Vucevic (drawn by K. Walker),,61-44,,
3:56.0,K. Walker makes free throw 1 of 2,1,62-44,,
3:56.0,J. Maxiell enters the game for B. Biyombo,,62-44,,
3:56.0,,,62-44,,E. Fournier enters the game for K. O'Quinn
3:56.0,G. Neal enters the game for G. Henderson,,62-44,,
3:56.0,K. Walker makes free throw 2 of 2,1,63-44,,
3:38.0,,,63-46,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
3:22.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker),2,65-46,,
3:14.0,Personal foul by J. Maxiell (drawn by N. Vucevic),,65-46,,
3:14.0,,,65-46,,L. Ridnour enters the game for E. Payton
3:09.0,,,65-48,2,V. Oladipo makes 2-pt shot at rim
2:49.0,G. Neal misses 3-pt shot from 25 ft,,65-48,,
2:48.0,,,65-48,,Defensive rebound by E. Fournier
2:37.0,,,65-48,,V. Oladipo misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by J. Maxiell,,65-48,,
2:25.0,K. Walker makes 3-pt shot from 25 ft (assist by G. Neal),3,68-48,,
2:09.0,Violation by J. Maxiell (kicked ball),,68-48,,
2:09.0,B. Roberts enters the game for K. Walker,,68-48,,
2:02.0,,,68-50,2,T. Harris makes 2-pt shot from 20 ft (assist by V. Oladipo)
1:45.0,Offensive foul by G. Neal,,68-50,,
1:45.0,Turnover by G. Neal (offensive foul),,68-50,,
1:45.0,,,68-50,,B. Gordon enters the game for T. Harris
1:35.0,,,68-52,2,V. Oladipo makes 2-pt shot from 1 ft
1:20.0,Turnover by G. Neal (lost ball),,68-52,,
1:09.0,,,68-52,,E. Fournier misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by M. Williams,,68-52,,
0:46.0,Shooting foul by N. Vucevic (drawn by G. Neal),,68-52,,
0:46.0,G. Neal makes free throw 1 of 2,1,69-52,,
0:46.0,G. Neal makes free throw 2 of 2,1,70-52,,
0:38.0,,,70-52,,V. Oladipo misses 2-pt shot from 1 ft
0:37.0,,,70-52,,Offensive rebound by N. Vucevic
0:37.0,,,70-54,2,N. Vucevic makes 2-pt shot from 1 ft
0:17.0,G. Neal misses 3-pt shot from 25 ft,,70-54,,
0:16.0,,,70-54,,Defensive rebound by V. Oladipo
0:06.0,Personal foul by J. Maxiell (drawn by V. Oladipo),,70-54,,
0:01.0,,,70-54,,V. Oladipo misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by M. Kidd-Gilchrist,,70-54,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Williams makes 2-pt shot from 18 ft (assist by G. Neal),2,72-54,,
11:29.0,,,72-54,,L. Ridnour misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by K. Walker,,72-54,,
11:21.0,G. Neal misses 3-pt shot from 24 ft,,72-54,,
11:20.0,Offensive rebound by J. Maxiell,,72-54,,
11:19.0,,,72-54,,Personal foul by K. O'Quinn (drawn by J. Maxiell)
11:19.0,J. Maxiell makes free throw 1 of 2,1,73-54,,
11:19.0,J. Maxiell misses free throw 2 of 2,,73-54,,
11:18.0,,,73-54,,Defensive rebound by T. Harris
11:04.0,,,73-54,,B. Gordon misses 2-pt shot from 19 ft
11:03.0,Defensive rebound by J. Maxiell,,73-54,,
10:46.0,K. Walker misses 3-pt shot from 24 ft,,73-54,,
10:45.0,Offensive rebound by K. Walker,,73-54,,
10:30.0,K. Walker misses 2-pt shot from 1 ft,,73-54,,
10:26.0,Offensive rebound by J. Maxiell,,73-54,,
10:26.0,J. Maxiell makes 2-pt shot at rim,2,75-54,,
10:09.0,,,75-54,,K. O'Quinn misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by M. Williams,,75-54,,
9:59.0,,,75-54,,Personal foul by E. Fournier (drawn by K. Walker)
9:59.0,,,75-54,,D. Dedmon enters the game for K. O'Quinn
9:58.0,Turnover by G. Neal (bad pass; steal by E. Fournier),,75-54,,
9:54.0,,,75-56,2,E. Fournier makes 2-pt shot at rim
9:36.0,K. Walker makes 2-pt shot from 8 ft,2,77-56,,
9:14.0,Personal foul by J. Maxiell (drawn by L. Ridnour),,77-56,,
9:14.0,,,77-57,1,L. Ridnour makes free throw 1 of 2
9:14.0,,,77-58,1,L. Ridnour makes free throw 2 of 2
8:57.0,Shooting foul by D. Dedmon (drawn by G. Neal),,77-58,,
8:57.0,Official timeout,,77-58,,
8:57.0,,,77-58,,E. Payton enters the game for L. Ridnour
8:57.0,G. Neal makes free throw 1 of 2,1,78-58,,
8:57.0,G. Neal makes free throw 2 of 2,1,79-58,,
8:46.0,,,79-60,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
8:46.0,,,79-60,,Shooting foul by J. Maxiell (drawn by D. Dedmon)
8:46.0,,,79-60,,V. Oladipo enters the game for B. Gordon
8:46.0,,,79-61,1,D. Dedmon makes free throw 1 of 1
8:29.0,B. Roberts misses 2-pt shot from 6 ft,,79-61,,
8:27.0,,,79-61,,Defensive rebound by V. Oladipo
8:16.0,,,79-61,,E. Fournier misses 3-pt shot from 26 ft
8:13.0,,,79-61,,Offensive rebound by T. Harris
8:13.0,,,79-61,,T. Harris misses 2-pt shot at rim
8:13.0,,,79-61,,Offensive rebound by T. Harris
8:13.0,,,79-61,,Shooting foul by M. Williams (drawn by T. Harris)
8:13.0,,,79-63,2,T. Harris makes 2-pt shot at rim
8:13.0,,,79-63,,N. Vucevic enters the game for D. Dedmon
8:13.0,,,79-64,1,T. Harris makes free throw 1 of 1
8:02.0,G. Neal makes 2-pt shot from 15 ft,2,81-64,,
7:46.0,,,81-66,2,E. Fournier makes 2-pt shot from 8 ft
7:30.0,B. Roberts makes 2-pt shot from 19 ft (assist by K. Walker),2,83-66,,
7:09.0,,,83-68,2,V. Oladipo makes 2-pt shot at rim (assist by N. Vucevic)
6:43.0,B. Roberts misses 2-pt shot from 7 ft,,83-68,,
6:41.0,,,83-68,,Defensive rebound by V. Oladipo
6:27.0,,,83-68,,E. Fournier misses 2-pt shot from 3 ft (block by J. Maxiell)
6:27.0,Defensive rebound by Team,,83-68,,
6:27.0,M. Kidd-Gilchrist enters the game for B. Roberts,,83-68,,
6:11.0,K. Walker makes 2-pt shot from 11 ft,2,85-68,,
5:56.0,,,85-68,,E. Fournier misses 3-pt shot from 24 ft
5:54.0,,,85-68,,Offensive rebound by T. Harris
5:54.0,,,85-68,,T. Harris misses 2-pt shot at rim
5:51.0,,,85-68,,Offensive rebound by T. Harris
5:49.0,,,85-68,,E. Fournier misses 2-pt shot from 6 ft
5:47.0,Defensive rebound by K. Walker,,85-68,,
5:38.0,K. Walker makes 2-pt shot at rim,2,87-68,,
